filing_date,period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity
2019-04-24,2019-03-31,10-Q,30571000000.0,8809000000.0,263281000000.0,168417000000.0,7000000.0
2019-08-01,2019-06-30,10-K,125843000000.0,39240000000.0,286556000000.0,184226000000.0,102330000000.0
2019-10-23,2019-09-30,10-Q,33055000000.0,10678000000.0,278955000000.0,172894000000.0,7000000.0
2020-01-29,2019-12-31,10-Q,36906000000.0,11649000000.0,282794000000.0,172685000000.0,7000000.0
2020-04-29,2020-03-31,10-Q,35021000000.0,10752000000.0,285449000000.0,170948000000.0,7000000.0
2020-07-30,2020-06-30,10-K,143015000000.0,44281000000.0,301311000000.0,183007000000.0,118304000000.0
2020-10-27,2020-09-30,10-Q,37154000000.0,13893000000.0,301001000000.0,177609000000.0,7000000.0
2021-01-26,2020-12-31,10-Q,43076000000.0,15463000000.0,304137000000.0,173901000000.0,7000000.0
2021-04-27,2021-03-31,10-Q,41706000000.0,15457000000.0,308879000000.0,174374000000.0,7000000.0
2021-07-29,2021-06-30,10-K,168088000000.0,61271000000.0,333779000000.0,191791000000.0,141988000000.0
2021-10-26,2021-09-30,10-Q,45317000000.0,20505000000.0,335418000000.0,183440000000.0,7000000.0
2022-01-25,2021-12-31,10-Q,51728000000.0,18765000000.0,340389000000.0,180379000000.0,7000000.0
2022-04-26,2022-03-31,10-Q,49360000000.0,16728000000.0,344607000000.0,181683000000.0,7000000.0
2022-07-28,2022-06-30,10-K,198270000000.0,72738000000.0,364840000000.0,198298000000.0,166542000000.0
2022-10-25,2022-09-30,10-Q,50122000000.0,17556000000.0,359784000000.0,186218000000.0,7000000.0
2023-01-24,2022-12-31,10-Q,52747000000.0,16425000000.0,364552000000.0,181416000000.0,7000000.0
2023-04-25,2023-03-31,10-Q,52857000000.0,18299000000.0,380088000000.0,185405000000.0,7000000.0
2023-07-27,2023-06-30,10-K,211915000000.0,72361000000.0,411976000000.0,205753000000.0,206223000000.0
2023-10-24,2023-09-30,10-Q,56517000000.0,22291000000.0,445785000000.0,225071000000.0,7000000.0
2024-01-30,2023-12-31,10-Q,62297000000.0,21870000000.0,470558000000.0,232290000000.0,7000000.0
2024-04-25,2024-03-31,10-Q,1969000000.0,21939000000.0,484275000000.0,231123000000.0,7000000.0
2024-07-30,2024-06-30,10-K,245122000000.0,88136000000.0,512163000000.0,243686000000.0,268477000000.0
2024-10-30,2024-09-30,10-Q,58561000000.0,24667000000.0,523013000000.0,235290000000.0,7000000.0
2025-01-29,2024-12-31,10-Q,62297000000.0,24108000000.0,533898000000.0,231203000000.0,7000000.0
2025-04-30,2025-03-31,10-Q,61856000000.0,25824000000.0,562624000000.0,240733000000.0,7000000.0
2025-07-30,2025-06-30,10-K,281724000000.0,101832000000.0,619003000000.0,275524000000.0,343479000000.0
