period_end,form,quarter,fq,fy,revenue,net_income,total_assets,total_liabilities,shareholders_equity
2009-12-26,10-Q,Q1 2010,1,2010,15683000000,3378000000,53926000000,18158000000,35768000000
2010-03-27,10-Q,Q2 2010,2,2010,13499000000,3074000000,57057000000,17709000000,39348000000
2010-06-26,10-Q,Q3 2010,3,2010,15700000000,3253000000,64725000000,21614000000,43111000000
2010-09-25,10-Q,Q4 2010,4,2010,20343000000,4308000000,75183000000,27392000000,47791000000
2010-12-25,10-Q,Q1 2011,1,2011,26741000000,6004000000,86742000000,32076000000,54666000000
2011-03-26,10-Q,Q2 2011,2,2011,24667000000,5987000000,94904000000,33427000000,61477000000
2011-06-25,10-Q,Q3 2011,3,2011,28571000000,7308000000,106758000000,37415000000,69343000000
2011-09-24,10-Q,Q4 2011,4,2011,28270000000,6623000000,116371000000,39756000000,76615000000
2011-12-31,10-Q,Q1 2012,1,2012,46333000000,13064000000,138681000000,48627000000,90054000000
2012-03-31,10-Q,Q2 2012,2,2012,39186000000,11622000000,150934000000,48436000000,102498000000
2012-06-30,10-Q,Q3 2012,3,2012,35023000000,8824000000,162896000000,51150000000,111746000000
2012-09-29,10-Q,Q4 2012,4,2012,35966000000,8223000000,176064000000,57854000000,118210000000
2012-12-29,10-Q,Q1 2013,1,2013,54512000000,13078000000,196088000000,68742000000,127346000000
2013-03-30,10-Q,Q2 2013,2,2013,43603000000,9547000000,194743000000,59253000000,135490000000
2013-06-29,10-Q,Q3 2013,3,2013,35323000000,6900000000,199856000000,76502000000,123354000000
2013-09-28,10-Q,Q4 2013,4,2013,37472000000,7512000000,207000000000,83451000000,123549000000
2013-12-28,10-Q,Q1 2014,1,2014,57594000000,13072000000,225184000000,95500000000,129684000000
2014-03-29,10-Q,Q2 2014,2,2014,45646000000,10223000000,205989000000,85810000000,120179000000
2014-06-28,10-Q,Q3 2014,3,2014,37432000000,7748000000,222520000000,101580000000,120940000000
2014-09-27,10-Q,Q4 2014,4,2014,88562000000,17308000000,375319000000,241272000000,134047000000
2014-12-31,10-Q,Q1 2015,1,2015,74599000000,18024000000,261194000000,138566000000,123328000000
2015-03-28,10-Q,Q2 2015,2,2015,58010000000,13569000000,261194000000,132188000000,129006000000
2015-06-30,10-Q,Q3 2015,3,2015,49605000000,10677000000,273151000000,147474000000,125677000000
2015-09-26,10-Q,Q4 2015,4,2015,51501000000,11124000000,290479000000,171124000000,119355000000
2015-12-31,10-Q,Q1 2016,1,2016,75872000000,18361000000,293284000000,165017000000,128267000000
2016-03-31,10-Q,Q2 2016,2,2016,50557000000,10516000000,305277000000,174820000000,130457000000
2016-06-30,10-Q,Q3 2016,3,2016,42358000000,7796000000,305602000000,179061000000,126541000000
2016-09-30,10-Q,Q4 2016,4,2016,46852000000,9014000000,321686000000,193437000000,128249000000
2016-12-31,10-Q,Q1 2017,1,2017,88293000000,20065000000,406794000000,266595000000,140199000000
2017-04-01,10-Q,Q2 2017,2,2017,52896000000,11029000000,334532000000,200450000000,134082000000
2017-07-01,10-Q,Q3 2017,3,2017,45408000000,8717000000,345173000000,212748000000,132425000000
2017-09-30,10-Q,Q4 2017,4,2017,52579000000,10714000000,375319000000,241272000000,134047000000
2017-12-31,10-Q,Q1 2018,1,2018,88293000000,20065000000,406794000000,266595000000,140199000000
2018-03-31,10-Q,Q2 2018,2,2018,61137000000,13822000000,367502000000,240624000000,126878000000
2018-06-30,10-Q,Q3 2018,3,2018,53265000000,11519000000,349197000000,234248000000,114949000000
2018-09-29,10-Q,Q4 2018,4,2018,62900000000,14125000000,365725000000,258578000000,107147000000
2018-12-29,10-Q,Q1 2019,1,2019,84310000000,19965000000,373719000000,255827000000,117892000000
2019-03-30,10-Q,Q2 2019,2,2019,58015000000,11561000000,341998000000,236138000000,105860000000
2019-06-29,10-Q,Q3 2019,3,2019,53809000000,10044000000,322239000000,225783000000,96456000000
2019-09-28,10-Q,Q4 2019,4,2019,64040000000,13686000000,338516000000,248028000000,90488000000
2019-12-28,10-Q,Q1 2020,1,2020,91819000000,22236000000,340618000000,251087000000,89531000000
2020-03-28,10-Q,Q2 2020,2,2020,58313000000,11249000000,320400000000,241975000000,78425000000
2020-06-27,10-Q,Q3 2020,3,2020,59685000000,11253000000,317344000000,245062000000,72282000000
2020-09-30,10-Q,Q4 2020,4,2020,64698000000,12673000000,323888000000,258549000000,65339000000
2020-12-26,10-Q,Q1 2021,1,2021,111439000000,28755000000,354054000000,287830000000,66224000000
2021-03-27,10-Q,Q2 2021,2,2021,89584000000,23630000000,337158000000,267980000000,69178000000
2021-06-26,10-Q,Q3 2021,3,2021,81434000000,21744000000,329840000000,265560000000,64280000000
2021-09-25,10-Q,Q4 2021,4,2021,83360000000,20551000000,351002000000,287912000000,63090000000
2021-12-25,10-Q,Q1 2022,1,2022,123945000000,34630000000,381191000000,309259000000,71932000000
2022-03-26,10-Q,Q2 2022,2,2022,97278000000,25010000000,350662000000,283263000000,67399000000
2022-06-25,10-Q,Q3 2022,3,2022,82959000000,19442000000,336309000000,278202000000,58107000000
2022-09-24,10-Q,Q4 2022,4,2022,90146000000,20721000000,352755000000,302083000000,50672000000
2022-12-31,10-Q,Q1 2023,1,2023,117154000000,29998000000,346747000000,290020000000,56727000000
2023-04-01,10-Q,Q2 2023,2,2023,94836000000,24160000000,332160000000,270002000000,62158000000
2023-07-01,10-Q,Q3 2023,3,2023,81797000000,19881000000,335038000000,274764000000,60274000000
2023-09-30,10-Q,Q4 2023,4,2023,89498000000,22956000000,352583000000,290437000000,62146000000
2023-12-30,10-Q,Q1 2024,1,2024,119575000000,33916000000,353514000000,279414000000,74100000000
2024-03-30,10-Q,Q2 2024,2,2024,90753000000,23636000000,337411000000,263217000000,74194000000
2024-06-29,10-Q,Q3 2024,3,2024,85777000000,21448000000,331612000000,264904000000,66708000000
2024-09-28,10-Q,Q4 2024,4,2024,94930000000,14736000000,364980000000,308030000000,56950000000
2024-12-28,10-Q,Q1 2025,1,2025,124300000000,36330000000,344085000000,277327000000,66758000000
2025-03-29,10-Q,Q2 2025,2,2025,95359000000,24780000000,331233000000,264437000000,66796000000
2025-06-28,10-Q,Q3 2025,3,2025,94036000000,23434000000,331495000000,265665000000,65830000000
