calendar_quarter,period_end,Price,revenue,net_income,ratio assets/libailities,shareholders_equity,gdp_growth,interest_rate
Q4 2009,2009-12-26,6.326138496398926,15683000000,3378000000,2.9698204648088997,35768000000,0.11,0.12
Q1 2010,2010-03-27,7.054725646972656,13499000000,3074000000,3.2219210570896153,39348000000,1.75,0.1333333333333333
Q2 2010,2010-06-26,7.550959587097168,15700000000,3253000000,2.9945868418617563,43111000000,2.91,0.1933333333333333
Q3 2010,2010-09-25,8.518207550048828,20343000000,4308000000,2.74470648364486,47791000000,3.34,0.1866666666666666
Q4 2010,2010-12-25,9.68328857421875,26741000000,6004000000,2.704264870931538,54666000000,2.78,0.1866666666666666
Q1 2011,2011-03-26,10.462312698364258,24667000000,5987000000,2.8391420109492325,61477000000,2.04,0.1566666666666666
Q2 2011,2011-06-25,10.076854705810549,28571000000,7308000000,2.853347587865829,69343000000,1.74,0.0933333333333333
Q3 2011,2011-09-24,11.447273254394531,28270000000,6623000000,2.927130496025757,76615000000,0.94,0.0833333333333333
Q4 2011,2011-12-31,12.158146858215332,46333000000,13064000000,2.8519341106792524,90054000000,1.54,0.0733333333333333
Q1 2012,2012-03-31,17.998558044433594,39186000000,11622000000,3.1161532744239824,102498000000,2.64,0.1033333333333333
Q2 2012,2012-06-30,17.531747817993164,35023000000,8824000000,3.184672531769306,111746000000,2.4,0.1533333333333333
Q3 2012,2012-09-29,20.11240577697754,35966000000,8223000000,3.0432467936529886,118210000000,2.57,0.1433333333333333
Q4 2012,2012-12-29,16.117679595947266,54512000000,13078000000,2.852521020627855,127346000000,1.55,0.16
Q1 2013,2013-03-30,13.484850883483888,43603000000,9547000000,3.286635275851012,135490000000,1.7,0.1433333333333333
Q2 2013,2013-06-29,12.15953540802002,35323000000,6900000000,2.612428433243575,123354000000,1.52,0.1166666666666666
Q3 2013,2013-09-28,14.71600341796875,37472000000,7512000000,2.4804975374770826,123549000000,2.24,0.0833333333333333
Q4 2013,2013-12-28,17.418304443359375,57594000000,13072000000,2.3579476439790574,129684000000,3.01,0.0866666666666666
Q1 2014,2014-03-29,16.764211654663086,45646000000,10223000000,2.4005244144039155,120179000000,1.65,0.0733333333333333
Q2 2014,2014-06-28,20.431114196777344,37432000000,7748000000,2.190588698562709,120940000000,2.69,0.0933333333333333
Q3 2014,2014-09-27,22.260562896728516,88562000000,17308000000,1.5555845684538612,134047000000,3.06,0.09
Q4 2014,2014-12-31,24.494043350219727,74599000000,18024000000,1.8849789991772874,123328000000,2.69,0.0999999999999999
