filing_date,period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity
2010-08-13,,10-Q,,,,,
2010-11-12,,10-Q,,,,,
2011-03-03,,10-K,,,,,
2011-05-13,,10-Q,,,,,
2011-08-12,2011-06-30,10-Q,58171000.0,-58903000.0,646155000.0,297703000.0,348452000.0
2011-11-14,2011-09-30,10-Q,57666000.0,-65078000.0,700250000.0,406132000.0,294118000.0
2012-02-27,2011-12-31,10-K,204242000.0,-254411000.0,713448000.0,489403000.0,224045000.0
2012-03-28,2011-12-31,10-K,204242000.0,-254411000.0,713448000.0,489403000.0,224045000.0
2012-05-10,2012-03-31,10-Q,30167000.0,-89873000.0,761100000.0,607226000.0,153874000.0
2012-08-02,2012-06-30,10-Q,26653000.0,-105603000.0,776869000.0,714654000.0,62215000.0
2012-11-07,2012-09-30,10-Q,50104000.0,-110804000.0,809177000.0,837052000.0,-27875000.0
2013-03-07,2012-12-31,10-K,413256000.0,-396213000.0,1114190000.0,989490000.0,124700000.0
2013-05-10,2013-03-31,10-Q,561792000.0,11248000.0,1143778000.0,975195000.0,168583000.0
2013-08-09,2013-06-30,10-Q,405139000.0,-30502000.0,1887844000.0,1258418000.0,629426000.0
2013-11-08,2013-09-30,10-Q,431346000.0,-38496000.0,2166209000.0,1524546000.0,564165000.0
2014-02-26,2013-12-31,10-K,2013496000.0,-74014000.0,2416930000.0,1749810000.0,667120000.0
2014-05-09,2014-03-31,10-Q,620542000.0,-49800000.0,4500410000.0,3518412000.0,912056000.0
2014-08-08,2014-06-30,10-Q,769349000.0,-61900000.0,5054463000.0,4036047000.0,952333000.0
2014-11-07,2014-09-30,10-Q,851804000.0,-74708000.0,5437533000.0,4417278000.0,958094000.0
2015-02-26,2014-12-31,10-K,3198356000.0,-294040000.0,5849251000.0,4879345000.0,911710000.0
2015-05-11,2015-03-31,10-Q,939880000.0,-154181000.0,6120030000.0,5239756000.0,825997000.0
2015-08-07,2015-06-30,10-Q,954976000.0,-184227000.0,6468185000.0,5701978000.0,715934000.0
2015-11-05,2015-09-30,10-Q,936789000.0,-229858000.0,7547497000.0,6186660000.0,1314656000.0
2016-02-24,2015-12-31,10-K,4046025000.0,-888663000.0,8092460000.0,6961471000.0,1088944000.0
2016-05-10,2016-03-31,10-Q,1147048000.0,-282267000.0,9191702000.0,8178711000.0,970365000.0
2016-08-05,2016-06-30,10-Q,1270017000.0,-293188000.0,11868952000.0,9311512000.0,2520294000.0
2016-11-02,2016-09-30,10-Q,2298436000.0,21878000.0,12592397000.0,9900639000.0,2680488000.0
2017-03-01,2016-12-31,10-K,7000132000.0,-674914000.0,22664076000.0,16750167000.0,367039000.0
2017-05-10,2017-03-31,10-Q,2482326000.0,162129000.0,25053726000.0,18885353000.0,4987719000.0
2017-08-04,2017-06-30,10-Q,2502777000.0,165212000.0,26043705000.0,19459902000.0,5105752000.0
2017-11-03,2017-09-30,10-Q,2667170000.0,,28107074000.0,21929057000.0,4711480000.0
2018-02-23,2017-12-31,10-K,7536876000.0,22000.0,28655372000.0,23022980000.0,4237242000.0
2018-05-07,2018-03-31,10-Q,2998729000.0,36343000.0,27271429000.0,21551021000.0,4450695000.0
2018-08-06,2018-06-30,10-Q,3627823000.0,53915000.0,27910000000.0,22642887000.0,3906421000.0
2018-11-02,2018-09-30,10-Q,6425096000.0,254673000.0,29262713000.0,23409144000.0,4508838000.0
2019-02-19,2018-12-31,10-K,7536876000.0,170525000.0,29739614000.0,23426010000.0,4923243000.0
2019-04-29,2019-03-31,10-Q,4216803000.0,34490000.0,28912524000.0,22874618000.0,4605596000.0
2019-07-29,2019-06-30,10-Q,5981468000.0,19072000.0,31872597000.0,24722136000.0,5715393000.0
2019-10-29,2019-09-30,10-Q,5901000000.0,150000000.0,32795000000.0,25313000000.0,6040000000.0
2020-02-13,2019-12-31,10-K,23047000.0,177000.0,34309000.0,26199000.0,6618000.0
2020-04-30,2020-03-31,10-Q,5692000.0,68000.0,37250000.0,26518000.0,9173000.0
2020-07-28,2020-06-30,10-Q,5666000.0,129000.0,38135000.0,26754000.0,9855000.0
2020-10-26,2020-09-30,10-Q,8192000.0,369000.0,45691000.0,28143000.0,16031000.0
2021-02-08,2020-12-31,10-K,29542000.0,721000.0,52148000.0,28418000.0,22225000.0
2021-04-28,2021-03-31,10-Q,9895000.0,464000.0,52972000.0,28507000.0,23017000.0
2021-07-27,2021-06-30,10-Q,11157000.0,1178000.0,55146000.0,28896000.0,24804000.0
2021-10-25,2021-09-30,10-Q,12951000.0,1659000.0,57834000.0,29340000.0,27053000.0
2022-02-07,2021-12-31,10-K,51034000.0,125000.0,62131000.0,30548000.0,30189000.0
2022-04-25,2022-03-31,10-Q,18140000.0,3280000.0,66038000.0,30632000.0,34085000.0
