filing_date,period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity
2009-09-09,2009-07-31,10-Q,100082000000.0,3442000000.0,168942000000.0,,68822000000.0
2009-12-08,2009-10-31,10-Q,98667000000.0,3239000000.0,172934000000.0,,69642000000.0
2010-03-30,2010-01-31,10-K,405046000000.0,14335000000.0,170706000000.0,,72929000000.0
2010-06-04,2010-04-30,10-Q,99097000000.0,3324000000.0,174371000000.0,,68602000000.0
2010-09-01,2010-07-31,10-Q,103016000000.0,3596000000.0,176944000000.0,,66896000000.0
2010-12-06,2010-10-31,10-Q,101239000000.0,3436000000.0,186890000000.0,,68020000000.0
2011-03-30,2011-01-31,10-K,418952000000.0,16389000000.0,180663000000.0,,71247000000.0
2011-06-03,2011-04-30,10-Q,103415000000.0,3399000000.0,186065000000.0,,67992000000.0
2011-09-01,2011-07-31,10-Q,108638000000.0,3801000000.0,193656000000.0,,72848000000.0
2011-12-08,2011-10-31,10-Q,109516000000.0,3336000000.0,195039000000.0,,71391000000.0
2012-03-27,2012-01-31,10-K,443854000000.0,15699000000.0,193406000000.0,,75761000000.0
2012-06-01,2012-04-30,10-Q,112272000000.0,3742000000.0,197100000000.0,,73935000000.0
2012-09-06,2012-07-31,10-Q,113534000000.0,4016000000.0,195661000000.0,,74701000000.0
2012-12-04,2012-10-31,10-Q,113204000000.0,3635000000.0,205818000000.0,,78601000000.0
2013-03-26,2013-01-31,10-K,466114000000.0,16999000000.0,203105000000.0,,81738000000.0
2013-06-07,2013-04-30,10-Q,113429000000.0,3784000000.0,202187000000.0,,75841000000.0
2013-09-05,2013-07-31,10-Q,116216000000.0,4069000000.0,200969000000.0,,76686000000.0
2013-10-21,2013-07-31,10-Q,116216000000.0,4069000000.0,200969000000.0,,76686000000.0
2013-12-06,2013-10-31,10-Q,114876000000.0,3738000000.0,209876000000.0,,78522000000.0
2014-03-21,2014-01-31,10-K,473076000000.0,16022000000.0,204751000000.0,,81339000000.0
2014-06-06,2014-04-30,10-Q,114167000000.0,3593000000.0,202746000000.0,,78199000000.0
2014-09-05,2014-07-31,10-Q,119336000000.0,4093000000.0,203985000000.0,,82823000000.0
2014-12-01,2014-10-31,10-Q,118076000000.0,3711000000.0,207889000000.0,,84053000000.0
2015-04-01,2015-01-31,10-K,482229000000.0,16363000000.0,203706000000.0,,85937000000.0
2015-06-05,2015-04-30,10-Q,114002000000.0,3341000000.0,200747000000.0,,79990000000.0
2015-09-09,2015-07-31,10-Q,119330000000.0,3475000000.0,198620000000.0,,82124000000.0
2015-12-02,2015-10-31,10-Q,116598000000.0,3304000000.0,205144000000.0,,82630000000.0
2016-03-30,2016-01-31,10-K,478614000000.0,14694000000.0,199581000000.0,,83611000000.0
2016-06-03,2016-04-30,10-Q,13608000000.0,3079000000.0,198705000000.0,,77758000000.0
2016-08-31,2016-07-31,10-Q,119405000000.0,3773000000.0,197886000000.0,,79144000000.0
2016-12-01,2016-10-31,10-Q,117176000000.0,3034000000.0,206857000000.0,,80475000000.0
2017-03-31,2017-01-31,10-K,481317000000.0,13643000000.0,198825000000.0,,80535000000.0
2017-06-02,2017-04-30,10-Q,13993000000.0,160000000.0,199718000000.0,,76114000000.0
2017-08-31,2017-07-31,10-Q,121949000000.0,2899000000.0,201566000000.0,,79046000000.0
2017-12-01,2017-10-31,10-Q,122136000000.0,1749000000.0,209414000000.0,,78906000000.0
2018-03-30,2018-01-31,10-K,495761000000.0,9862000000.0,204522000000.0,,80822000000.0
2018-06-04,2018-04-30,10-Q,121630000000.0,2134000000.0,204927000000.0,,78324000000.0
2018-09-06,2018-07-31,10-Q,127059000000.0,-861000000.0,206062000000.0,,73812000000.0
2018-11-30,2018-10-31,10-Q,123897000000.0,1710000000.0,226583000000.0,,79469000000.0
2019-03-28,2019-01-31,10-K,510329000000.0,6670000000.0,219295000000.0,,79634000000.0
2019-06-07,2019-04-30,10-Q,2777000000.0,3842000000.0,234544000000.0,15100000000.0,74910000000.0
2019-09-06,2019-07-31,10-Q,129388000000.0,3610000000.0,234861000000.0,15100000000.0,77131000000.0
2019-12-04,2019-10-31,10-Q,126981000000.0,3288000000.0,239830000000.0,15100000000.0,78307000000.0
2020-03-20,2020-01-31,10-K,519926000000.0,14881000000.0,236495000000.0,15100000000.0,81552000000.0
2020-06-03,2020-04-30,10-Q,133672000000.0,3990000000.0,232892000000.0,,74110000000.0
2020-09-02,2020-07-31,10-Q,136824000000.0,6476000000.0,237382000000.0,,81197000000.0
2020-12-02,2020-10-31,10-Q,133752000000.0,5135000000.0,250863000000.0,,87504000000.0
2021-03-19,2021-01-31,10-K,555233000000.0,13510000000.0,252496000000.0,,87531000000.0
2021-06-04,2021-04-30,10-Q,137159000000.0,2730000000.0,236581000000.0,,84592000000.0
2021-09-02,2021-07-31,10-Q,139871000000.0,4276000000.0,238552000000.0,,87127000000.0
2021-12-01,2021-10-31,10-Q,139207000000.0,3105000000.0,244851000000.0,,90757000000.0
2022-03-18,2022-01-31,10-K,567762000.0,13940000.0,248678000.0,244860000.0,56000.0
2022-06-03,2022-04-30,10-Q,140288000000.0,2103000000.0,246142000000.0,246142000000.0,6000000.0
2022-09-02,2022-07-31,10-Q,151381000000.0,5147000000.0,247199000000.0,247199000000.0,6000000.0
2022-12-01,2022-10-31,10-Q,151469000000.0,3132000000.0,247656000000.0,247656000000.0,6000000.0
2023-03-17,2023-01-31,10-K,605881000.0,11292000.0,244029000.0,243197000.0,57000.0
2023-06-02,2023-04-30,10-Q,151004000000.0,1896000000.0,245053000000.0,245053000000.0,6000000.0
2023-09-01,2023-07-31,10-Q,160280000000.0,8053000000.0,255121000000.0,255121000000.0,6000000.0
2023-11-30,2023-10-31,10-Q,159439000000.0,643000000.0,259174000000.0,259174000000.0,7000000.0
2024-03-15,2024-01-31,10-K,642637000.0,16270000.0,247798000.0,252399000.0,57000.0
2024-06-07,2024-04-30,10-Q,159938000000.0,5307000000.0,254054000000.0,254054000000.0,7000000.0
2024-08-30,2024-07-31,10-Q,167767000000.0,4711000000.0,254440000000.0,254440000000.0,7000000.0
2024-12-06,2024-10-31,10-Q,168003000000.0,4714000000.0,263399000000.0,263399000000.0,7000000.0
2025-03-14,2025-01-31,10-K,674538000.0,20157000.0,256611000.0,260823000.0,56000.0
2025-06-06,2025-04-30,10-Q,163981000000.0,4639000000.0,262372000000.0,262372000000.0,6000000.0
2022-03-18,,10-K,,,,,
2022-06-03,,10-Q,,,,,
2022-09-02,,10-Q,,,,,
2022-12-01,,10-Q,,,,,
2023-03-17,,10-K,,,,,
2023-06-02,,10-Q,,,,,
2023-09-01,,10-Q,,,,,
2023-11-30,,10-Q,,,,,
2024-03-15,,10-K,,,,,
2024-06-07,,10-Q,,,,,
2024-08-30,,10-Q,,,,,
2024-12-06,,10-Q,,,,,
2025-03-14,,10-K,,,,,
