,Date,Price,calendar_quarter
0,2005-08-31,1.4076433181762695,Q3 2005
1,2005-09-30,1.6093785762786865,Q3 2005
2,2005-10-31,1.728859305381775,Q4 2005
3,2005-11-30,2.035964250564575,Q4 2005
4,2005-12-31,2.158146381378174,Q4 2005
5,2006-01-31,2.266819953918457,Q1 2006
6,2006-02-28,2.056077241897583,Q1 2006
7,2006-03-31,1.8828623294830322,Q1 2006
8,2006-04-30,2.1131155490875244,Q2 2006
9,2006-05-31,1.7943028211593628,Q2 2006
10,2006-06-30,1.7192522287368774,Q2 2006
11,2006-07-31,2.0401673316955566,Q3 2006
12,2006-08-31,2.0368642807006836,Q3 2006
13,2006-09-30,2.3109493255615234,Q3 2006
14,2006-10-31,2.434030532836914,Q4 2006
15,2006-11-30,2.7516441345214844,Q4 2006
16,2006-12-31,2.5469062328338623,Q4 2006
17,2007-01-31,2.573625087738037,Q1 2007
18,2007-02-28,2.5400023460388184,Q1 2007
19,2007-03-31,2.789168357849121,Q1 2007
20,2007-04-30,2.9960079193115234,Q2 2007
21,2007-05-31,3.6381382942199707,Q2 2007
22,2007-06-30,3.6636545658111572,Q2 2007
23,2007-07-31,3.955451011657715,Q3 2007
24,2007-08-31,4.157186985015869,Q3 2007
25,2007-09-30,4.607187271118164,Q3 2007
26,2007-10-31,5.702320575714111,Q4 2007
27,2007-11-30,5.470264434814453,Q4 2007
28,2007-12-31,5.946384906768799,Q4 2007
29,2008-01-31,4.063522815704346,Q1 2008
30,2008-02-29,3.753114700317383,Q1 2008
31,2008-03-31,4.307886123657227,Q1 2008
32,2008-04-30,5.221998691558838,Q2 2008
33,2008-05-31,5.66629695892334,Q2 2008
34,2008-06-30,5.02656888961792,Q2 2008
35,2008-07-31,4.7716965675354,Q3 2008
36,2008-08-31,5.089311122894287,Q3 2008
37,2008-09-30,3.4120869636535645,Q3 2008
38,2008-10-31,3.2298643589019775,Q4 2008
39,2008-11-30,2.781964063644409,Q4 2008
40,2008-12-31,2.5622165203094482,Q4 2008
41,2009-01-31,2.7057137489318848,Q1 2009
42,2009-02-28,2.6810967922210693,Q1 2009
43,2009-03-31,3.155715227127075,Q1 2009
44,2009-04-30,3.7774300575256348,Q2 2009
45,2009-05-31,4.077032089233398,Q2 2009
46,2009-06-30,4.275764465332031,Q2 2009
47,2009-07-31,4.90498685836792,Q3 2009
48,2009-08-31,5.049680709838867,Q3 2009
49,2009-09-30,5.564229488372803,Q3 2009
50,2009-10-31,5.6587934494018555,Q4 2009
51,2009-11-30,6.001320838928223,Q4 2009
52,2009-12-31,6.326138496398926,Q4 2009
53,2010-01-31,5.765663146972656,Q1 2010
54,2010-02-28,6.142716407775879,Q1 2010
55,2010-03-31,7.054725646972656,Q1 2010
56,2010-04-30,7.83795166015625,Q2 2010
57,2010-05-31,7.711568355560303,Q2 2010
58,2010-06-30,7.550959587097168,Q2 2010
59,2010-07-31,7.722673416137695,Q3 2010
60,2010-08-31,7.29788875579834,Q3 2010
61,2010-09-30,8.518207550048828,Q3 2010
62,2010-10-31,9.035455703735352,Q4 2010
63,2010-11-30,9.340761184692383,Q4 2010
64,2010-12-31,9.68328857421875,Q4 2010
65,2011-01-31,10.186427116394043,Q1 2011
66,2011-02-28,10.603405952453613,Q1 2011
67,2011-03-31,10.462312698364258,Q1 2011
68,2011-04-30,10.510942459106445,Q2 2011
69,2011-05-31,10.441898345947266,Q2 2011
70,2011-06-30,10.076854705810547,Q2 2011
71,2011-07-31,11.72225570678711,Q3 2011
72,2011-08-31,11.552642822265625,Q3 2011
73,2011-09-30,11.447273254394531,Q3 2011
74,2011-10-31,12.151543617248535,Q4 2011
75,2011-11-30,11.473688125610352,Q4 2011
76,2011-12-31,12.158146858215332,Q4 2011
77,2012-01-31,13.703582763671875,Q1 2012
78,2012-02-29,16.28411102294922,Q1 2012
79,2012-03-31,17.998558044433594,Q1 2012
80,2012-04-30,17.531147003173828,Q2 2012
81,2012-05-31,17.34352684020996,Q2 2012
82,2012-06-30,17.531747817993164,Q2 2012
83,2012-07-31,18.33509063720703,Q3 2012
84,2012-08-31,20.05632781982422,Q3 2012
85,2012-09-30,20.11240577697754,Q3 2012
86,2012-10-31,17.94831085205078,Q4 2012
87,2012-11-30,17.72620391845703,Q4 2012
88,2012-12-31,16.117679595947266,Q4 2012
89,2013-01-31,13.795296669006348,Q1 2013
90,2013-02-28,13.446466445922852,Q1 2013
91,2013-03-31,13.484850883483887,Q1 2013
92,2013-04-30,13.488502502441406,Q2 2013
93,2013-05-31,13.790909767150879,Q2 2013
94,2013-06-30,12.15953540802002,Q2 2013
95,2013-07-31,13.876768112182617,Q3 2013
96,2013-08-31,15.039182662963867,Q3 2013
97,2013-09-30,14.71600341796875,Q3 2013
98,2013-10-31,16.13435173034668,Q4 2013
99,2013-11-30,17.264616012573242,Q4 2013
100,2013-12-31,17.418304443359375,Q4 2013
101,2014-01-31,15.542404174804688,Q1 2014
102,2014-02-28,16.436267852783203,Q1 2014
103,2014-03-31,16.764211654663086,Q1 2014
104,2014-04-30,18.430522918701172,Q2 2014
105,2014-05-31,19.881168365478516,Q2 2014
106,2014-06-30,20.431114196777344,Q2 2014
107,2014-07-31,21.01813316345215,Q3 2014
108,2014-08-31,22.647226333618164,Q3 2014
109,2014-09-30,22.260562896728516,Q3 2014
110,2014-10-31,23.86244010925293,Q4 2014
111,2014-11-30,26.391353607177734,Q4 2014
112,2014-12-31,24.494043350219727,Q4 2014
113,2015-01-31,25.998579025268555,Q1 2015
114,2015-02-28,28.618623733520508,Q1 2015
115,2015-03-31,27.720808029174805,Q1 2015
