date,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2011-08-31,1013.0,195.0,8493.0,2929.0,5564.0
2011-11-30,1152.0,174.0,8991.0,3208.0,5783.0
2012-02-29,1045.0,185.0,9133.0,3146.0,5986.0
2012-05-31,1124.0,224.0,9366.0,3266.0,6100.0
2012-08-31,1081.0,201.0,9630.0,3191.0,6439.0
2012-11-30,1153.0,222.0,10040.0,3375.0,6665.0
2013-02-28,1008.0,65.0,10166.0,3360.0,6805.0
2013-05-31,1011.0,77.0,10280.0,3353.0,6927.0
2013-08-31,995.0,83.0,10234.0,3399.0,6835.0
2013-11-30,1042.0,65.0,10380.0,3656.0,6725.0
2014-02-28,1000.0,47.0,10246.0,3635.0,6611.0
2014-05-31,1068.0,89.0,10372.0,3735.0,6637.0
2014-08-31,1005.0,45.0,10494.0,3762.0,6731.0
2014-11-30,1073.0,88.0,10786.0,4010.0,6776.0
2015-02-28,1109.0,85.0,11008.0,4419.0,6589.0
2015-05-31,1162.0,147.0,11165.0,4555.0,6610.0
2015-08-31,1218.0,174.0,11508.0,4667.0,6841.0
2015-11-30,1306.0,223.0,11726.0,4725.0,7002.0
2016-02-29,1383.0,254.0,11897.0,4815.0,7081.0
2016-05-31,1399.0,244.0,12217.0,4968.0,7249.0
2016-08-31,1464.0,271.0,12367.0,5089.0,7278.0
2016-11-30,1608.0,400.0,12697.0,5272.0,7425.0
2017-02-28,1682.0,398.0,13045.0,5456.0,7589.0
2017-05-31,1772.0,374.0,13365.0,5561.0,7804.0
2017-08-31,1841.0,420.0,13907.0,5736.0,8170.0
2017-11-30,2007.0,502.0,14536.0,6076.0,8460.0
2018-02-28,2079.0,583.0,14973.0,6339.0,8634.0
2018-05-31,2195.0,663.0,15163.0,6458.0,8706.0
2018-08-31,2291.0,666.0,15396.0,6534.0,8862.0
2018-11-30,2465.0,678.0,18769.0,9407.0,9362.0
2019-02-28,2601.0,674.0,19506.0,9634.0,9871.0
2019-05-31,2744.0,633.0,19666.0,9734.0,9932.0
2019-08-31,2834.0,793.0,20055.0,9812.0,10243.0
2019-11-30,2992.0,851.0,20762.0,10232.0,10530.0
2020-02-29,3091.0,955.0,21214.0,10749.0,10465.0
2020-05-31,3128.0,1100.0,21603.0,10722.0,10881.0
2020-08-31,3225.0,955.0,22414.0,10701.0,11713.0
2020-11-30,3424.0,2250.0,24284.0,11020.0,13264.0
2021-02-28,3905.0,1261.0,24985.0,11439.0,13546.0
2021-05-31,3835.0,1116.0,25582.0,11730.0,13852.0
2021-08-31,3935.0,1212.0,26144.0,11730.0,14414.0
2021-11-30,4110.0,1233.0,27241.0,12444.0,14797.0
2022-02-28,4262.0,1266.0,25976.0,12201.0,13775.0
2022-05-31,4386.0,1178.0,26326.0,12341.0,13985.0
2022-08-31,4433.0,1136.0,26744.0,12371.0,14373.0
2022-11-30,4525.0,1176.0,27165.0,13114.0,14051.0
2023-02-28,4655.0,1247.0,26667.0,12461.0,14206.0
2023-05-31,4816.0,1295.0,27838.0,13000.0,14838.0
2023-08-31,4890.0,1403.0,29090.0,13314.0,15776.0
2023-11-30,5048.0,1483.0,29779.0,13261.0,16518.0
2024-02-29,5182.0,620.0,28751.0,13291.0,15460.0
2024-05-31,5309.0,1573.0,30007.0,15164.0,14843.0
2024-08-31,5408.0,1684.0,29830.0,15285.0,14545.0
2024-11-30,5606.0,1683.0,30230.0,16125.0,14105.0
2025-02-28,5714.0,1811.0,29955.0,16860.0,13095.0
2025-05-31,5873.0,1691.0,28107.0,16659.0,11448.0
2025-08-31,5988.0,1772.0,28754.0,16984.0,11770.0
2025-11-30,6194.0,1856.0,29496.0,17873.0,11623.0
2026-02-28,6398.0,1889.0,,,
2026-05-31,6618.0,1712.0,,,
