date,gdp_growth,interest_rate
1954-06-30,-2.43,0.8
1954-09-30,-0.77,0.85
1954-12-31,2.73,1.39
1955-03-31,6.17,1.43
1955-06-30,7.78,1.68
1955-09-30,8.02,2.24
1955-12-31,6.58,2.45
1956-03-31,3.22,2.62
1956-06-30,2.4,2.75
1956-09-30,0.95,2.96
1956-12-31,2.0,2.84
1957-03-31,3.05,3.0
1957-06-30,1.98,2.99
1957-09-30,3.07,3.5
1957-12-31,0.35,2.72
1958-03-31,-2.87,1.26
1958-06-30,-2.02,0.68
1958-09-30,-0.73,1.8
1958-12-31,2.66,2.48
1959-03-31,7.42,2.96
1959-06-30,9.12,3.47
1959-09-30,6.73,3.98
1959-12-31,4.58,3.99
1960-03-31,4.92,3.92
1960-06-30,2.06,3.23
1960-09-30,2.49,2.47
1960-12-31,0.89,1.45
1961-03-31,-0.67,1.49
1961-06-30,1.57,1.17
1961-09-30,3.01,2.26
1961-12-31,6.4,2.15
1962-03-31,7.57,2.78
1962-06-30,6.73,2.71
1962-09-30,6.01,2.9
1962-12-31,4.31,2.92
1963-03-31,3.6,2.9
1963-06-30,3.82,3.02
1963-09-30,4.82,3.5
1963-12-31,5.16,3.48
1964-03-31,6.22,3.47
1964-06-30,6.18,3.42
1964-09-30,5.52,3.36
1964-12-31,5.16,3.9
1965-03-31,5.48,4.09
1965-06-30,5.66,4.09
1965-09-30,6.35,4.08
1965-12-31,8.46,4.42
1966-03-31,8.48,4.67
1966-06-30,7.49,5.3
1966-09-30,6.04,5.53
1966-12-31,4.5,4.94
1967-03-31,2.93,4.05
1967-06-30,2.64,3.79
1967-09-30,2.74,3.88
1967-12-31,2.67,4.61
1968-03-31,3.84,5.76
1968-06-30,5.51,6.03
1968-09-30,5.34,5.91
1968-12-31,4.96,6.3
1969-03-31,4.47,7.41
1969-06-30,3.06,8.61
1969-09-30,2.95,9.0
1969-12-31,2.04,8.98
1970-03-31,0.32,8.1
1970-06-30,0.16,7.21
1970-09-30,0.42,6.2
1970-12-31,-0.17,4.14
1971-03-31,2.7,4.16
1971-06-30,3.11,5.31
1971-09-30,3.01,5.2
1971-12-31,4.37,3.51
1972-03-31,3.47,4.17
1972-06-30,5.25,4.55
1972-09-30,5.38,5.05
1972-12-31,6.89,5.94
1973-03-31,7.56,7.12
1973-06-30,6.32,10.4
1973-09-30,4.77,10.01
1973-12-31,4.02,9.65
1974-03-31,0.64,10.51
1974-06-30,-0.21,12.92
1974-09-30,-0.63,10.06
1974-12-31,-1.95,7.13
1975-03-31,-2.3,5.49
1975-06-30,-1.83,6.1
1975-09-30,0.8,5.82
1975-12-31,2.55,4.87
1976-03-31,6.15,4.82
1976-06-30,6.17,5.31
1976-09-30,4.96,5.02
1976-12-31,4.31,4.61
1977-03-31,3.23,4.73
1977-06-30,4.47,5.42
1977-09-30,5.77,6.47
1977-12-31,5.01,6.7
1978-03-31,4.11,6.89
1978-06-30,6.08,7.81
1978-09-30,5.25,8.96
1978-12-31,6.66,10.07
1979-03-31,6.51,10.01
1979-06-30,2.66,10.47
1979-09-30,2.39,13.77
1979-12-31,1.28,13.82
1980-03-31,1.42,17.61
1980-06-30,-0.78,9.03
1980-09-30,-1.62,12.81
1980-12-31,-0.04,19.08
1981-03-31,1.6,15.72
1981-06-30,2.97,19.04
1981-09-30,4.33,15.08
1981-12-31,1.3,13.22
1982-03-31,-2.19,14.94
1982-06-30,-1.01,12.59
1982-09-30,-2.56,9.71
1982-12-31,-1.44,8.68
1983-03-31,1.43,8.8
1983-06-30,3.27,9.37
1983-09-30,5.74,9.48
1983-12-31,7.9,9.56
1984-03-31,8.58,10.29
1984-06-30,8.0,11.23
1984-09-30,6.9,9.99
1984-12-31,5.58,8.35
1985-03-31,4.55,8.27
1985-06-30,3.68,7.88
1985-09-30,4.26,7.99
1985-12-31,4.18,8.14
1986-03-31,4.15,6.99
1986-06-30,3.7,6.56
1986-09-30,3.12,5.85
1986-12-31,2.91,6.43
1987-03-31,2.71,6.37
1987-06-30,3.35,6.58
1987-09-30,3.26,7.29
1987-12-31,4.47,6.83
1988-03-31,4.24,6.87
1988-06-30,4.48,7.75
1988-09-30,4.19,8.3
1988-12-31,3.8,9.12
1989-03-31,4.32,9.84
1989-06-30,3.75,9.24
1989-09-30,3.91,8.84
1989-12-31,2.74,8.23
1990-03-31,2.82,8.26
1990-06-30,2.41,8.15
1990-09-30,1.73,8.11
1990-12-31,0.6,6.91
1991-03-31,-0.95,5.91
1991-06-30,-0.54,5.82
1991-09-30,-0.1,5.21
1991-12-31,1.17,4.03
1992-03-31,2.86,3.73
1992-06-30,3.17,3.25
1992-09-30,3.67,3.1
1992-12-31,4.38,3.02
1993-03-31,3.32,2.96
1993-06-30,2.81,3.06
1993-09-30,2.29,2.99
1993-12-31,2.61,3.05
1994-03-31,3.43,3.56
1994-06-30,4.23,4.26
1994-09-30,4.34,4.76
1994-12-31,4.12,5.53
1995-03-31,3.48,6.05
1995-06-30,2.4,5.85
1995-09-30,2.67,5.76
1995-12-31,2.2,5.56
1996-03-31,2.6,5.22
1996-06-30,4.0,5.4
1996-09-30,4.05,5.24
1996-12-31,4.42,5.25
1997-03-31,4.31,5.51
1997-06-30,4.31,5.52
1997-09-30,4.67,5.5
1997-12-31,4.48,5.56
1998-03-31,4.86,5.45
1998-06-30,4.09,5.54
1998-09-30,4.1,5.07
1998-12-31,4.88,4.63
1999-03-31,4.82,4.74
1999-06-30,4.72,4.99
1999-09-30,4.79,5.2
1999-12-31,4.82,5.45
2000-03-31,4.22,6.02
2000-06-30,5.24,6.54
2000-09-30,3.97,6.51
2000-12-31,2.91,5.98
2001-03-31,2.2,4.8
2001-06-30,1.0,3.77
2001-09-30,0.49,2.49
2001-12-31,0.17,1.73
2002-03-31,1.34,1.75
2002-06-30,1.33,1.73
2002-09-30,2.15,1.75
2002-12-31,1.99,1.24
2003-03-31,1.68,1.26
2003-06-30,1.96,1.01
2003-09-30,3.23,1.01
2003-12-31,4.3,1.0
2004-03-31,4.34,1.0
2004-06-30,4.23,1.26
2004-09-30,3.49,1.76
2004-12-31,3.35,2.28
2005-03-31,3.91,2.79
2005-06-30,3.62,3.26
2005-09-30,3.45,3.78
2005-12-31,2.97,4.29
2006-03-31,3.21,4.79
2006-06-30,2.97,5.24
2006-09-30,2.33,5.25
2006-12-31,2.63,5.25
2007-03-31,1.58,5.25
2007-06-30,1.93,5.26
2007-09-30,2.37,4.76
2007-12-31,2.13,3.94
2008-03-31,1.39,2.28
2008-06-30,1.38,2.01
2008-09-30,0.27,0.97
2008-12-31,-2.54,0.15
2009-03-31,-3.23,0.15
2009-06-30,-3.98,0.16
2009-09-30,-3.13,0.12
2009-12-31,0.11,0.11
2010-03-31,1.75,0.2
2010-06-30,2.91,0.18
2010-09-30,3.34,0.19
2010-12-31,2.78,0.17
2011-03-31,2.04,0.1
2011-06-30,1.74,0.07
2011-09-30,0.94,0.07
2011-12-31,1.54,0.08
2012-03-31,2.64,0.14
2012-06-30,2.4,0.16
2012-09-30,2.57,0.16
2012-12-31,1.55,0.14
2013-03-31,1.7,0.15
2013-06-30,1.52,0.09
2013-09-30,2.24,0.09
2013-12-31,3.01,0.07
2014-03-31,1.65,0.09
2014-06-30,2.69,0.09
2014-09-30,3.06,0.09
2014-12-31,2.69,0.11
2015-03-31,3.97,0.12
2015-06-30,3.28,0.13
2015-09-30,2.45,0.12
2015-12-31,2.12,0.34
2016-03-31,1.8,0.37
2016-06-30,1.49,0.39
2016-09-30,1.81,0.4
2016-12-31,2.18,0.65
2017-03-31,2.09,0.9
