accession,form,filed,primary,source
0000912057-00-003201,10-Q,2000-02-01,https://www.sec.gov/Archives/edgar/data/320193/0000912057-00-003201-index.html,atom
0000912057-00-023442,10-Q,2000-05-11,https://www.sec.gov/Archives/edgar/data/320193/0000912057-00-023442-index.html,atom
0000912057-00-033901,10-Q,2000-07-31,https://www.sec.gov/Archives/edgar/data/320193/000091205700033901/0000912057-00-033901-index.htm,atom
0000912057-00-053623,10-K,2000-12-14,https://www.sec.gov/Archives/edgar/data/320193/000091205700053623/0000912057-00-053623-index.htm,atom
0000912057-01-004642,10-Q,2001-02-12,https://www.sec.gov/Archives/edgar/data/320193/000091205701004642/0000912057-01-004642-index.htm,atom
0000912057-01-515409,10-Q,2001-05-14,https://www.sec.gov/Archives/edgar/data/320193/000091205701515409/0000912057-01-515409-index.htm,atom
0000912057-01-528148,10-Q,2001-08-13,https://www.sec.gov/Archives/edgar/data/320193/000091205701528148/0000912057-01-528148-index.htm,atom
0000912057-01-544436,10-K,2001-12-21,https://www.sec.gov/Archives/edgar/data/320193/000091205701544436/0000912057-01-544436-index.htm,atom
0000912057-02-004945,10-Q,2002-02-11,https://www.sec.gov/Archives/edgar/data/320193/000091205702004945/0000912057-02-004945-index.htm,atom
0000912057-02-020280,10-Q,2002-05-14,https://www.sec.gov/Archives/edgar/data/320193/000091205702020280/0000912057-02-020280-index.htm,atom
0000912057-02-030796,10-Q,2002-08-09,https://www.sec.gov/Archives/edgar/data/320193/000091205702030796/0000912057-02-030796-index.htm,atom
0001047469-02-007674,10-K,2002-12-19,https://www.sec.gov/Archives/edgar/data/320193/000104746902007674/0001047469-02-007674-index.htm,atom
0001047469-03-004566,10-Q,2003-02-10,https://www.sec.gov/Archives/edgar/data/320193/000104746903004566/0001047469-03-004566-index.htm,atom
0001104659-03-009489,10-Q,2003-05-13,https://www.sec.gov/Archives/edgar/data/320193/000110465903009489/0001104659-03-009489-index.htm,atom
0001104659-03-017766,10-Q,2003-08-12,https://www.sec.gov/Archives/edgar/data/320193/000110465903017766/0001104659-03-017766-index.htm,atom
0001047469-03-041604,10-K,2003-12-19,https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/0001047469-03-041604-index.htm,atom
0001104659-04-003080,10-Q,2004-02-10,https://www.sec.gov/Archives/edgar/data/320193/000110465904003080/0001104659-04-003080-index.htm,atom
0001104659-04-013021,10-Q,2004-05-06,https://www.sec.gov/Archives/edgar/data/320193/000110465904013021/0001104659-04-013021-index.htm,atom
0001104659-04-022384,10-Q,2004-08-05,https://www.sec.gov/Archives/edgar/data/320193/000110465904022384/0001104659-04-022384-index.htm,atom
0001047469-04-035975,10-K,2004-12-03,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/0001047469-04-035975-index.htm,atom
0001104659-05-003520,10-Q,2005-02-01,https://www.sec.gov/Archives/edgar/data/320193/000110465905003520/0001104659-05-003520-index.htm,atom
0001104659-05-020421,10-Q,2005-05-04,https://www.sec.gov/Archives/edgar/data/320193/000110465905020421/0001104659-05-020421-index.htm,atom
0001104659-05-035792,10-Q,2005-08-03,https://www.sec.gov/Archives/edgar/data/320193/000110465905035792/0001104659-05-035792-index.htm,atom
0001104659-05-058421,10-K,2005-12-01,https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/0001104659-05-058421-index.htm,atom
0001104659-06-005910,10-Q,2006-02-03,https://www.sec.gov/Archives/edgar/data/320193/000110465906005910/0001104659-06-005910-index.htm,atom
0001104659-06-031303,10-Q,2006-05-05,https://www.sec.gov/Archives/edgar/data/320193/000110465906031303/0001104659-06-031303-index.htm,atom
0001104659-06-084288,10-K,2006-12-29,https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/0001104659-06-084288-index.htm,atom
0001104659-06-084286,10-Q,2006-12-29,https://www.sec.gov/Archives/edgar/data/320193/000110465906084286/0001104659-06-084286-index.htm,atom
0001104659-07-006648,10-Q,2007-02-02,https://www.sec.gov/Archives/edgar/data/320193/000110465907006648/0001104659-07-006648-index.htm,atom
0001104659-07-037745,10-Q,2007-05-10,https://www.sec.gov/Archives/edgar/data/320193/000110465907037745/0001104659-07-037745-index.htm,atom
0001104659-07-059873,10-Q,2007-08-08,https://www.sec.gov/Archives/edgar/data/320193/000110465907059873/0001104659-07-059873-index.htm,atom
0001047469-07-009340,10-K,2007-11-15,https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/0001047469-07-009340-index.htm,atom
0001193125-08-017426,10-Q,2008-02-01,https://www.sec.gov/Archives/edgar/data/320193/000119312508017426/0001193125-08-017426-index.htm,atom
0001193125-08-097759,10-Q,2008-05-01,https://www.sec.gov/Archives/edgar/data/320193/000119312508097759/0001193125-08-097759-index.htm,atom
0001193125-08-156421,10-Q,2008-07-23,https://www.sec.gov/Archives/edgar/data/320193/000119312508156421/0001193125-08-156421-index.htm,atom
0001193125-08-224958,10-K,2008-11-05,https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/0001193125-08-224958-index.htm,atom
0001193125-09-009937,10-Q,2009-01-23,https://www.sec.gov/Archives/edgar/data/320193/000119312509009937/0001193125-09-009937-index.htm,atom
0001193125-09-085781,10-Q,2009-04-23,https://www.sec.gov/Archives/edgar/data/320193/000119312509085781/0001193125-09-085781-index.htm,atom
0001193125-09-087629,10-Q,2009-04-27,https://www.sec.gov/Archives/edgar/data/320193/000119312509087629/0001193125-09-087629-index.htm,atom
0001193125-09-153165,10-Q,2009-07-22,https://www.sec.gov/Archives/edgar/data/320193/000119312509153165/0001193125-09-153165-index.htm,atom
0001193125-09-214859,10-K,2009-10-27,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/0001193125-09-214859-index.htm,atom
0001193125-10-012085,10-Q,2010-01-25,https://www.sec.gov/Archives/edgar/data/320193/000119312510012085/0001193125-10-012085-index.htm,atom
0001193125-10-012091,10-K,2010-01-25,https://www.sec.gov/Archives/edgar/data/320193/000119312510012091/0001193125-10-012091-index.htm,atom
0001193125-10-088957,10-Q,2010-04-21,https://www.sec.gov/Archives/edgar/data/320193/000119312510088957/0001193125-10-088957-index.htm,atom
0001193125-10-162840,10-Q,2010-07-21,https://www.sec.gov/Archives/edgar/data/320193/000119312510162840/0001193125-10-162840-index.htm,atom
0001193125-10-238044,10-K,2010-10-27,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/0001193125-10-238044-index.htm,atom
