date,revenue_musd
2009-02-28,786.0
2009-05-31,705.0
2009-08-31,698.0
2009-11-30,757.0
2010-02-28,859.0
2010-05-31,943.0
2010-08-31,990.0
2010-11-30,1008.0
2011-02-28,1028.0
2011-05-31,1023.0
2011-08-31,1013.0
2011-11-30,1152.0
2012-02-29,1045.0
2012-05-31,1124.0
2012-08-31,1081.0
2012-11-30,1153.0
2013-02-28,1008.0
2013-05-31,1011.0
2013-08-31,995.0
2013-11-30,1042.0
2014-02-28,1000.0
2014-05-31,1068.0
2014-08-31,1005.0
2014-11-30,1073.0
2015-02-28,1109.0
2015-05-31,1162.0
2015-08-31,1218.0
2015-11-30,1306.0
2016-02-29,1383.0
2016-05-31,1399.0
2016-08-31,1464.0
2016-11-30,1608.0
2017-02-28,1682.0
2017-05-31,1772.0
2017-08-31,1841.0
2017-11-30,2007.0
2018-02-28,2079.0
2018-05-31,2195.0
2018-08-31,2291.0
2018-11-30,2465.0
2019-02-28,2601.0
2019-05-31,2744.0
2019-08-31,2834.0
2019-11-30,2992.0
2020-02-29,3091.0
2020-05-31,3128.0
2020-08-31,3225.0
2020-11-30,3424.0
2021-02-28,3905.0
2021-05-31,3835.0
2021-08-31,3935.0
2021-11-30,4110.0
2022-02-28,4262.0
2022-05-31,4386.0
2022-08-31,4433.0
2022-11-30,4525.0
2023-02-28,4655.0
2023-05-31,4816.0
2023-08-31,4890.0
2023-11-30,5048.0
2024-02-29,5182.0
2024-05-31,5309.0
2024-08-31,5408.0
2024-11-30,5606.0
2025-02-28,5714.0
2025-05-31,5873.0
