date,total_assets_musd
2009-02-28,5888.0
2009-05-31,6064.0
2009-08-31,5962.0
2009-11-30,7282.0
2010-02-28,7945.0
2010-05-31,8007.0
2010-08-31,7947.0
2010-11-30,8141.0
2011-02-28,8310.0
2011-05-31,8340.0
2011-08-31,8493.0
2011-11-30,8991.0
2012-02-29,9133.0
2012-05-31,9366.0
2012-08-31,9630.0
2012-11-30,10040.0
2013-02-28,10166.0
2013-05-31,10280.0
2013-08-31,10234.0
2013-11-30,10380.0
2014-02-28,10246.0
2014-05-31,10372.0
2014-08-31,10494.0
2014-11-30,10786.0
2015-02-28,11008.0
2015-05-31,11165.0
2015-08-31,11508.0
2015-11-30,11726.0
2016-02-29,11897.0
2016-05-31,12217.0
2016-08-31,12367.0
2016-11-30,12697.0
2017-02-28,13045.0
2017-05-31,13365.0
2017-08-31,13907.0
2017-11-30,14536.0
2018-02-28,14973.0
2018-05-31,15163.0
2018-08-31,15396.0
2018-11-30,18769.0
2019-02-28,19506.0
2019-05-31,19666.0
2019-08-31,20055.0
2019-11-30,20762.0
2020-02-29,21214.0
2020-05-31,21603.0
2020-08-31,22414.0
2020-11-30,24284.0
2021-02-28,24985.0
2021-05-31,25582.0
2021-08-31,26144.0
2021-11-30,27241.0
2022-02-28,25976.0
2022-05-31,26326.0
2022-08-31,26744.0
2022-11-30,27165.0
2023-02-28,26667.0
2023-05-31,27838.0
2023-08-31,29090.0
2023-11-30,29779.0
2024-02-29,28751.0
2024-05-31,30007.0
2024-08-31,29830.0
2024-11-30,30230.0
2025-02-28,29955.0
2025-05-31,28107.0
