date,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2009-03-31,1177.0,-416.0,9052.0,9215.0,-163.0
2009-06-30,1184.0,-330.0,8683.0,9148.0,-465.0
2009-09-30,1396.0,-128.0,8747.0,9316.0,-569.0
2009-12-31,1646.0,1178.0,9078.0,8430.0,648.0
2010-03-31,1574.0,257.0,5232.0,4436.0,796.0
2010-06-30,1653.0,-43.0,4955.0,4203.0,752.0
2010-09-30,1618.0,-118.0,4595.0,3981.0,614.0
2010-12-31,1649.0,375.0,4964.0,3951.0,1013.0
2011-03-31,1613.0,510.0,5209.0,3651.0,1558.0
2011-06-30,1574.0,61.0,5224.0,3583.0,1641.0
2011-09-30,1690.0,97.0,5236.0,3492.0,1744.0
2011-12-31,1691.0,-177.0,4954.0,3364.0,1590.0
2012-03-31,1585.0,-590.0,4988.0,3936.0,1052.0
2012-06-30,1413.0,37.0,5041.0,3924.0,1117.0
2012-09-30,1269.0,-157.0,4612.0,3623.0,989.0
2012-12-31,1155.0,-473.0,4000.0,3462.0,538.0
2013-03-31,1088.0,-146.0,3797.0,3382.0,415.0
2013-06-30,1161.0,-74.0,3897.0,3538.0,359.0
2013-09-30,1461.0,48.0,4317.0,3883.0,434.0
2013-12-31,1589.0,89.0,4337.0,3793.0,544.0
2014-03-31,1397.0,-20.0,4108.0,3597.0,511.0
2014-06-30,1441.0,-36.0,4246.0,3745.0,501.0
2014-09-30,1429.0,17.0,4325.0,3790.0,535.0
2014-12-31,1239.0,-364.0,3767.0,3580.0,187.0
2015-03-31,1030.0,-180.0,3428.0,3411.0,17.0
2015-06-30,942.0,-181.0,3381.0,3522.0,-141.0
2015-09-30,1061.0,-197.0,3229.0,3565.0,-336.0
2015-12-31,958.0,-102.0,3084.0,3496.0,-412.0
2016-03-31,832.0,-109.0,2981.0,3484.0,-503.0
2016-06-30,1027.0,69.0,3316.0,3729.0,-413.0
2016-09-30,1307.0,-406.0,3616.0,3231.0,385.0
2016-12-31,1153.0,-52.0,3321.0,2905.0,416.0
2017-03-31,1178.0,-33.0,3299.0,2890.0,409.0
2017-06-30,1151.0,-42.0,3370.0,2953.0,417.0
2017-09-30,1584.0,61.0,3586.0,3066.0,520.0
2017-12-31,1340.0,-19.0,3552.0,2956.0,596.0
2018-03-31,1647.0,81.0,3763.0,3048.0,715.0
2018-06-30,1756.0,116.0,4103.0,3224.0,879.0
2018-09-30,1653.0,102.0,4347.0,3222.0,1125.0
2018-12-31,1419.0,38.0,4556.0,3290.0,1266.0
2019-03-31,1272.0,16.0,4931.0,3143.0,1788.0
2019-06-30,1531.0,35.0,5102.0,3201.0,1901.0
2019-09-30,1801.0,120.0,5253.0,3077.0,2176.0
2019-12-31,2127.0,170.0,6028.0,3201.0,2827.0
2020-03-31,1786.0,162.0,5864.0,2827.0,3037.0
2020-06-30,1932.0,157.0,6583.0,3278.0,3305.0
2020-09-30,2801.0,390.0,7023.0,3156.0,3867.0
2020-12-31,3244.0,1781.0,8962.0,3125.0,5837.0
2021-03-31,3445.0,555.0,10047.0,3570.0,6477.0
2021-06-30,3850.0,710.0,10691.0,3626.0,7065.0
2021-09-30,4313.0,923.0,11153.0,4017.0,7136.0
2021-12-31,4826.0,974.0,12419.0,4922.0,7497.0
2022-03-31,5887.0,786.0,66915.0,11582.0,55333.0
2022-06-30,6550.0,447.0,67502.0,12333.0,55169.0
2022-09-30,5565.0,66.0,67811.0,13269.0,54542.0
2022-12-31,5599.0,21.0,67580.0,12830.0,54750.0
2023-03-31,5353.0,-139.0,67634.0,12940.0,54694.0
2023-06-30,5359.0,27.0,67967.0,12831.0,55136.0
2023-09-30,5800.0,299.0,67626.0,12656.0,54970.0
2023-12-31,6168.0,667.0,67885.0,11993.0,55892.0
2024-03-31,5473.0,123.0,67895.0,11697.0,56198.0
2024-06-30,5835.0,265.0,67886.0,11348.0,56538.0
2024-09-30,6819.0,771.0,69636.0,12651.0,56985.0
2024-12-31,7658.0,482.0,69226.0,11658.0,57568.0
2025-03-31,7438.0,709.0,71550.0,13669.0,57881.0
2025-06-30,7685.0,872.0,74820.0,15155.0,59665.0
