date,revenue_musd
2009-03-31,1177.0
2009-06-30,1184.0
2009-09-30,1396.0
2009-12-31,1646.0
2010-03-31,1574.0
2010-06-30,1653.0
2010-09-30,1618.0
2010-12-31,1649.0
2011-03-31,1613.0
2011-06-30,1574.0
2011-09-30,1690.0
2011-12-31,1691.0
2012-03-31,1585.0
2012-06-30,1413.0
2012-09-30,1269.0
2012-12-31,1155.0
2013-03-31,1088.0
2013-06-30,1161.0
2013-09-30,1461.0
2013-12-31,1589.0
2014-03-31,1397.0
2014-06-30,1441.0
2014-09-30,1429.0
2014-12-31,1239.0
2015-03-31,1030.0
2015-06-30,942.0
2015-09-30,1061.0
2015-12-31,958.0
2016-03-31,832.0
2016-06-30,1027.0
2016-09-30,1307.0
2016-12-31,1153.0
2017-03-31,1178.0
2017-06-30,1151.0
2017-09-30,1584.0
2017-12-31,1340.0
2018-03-31,1647.0
2018-06-30,1756.0
2018-09-30,1653.0
2018-12-31,1419.0
2019-03-31,1272.0
2019-06-30,1531.0
2019-09-30,1801.0
2019-12-31,2127.0
2020-03-31,1786.0
2020-06-30,1932.0
2020-09-30,2801.0
2020-12-31,3244.0
2021-03-31,3445.0
2021-06-30,3850.0
2021-09-30,4313.0
2021-12-31,4826.0
2022-03-31,5887.0
2022-06-30,6550.0
2022-09-30,5565.0
2022-12-31,5599.0
2023-03-31,5353.0
2023-06-30,5359.0
2023-09-30,5800.0
2023-12-31,6168.0
2024-03-31,5473.0
2024-06-30,5835.0
2024-09-30,6819.0
2024-12-31,7658.0
2025-03-31,7438.0
2025-06-30,7685.0
