date,share_holder_equity_musd
2009-03-31,-163.0
2009-06-30,-465.0
2009-09-30,-569.0
2009-12-31,648.0
2010-03-31,796.0
2010-06-30,752.0
2010-09-30,614.0
2010-12-31,1013.0
2011-03-31,1558.0
2011-06-30,1641.0
2011-09-30,1744.0
2011-12-31,1590.0
2012-03-31,1052.0
2012-06-30,1117.0
2012-09-30,989.0
2012-12-31,538.0
2013-03-31,415.0
2013-06-30,359.0
2013-09-30,434.0
2013-12-31,544.0
2014-03-31,511.0
2014-06-30,501.0
2014-09-30,535.0
2014-12-31,187.0
2015-03-31,17.0
2015-06-30,-141.0
2015-09-30,-336.0
2015-12-31,-412.0
2016-03-31,-503.0
2016-06-30,-413.0
2016-09-30,385.0
2016-12-31,416.0
2017-03-31,409.0
2017-06-30,417.0
2017-09-30,520.0
2017-12-31,596.0
2018-03-31,715.0
2018-06-30,879.0
2018-09-30,1125.0
2018-12-31,1266.0
2019-03-31,1788.0
2019-06-30,1901.0
2019-09-30,2176.0
2019-12-31,2827.0
2020-03-31,3037.0
2020-06-30,3305.0
2020-09-30,3867.0
2020-12-31,5837.0
2021-03-31,6477.0
2021-06-30,7065.0
2021-09-30,7136.0
2021-12-31,7497.0
2022-03-31,55333.0
2022-06-30,55169.0
2022-09-30,54542.0
2022-12-31,54750.0
2023-03-31,54694.0
2023-06-30,55136.0
2023-09-30,54970.0
2023-12-31,55892.0
2024-03-31,56198.0
2024-06-30,56538.0
2024-09-30,56985.0
2024-12-31,57568.0
2025-03-31,57881.0
2025-06-30,59665.0
