year,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2009,42905.0,8235.0,47501.0,15861.0,31640.0
2010,65225.0,14013.0,75183.0,27392.0,47791.0
2011,108249.0,25922.0,116371.0,39756.0,76615.0
2012,156508.0,41733.0,176064.0,57854.0,118210.0
2013,170910.0,37037.0,207000.0,83451.0,123549.0
2014,182795.0,39510.0,231839.0,120292.0,111547.0
2015,233715.0,53394.0,290345.0,170990.0,119355.0
2016,215639.0,45687.0,321686.0,193437.0,128249.0
2017,229234.0,48351.0,375319.0,241272.0,134047.0
2018,265595.0,59531.0,365725.0,258578.0,107147.0
2019,260174.0,55256.0,338516.0,248028.0,90488.0
2020,274515.0,57411.0,323888.0,258549.0,65339.0
2021,365817.0,94680.0,351002.0,287912.0,63090.0
2022,394328.0,99803.0,352755.0,302083.0,50672.0
2023,383285.0,96995.0,352583.0,290437.0,62146.0
2024,391035.0,93736.0,364980.0,308030.0,56950.0
