date,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2009-03-31,9084.0,1620.0,43237.0,18926.0,24311.0
2009-06-30,9734.0,1828.0,48140.0,22252.0,25888.0
2009-09-30,12207.0,2532.0,47501.0,15861.0,31640.0
2009-12-31,15683.0,3378.0,53926.0,18158.0,35768.0
2010-03-31,13499.0,3074.0,57057.0,17709.0,39348.0
2010-06-30,15700.0,3253.0,64725.0,21614.0,43111.0
2010-09-30,20343.0,4308.0,75183.0,27392.0,47791.0
2010-12-31,26741.0,6004.0,86742.0,32076.0,54666.0
2011-03-31,24667.0,5987.0,94904.0,33427.0,61477.0
2011-06-30,28571.0,7308.0,106758.0,37415.0,69343.0
2011-09-30,28270.0,6623.0,116371.0,39756.0,76615.0
2011-12-31,46333.0,13064.0,138681.0,48627.0,90054.0
2012-03-31,39186.0,11622.0,150934.0,48436.0,102498.0
2012-06-30,35023.0,8824.0,162896.0,51150.0,111746.0
2012-09-30,35966.0,8223.0,176064.0,57854.0,118210.0
2012-12-31,54512.0,13078.0,196088.0,68742.0,127346.0
2013-03-31,43603.0,9547.0,194743.0,59253.0,135490.0
2013-06-30,35323.0,6900.0,199856.0,76502.0,123354.0
2013-09-30,37472.0,7512.0,207000.0,83451.0,123549.0
2013-12-31,57594.0,13072.0,225184.0,95500.0,129684.0
2014-03-31,45646.0,10223.0,205989.0,85810.0,120179.0
2014-06-30,37432.0,7748.0,222520.0,101580.0,120940.0
2014-09-30,42123.0,8467.0,231839.0,120292.0,111547.0
2014-12-31,74599.0,18024.0,261894.0,138566.0,123328.0
2015-03-31,58010.0,13569.0,261194.0,132188.0,129006.0
2015-06-30,49605.0,10677.0,273151.0,147474.0,125677.0
2015-09-30,51501.0,11124.0,290345.0,170990.0,119355.0
2015-12-31,75872.0,18361.0,293284.0,165017.0,128267.0
2016-03-31,50557.0,10516.0,305277.0,174820.0,130457.0
2016-06-30,42358.0,7796.0,305602.0,179061.0,126541.0
2016-09-30,46852.0,9014.0,321686.0,193437.0,128249.0
2016-12-31,78351.0,17891.0,331141.0,198751.0,132390.0
2017-03-31,52896.0,11029.0,334532.0,200450.0,134082.0
2017-06-30,45408.0,8717.0,345173.0,212748.0,132425.0
2017-09-30,52579.0,10714.0,375319.0,241272.0,134047.0
2017-12-31,88293.0,20065.0,406794.0,266595.0,140199.0
2018-03-31,61137.0,13822.0,367502.0,240624.0,126878.0
2018-06-30,53265.0,11519.0,349197.0,234248.0,114949.0
2018-09-30,62900.0,14125.0,365725.0,258578.0,107147.0
2018-12-31,84310.0,19965.0,373719.0,255827.0,117892.0
2019-03-31,58015.0,11561.0,341998.0,236138.0,105860.0
2019-06-30,53809.0,10044.0,322239.0,225783.0,96456.0
2019-09-30,64040.0,13686.0,338516.0,248028.0,90488.0
2019-12-31,91819.0,22236.0,340618.0,251087.0,89531.0
2020-03-31,58313.0,11249.0,320400.0,241975.0,78425.0
2020-06-30,59685.0,11253.0,317344.0,245062.0,72282.0
2020-09-30,64698.0,12673.0,323888.0,258549.0,65339.0
2020-12-31,111439.0,28755.0,354054.0,287830.0,66224.0
2021-03-31,89584.0,23630.0,337158.0,267980.0,69178.0
2021-06-30,81434.0,21744.0,329840.0,265560.0,64280.0
2021-09-30,83360.0,20551.0,351002.0,287912.0,63090.0
2021-12-31,123945.0,34630.0,381191.0,309259.0,71932.0
2022-03-31,97278.0,25010.0,350662.0,283263.0,67399.0
2022-06-30,82959.0,19442.0,336309.0,278202.0,58107.0
2022-09-30,90146.0,20721.0,352755.0,302083.0,50672.0
2022-12-31,117154.0,29998.0,346747.0,290020.0,56727.0
2023-03-31,94836.0,24160.0,332160.0,270002.0,62158.0
2023-06-30,81797.0,19881.0,335038.0,274764.0,60274.0
2023-09-30,89498.0,22956.0,352583.0,290437.0,62146.0
2023-12-31,119575.0,33916.0,353514.0,279414.0,74100.0
2024-03-31,90753.0,23636.0,337411.0,263217.0,74194.0
2024-06-30,85777.0,21448.0,331612.0,264904.0,66708.0
2024-09-30,94930.0,14736.0,364980.0,308030.0,56950.0
2024-12-31,124300.0,36330.0,344085.0,277327.0,66758.0
2025-03-31,95359.0,24780.0,331233.0,264437.0,66796.0
2025-06-30,94036.0,23434.0,331495.0,265665.0,65830.0
