date,revenue_musd
2009-03-31,9084.0
2009-06-30,9734.0
2009-09-30,12207.0
2009-12-31,15683.0
2010-03-31,13499.0
2010-06-30,15700.0
2010-09-30,20343.0
2010-12-31,26741.0
2011-03-31,24667.0
2011-06-30,28571.0
2011-09-30,28270.0
2011-12-31,46333.0
2012-03-31,39186.0
2012-06-30,35023.0
2012-09-30,35966.0
2012-12-31,54512.0
2013-03-31,43603.0
2013-06-30,35323.0
2013-09-30,37472.0
2013-12-31,57594.0
2014-03-31,45646.0
2014-06-30,37432.0
2014-09-30,42123.0
2014-12-31,74599.0
2015-03-31,58010.0
2015-06-30,49605.0
2015-09-30,51501.0
2015-12-31,75872.0
2016-03-31,50557.0
2016-06-30,42358.0
2016-09-30,46852.0
2016-12-31,78351.0
2017-03-31,52896.0
2017-06-30,45408.0
2017-09-30,52579.0
2017-12-31,88293.0
2018-03-31,61137.0
2018-06-30,53265.0
2018-09-30,62900.0
2018-12-31,84310.0
2019-03-31,58015.0
2019-06-30,53809.0
2019-09-30,64040.0
2019-12-31,91819.0
2020-03-31,58313.0
2020-06-30,59685.0
2020-09-30,64698.0
2020-12-31,111439.0
2021-03-31,89584.0
2021-06-30,81434.0
2021-09-30,83360.0
2021-12-31,123945.0
2022-03-31,97278.0
2022-06-30,82959.0
2022-09-30,90146.0
2022-12-31,117154.0
2023-03-31,94836.0
2023-06-30,81797.0
2023-09-30,89498.0
2023-12-31,119575.0
2024-03-31,90753.0
2024-06-30,85777.0
2024-09-30,94930.0
2024-12-31,124300.0
2025-03-31,95359.0
2025-06-30,94036.0
