date,share_holder_equity_musd
2009-03-31,24311.0
2009-06-30,25888.0
2009-09-30,31640.0
2009-12-31,35768.0
2010-03-31,39348.0
2010-06-30,43111.0
2010-09-30,47791.0
2010-12-31,54666.0
2011-03-31,61477.0
2011-06-30,69343.0
2011-09-30,76615.0
2011-12-31,90054.0
2012-03-31,102498.0
2012-06-30,111746.0
2012-09-30,118210.0
2012-12-31,127346.0
2013-03-31,135490.0
2013-06-30,123354.0
2013-09-30,123549.0
2013-12-31,129684.0
2014-03-31,120179.0
2014-06-30,120940.0
2014-09-30,111547.0
2014-12-31,123328.0
2015-03-31,129006.0
2015-06-30,125677.0
2015-09-30,119355.0
2015-12-31,128267.0
2016-03-31,130457.0
2016-06-30,126541.0
2016-09-30,128249.0
2016-12-31,132390.0
2017-03-31,134082.0
2017-06-30,132425.0
2017-09-30,134047.0
2017-12-31,140199.0
2018-03-31,126878.0
2018-06-30,114949.0
2018-09-30,107147.0
2018-12-31,117892.0
2019-03-31,105860.0
2019-06-30,96456.0
2019-09-30,90488.0
2019-12-31,89531.0
2020-03-31,78425.0
2020-06-30,72282.0
2020-09-30,65339.0
2020-12-31,66224.0
2021-03-31,69178.0
2021-06-30,64280.0
2021-09-30,63090.0
2021-12-31,71932.0
2022-03-31,67399.0
2022-06-30,58107.0
2022-09-30,50672.0
2022-12-31,56727.0
2023-03-31,62158.0
2023-06-30,60274.0
2023-09-30,62146.0
2023-12-31,74100.0
2024-03-31,74194.0
2024-06-30,66708.0
2024-09-30,56950.0
2024-12-31,66758.0
2025-03-31,66796.0
2025-06-30,65830.0
