date,revenue_musd
2009-01-31,290.0
2009-04-30,305.0
2009-07-31,316.0
2009-10-31,331.0
2010-01-31,354.0
2010-04-30,377.0
2010-07-31,394.0
2010-10-31,429.0
2011-01-31,457.0
2011-04-30,504.0
2011-07-31,546.0
2011-10-31,584.0
2012-01-31,632.0
2012-04-30,695.0
2012-07-31,732.0
2012-10-31,788.0
2013-01-31,835.0
2013-04-30,893.0
2013-07-31,957.0
2013-10-31,1076.0
2014-01-31,1145.0
2014-04-30,1227.0
2014-07-31,1319.0
2014-10-31,1384.0
2015-01-31,1445.0
2015-04-30,1511.0
2015-07-31,1635.0
2015-10-31,1712.0
2016-01-31,1809.0
2016-04-30,1917.0
2016-07-31,2037.0
2016-10-31,2145.0
2017-01-31,2339.0
2017-04-30,2397.0
2017-07-31,2577.0
2017-10-31,2701.0
2018-01-31,2865.0
2018-04-30,3006.0
2018-07-31,3281.0
2018-10-31,3392.0
2019-01-31,3603.0
2019-04-30,3737.0
2019-07-31,3997.0
2019-10-31,4513.0
2020-01-31,4851.0
2020-04-30,4865.0
2020-07-31,5151.0
2020-10-31,5419.0
2021-01-31,5817.0
2021-04-30,5963.0
2021-07-31,6340.0
2021-10-31,6863.0
2022-01-31,7326.0
2022-04-30,7411.0
2022-07-31,7720.0
2022-10-31,7837.0
2023-01-31,8384.0
2023-04-30,8247.0
2023-07-31,8603.0
2023-10-31,8720.0
2024-01-31,9287.0
2024-04-30,9133.0
2024-07-31,9325.0
2024-10-31,9444.0
2025-01-31,9993.0
2025-04-30,9829.0
