date,share_holder_equity_musd
2009-01-31,682.0
2009-04-30,739.0
2009-07-31,802.0
2009-10-31,871.0
2010-01-31,1057.0
2010-04-30,1148.0
2010-07-31,1256.0
2010-10-31,1212.0
2011-01-31,1276.0
2011-04-30,1256.0
2011-07-31,1418.0
2011-10-31,1498.0
2012-01-31,1587.0
2012-04-30,1810.0
2012-07-31,1892.0
2012-10-31,2084.0
2013-01-31,2318.0
2013-04-30,2463.0
2013-07-31,2819.0
2013-10-31,2912.0
2014-01-31,3039.0
2014-04-30,3132.0
2014-07-31,3301.0
2014-10-31,3791.0
2015-01-31,3975.0
2015-04-30,4235.0
2015-07-31,4536.0
2015-10-31,4750.0
2016-01-31,5003.0
2016-04-30,5584.0
2016-07-31,6133.0
2016-10-31,6806.0
2017-01-31,7500.0
2017-04-30,7934.0
2017-07-31,8451.0
2017-10-31,8829.0
2018-01-31,10376.0
2018-04-30,11060.0
2018-07-31,13528.0
2018-10-31,14693.0
2019-01-31,15605.0
2019-04-30,16446.0
2019-07-31,17166.0
2019-10-31,33279.0
2020-01-31,33885.0
2020-04-30,34565.0
2020-07-31,38440.0
2020-10-31,40310.0
2021-01-31,41493.0
2021-04-30,42567.0
2021-07-31,55520.0
2021-10-31,57054.0
2022-01-31,58131.0
2022-04-30,58876.0
2022-07-31,60098.0
2022-10-31,59351.0
2023-01-31,58359.0
2023-04-30,57412.0
2023-07-31,58082.0
2023-10-31,58090.0
2024-01-31,59646.0
2024-04-30,59683.0
2024-07-31,57633.0
2024-10-31,58525.0
2025-01-31,61173.0
2025-04-30,60666.0
