date,total_liabilities_musd
2009-01-31,797.0
2009-04-30,729.0
2009-07-31,754.0
2009-10-31,773.0
2010-01-31,1404.0
2010-04-30,1340.0
2010-07-31,1443.0
2010-10-31,1528.0
2011-01-31,1815.0
2011-04-30,1872.0
2011-07-31,2003.0
2011-10-31,2013.0
2012-01-31,2577.0
2012-04-30,2346.0
2012-07-31,2561.0
2012-10-31,2559.0
2013-01-31,3211.0
2013-04-30,4051.0
2013-07-31,5151.0
2013-10-31,5185.0
2014-01-31,6114.0
2014-04-30,5509.0
2014-07-31,5709.0
2014-10-31,5622.0
2015-01-31,6690.0
2015-04-30,6130.0
2015-07-31,6258.0
2015-10-31,6162.0
2016-01-31,7760.0
2016-04-30,7233.0
2016-07-31,8249.0
2016-10-31,7582.0
2017-01-31,10085.0
2017-04-30,9124.0
2017-07-31,8967.0
2017-10-31,8661.0
2018-01-31,11608.0
2018-04-30,11903.0
2018-07-31,12295.0
2018-10-31,11895.0
2019-01-31,15132.0
2019-04-30,16708.0
2019-07-31,16170.0
2019-10-31,16663.0
2020-01-31,21241.0
2020-04-30,19058.0
2020-07-31,19340.0
2020-10-31,18826.0
2021-01-31,24808.0
2021-04-30,22318.0
2021-07-31,33138.0
2021-10-31,30382.0
2022-01-31,37078.0
2022-04-30,34146.0
2022-07-31,34050.0
2022-10-31,32533.0
2023-01-31,40490.0
2023-04-30,36129.0
2023-07-31,34365.0
2023-10-31,32932.0
2024-01-31,40177.0
2024-04-30,36497.0
2024-07-31,34547.0
2024-10-31,32870.0
2025-01-31,41755.0
2025-04-30,37944.0
