date,total_assets_musd
2009-03-31,68853.0
2009-06-30,77888.0
2009-09-30,81612.0
2009-12-31,82096.0
2010-03-31,84910.0
2010-06-30,86113.0
2010-09-30,91540.0
2010-12-31,92306.0
2011-03-31,99727.0
2011-06-30,108704.0
2011-09-30,107415.0
2011-12-31,112243.0
2012-03-31,118010.0
2012-06-30,121271.0
2012-09-30,121876.0
2012-12-31,128683.0
2013-03-31,134105.0
2013-06-30,142431.0
2013-09-30,142348.0
2013-12-31,153543.0
2014-03-31,156119.0
2014-06-30,172384.0
2014-09-30,169656.0
2014-12-31,174848.0
2015-03-31,176683.0
2015-06-30,174472.0
2015-09-30,172896.0
2015-12-31,180098.0
2016-03-31,181869.0
2016-06-30,193468.0
2016-09-30,212524.0
2016-12-31,224610.0
2017-03-31,225017.0
2017-06-30,250312.0
2017-09-30,249097.0
2017-12-31,256003.0
2018-03-31,245497.0
2018-06-30,258848.0
2018-09-30,257619.0
2018-12-31,258859.0
2019-03-31,263281.0
2019-06-30,286556.0
2019-09-30,278955.0
2019-12-31,282794.0
2020-03-31,285449.0
2020-06-30,301311.0
2020-09-30,301001.0
2020-12-31,304137.0
2021-03-31,308879.0
2021-06-30,333779.0
2021-09-30,335418.0
2021-12-31,340389.0
2022-03-31,344607.0
2022-06-30,364840.0
2022-09-30,359784.0
2022-12-31,364552.0
2023-03-31,380088.0
2023-06-30,411976.0
2023-09-30,445785.0
2023-12-31,470558.0
2024-03-31,484275.0
2024-06-30,512163.0
2024-09-30,523013.0
2024-12-31,533898.0
2025-03-31,562624.0
2025-06-30,619003.0
