date,total_liabilities_musd
2009-03-31,31910.0
2009-06-30,38330.0
2009-09-30,40400.0
2009-12-31,37813.0
2010-03-31,39200.0
2010-06-30,39938.0
2010-09-30,44598.0
2010-12-31,43825.0
2011-03-31,46275.0
2011-06-30,51621.0
2011-09-30,48024.0
2011-12-31,48122.0
2012-03-31,49351.0
2012-06-30,54908.0
2012-09-30,53040.0
2012-12-31,56107.0
2013-03-31,57417.0
2013-06-30,63487.0
2013-09-30,60707.0
2013-12-31,68443.0
2014-03-31,68695.0
2014-06-30,82600.0
2014-09-30,79486.0
2014-12-31,82969.0
2015-03-31,86551.0
2015-06-30,94389.0
2015-09-30,95451.0
2015-12-31,103318.0
2016-03-31,107063.0
2016-06-30,121471.0
2016-09-30,142152.0
2016-12-31,155801.0
2017-03-31,155288.0
2017-06-30,162601.0
2017-09-30,159450.0
2017-12-31,177643.0
2018-03-31,166258.0
2018-06-30,176130.0
2018-09-30,171652.0
2018-12-31,166731.0
2019-03-31,168417.0
2019-06-30,184226.0
2019-09-30,172894.0
2019-12-31,172685.0
2020-03-31,170948.0
2020-06-30,183007.0
2020-09-30,177609.0
2020-12-31,173901.0
2021-03-31,174374.0
2021-06-30,191791.0
2021-09-30,183440.0
2021-12-31,180379.0
2022-03-31,181683.0
2022-06-30,198298.0
2022-09-30,186218.0
2022-12-31,181416.0
2023-03-31,185405.0
2023-06-30,205753.0
2023-09-30,225071.0
2023-12-31,232290.0
2024-03-31,231123.0
2024-06-30,243686.0
2024-09-30,235290.0
2024-12-31,231203.0
2025-03-31,240733.0
2025-06-30,275524.0
