date,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2009-02-28,4441.0,244.0,12256.0,4045.0,8211.0
2009-05-31,4713.0,342.0,13250.0,4557.0,8693.0
2009-08-31,4799.0,513.0,13191.0,4100.0,9091.0
2009-11-30,4405.0,375.0,13358.0,4134.0,9224.0
2010-02-28,4733.0,497.0,13576.0,4147.0,9429.0
2010-05-31,5077.0,522.0,14419.0,4665.0,9754.0
2010-08-31,5175.0,559.0,14051.0,4391.0,9660.0
2010-11-30,4842.0,457.0,14464.0,4515.0,9949.0
2011-02-28,5079.0,523.0,14478.0,4576.0,9902.0
2011-05-31,5021.0,594.0,14998.0,5155.0,9843.0
2011-08-31,6081.0,645.0,14803.0,4904.0,9899.0
2011-11-30,5546.0,469.0,14565.0,4722.0,9843.0
2012-02-29,5656.0,560.0,14794.0,4618.0,10176.0
2012-05-31,6048.0,537.0,15465.0,5084.0,10381.0
2012-08-31,6474.0,567.0,15114.0,5067.0,10047.0
2012-11-30,5955.0,384.0,15171.0,5157.0,10014.0
2013-02-28,6187.0,866.0,15615.0,4948.0,10667.0
2013-05-31,6697.0,655.0,17545.0,6464.0,11081.0
2013-08-31,6971.0,779.0,17674.0,6392.0,11282.0
2013-11-30,6431.0,534.0,17820.0,6476.0,11344.0
2014-02-28,6972.0,682.0,17803.0,6670.0,11133.0
2014-05-31,7425.0,698.0,18594.0,7770.0,10824.0
2014-08-31,7982.0,962.0,18521.0,7416.0,11105.0
2014-11-30,7380.0,655.0,19167.0,7467.0,11700.0
2015-02-28,7460.0,791.0,20541.0,8173.0,12368.0
2015-05-31,7779.0,865.0,21597.0,8890.0,12707.0
2015-08-31,8414.0,1179.0,20766.0,7872.0,12894.0
2015-11-30,7686.0,785.0,22583.0,9178.0,13405.0
2016-02-29,8032.0,950.0,20987.0,8687.0,12300.0
2016-05-31,8244.0,846.0,21379.0,9121.0,12258.0
2016-08-31,9061.0,1249.0,21156.0,8991.0,12165.0
2016-11-30,8180.0,842.0,22652.0,10329.0,12323.0
2017-02-28,8432.0,1141.0,23152.0,10430.0,12722.0
2017-05-31,8677.0,1008.0,23259.0,10852.0,12407.0
2017-08-31,9070.0,950.0,23647.0,11654.0,11993.0
2017-11-30,8554.0,767.0,24055.0,12297.0,11758.0
2018-02-28,8984.0,-921.0,22552.0,12770.0,9782.0
2018-05-31,9789.0,1137.0,22536.0,12724.0,9812.0
2018-08-31,9948.0,1092.0,22483.0,13491.0,8992.0
2018-11-30,9374.0,847.0,22677.0,13948.0,8729.0
2019-02-28,9611.0,1101.0,22921.0,13960.0,8961.0
2019-05-31,10184.0,989.0,23717.0,14677.0,9040.0
2019-08-31,10660.0,1367.0,26249.0,17049.0,9200.0
2019-11-30,10326.0,1115.0,26602.0,17251.0,9351.0
2020-02-29,10104.0,847.0,26220.0,17175.0,9045.0
2020-05-31,6313.0,-790.0,31342.0,23287.0,8055.0
2020-08-31,10594.0,1518.0,33258.0,24034.0,9224.0
2020-11-30,11243.0,1251.0,34836.0,24196.0,10640.0
2021-02-28,10357.0,1449.0,36185.0,24254.0,11931.0
2021-05-31,12344.0,1509.0,37740.0,24973.0,12767.0
2021-08-31,12248.0,1874.0,37917.0,23574.0,14343.0
2021-11-30,11357.0,1337.0,38917.0,23993.0,14924.0
2022-02-28,10871.0,1396.0,38577.0,23768.0,14809.0
2022-05-31,12234.0,1439.0,40321.0,25040.0,15281.0
2022-08-31,12687.0,1468.0,41088.0,25266.0,15822.0
2022-11-30,13315.0,1331.0,39647.0,24375.0,15272.0
2023-02-28,12390.0,1240.0,38294.0,23763.0,14531.0
2023-05-31,12825.0,1031.0,37531.0,23527.0,14004.0
2023-08-31,12939.0,1450.0,36786.0,22815.0,13971.0
2023-11-30,13388.0,1578.0,37203.0,23057.0,14146.0
2024-02-29,12429.0,1172.0,37356.0,23130.0,14226.0
2024-05-31,12606.0,1500.0,38110.0,23680.0,14430.0
2024-08-31,11589.0,1051.0,37867.0,23923.0,13944.0
2024-11-30,12354.0,1163.0,37959.0,23922.0,14037.0
2025-02-28,11269.0,794.0,37793.0,23786.0,14007.0
2025-05-31,11097.0,211.0,36579.0,23366.0,13213.0
