date,net_income_musd
2009-02-28,244.0
2009-05-31,342.0
2009-08-31,513.0
2009-11-30,375.0
2010-02-28,497.0
2010-05-31,522.0
2010-08-31,559.0
2010-11-30,457.0
2011-02-28,523.0
2011-05-31,594.0
2011-08-31,645.0
2011-11-30,469.0
2012-02-29,560.0
2012-05-31,537.0
2012-08-31,567.0
2012-11-30,384.0
2013-02-28,866.0
2013-05-31,655.0
2013-08-31,779.0
2013-11-30,534.0
2014-02-28,682.0
2014-05-31,698.0
2014-08-31,962.0
2014-11-30,655.0
2015-02-28,791.0
2015-05-31,865.0
2015-08-31,1179.0
2015-11-30,785.0
2016-02-29,950.0
2016-05-31,846.0
2016-08-31,1249.0
2016-11-30,842.0
2017-02-28,1141.0
2017-05-31,1008.0
2017-08-31,950.0
2017-11-30,767.0
2018-02-28,-921.0
2018-05-31,1137.0
2018-08-31,1092.0
2018-11-30,847.0
2019-02-28,1101.0
2019-05-31,989.0
2019-08-31,1367.0
2019-11-30,1115.0
2020-02-29,847.0
2020-05-31,-790.0
2020-08-31,1518.0
2020-11-30,1251.0
2021-02-28,1449.0
2021-05-31,1509.0
2021-08-31,1874.0
2021-11-30,1337.0
2022-02-28,1396.0
2022-05-31,1439.0
2022-08-31,1468.0
2022-11-30,1331.0
2023-02-28,1240.0
2023-05-31,1031.0
2023-08-31,1450.0
2023-11-30,1578.0
2024-02-29,1172.0
2024-05-31,1500.0
2024-08-31,1051.0
2024-11-30,1163.0
2025-02-28,794.0
2025-05-31,211.0
