date,revenue_musd
2009-02-28,4441.0
2009-05-31,4713.0
2009-08-31,4799.0
2009-11-30,4405.0
2010-02-28,4733.0
2010-05-31,5077.0
2010-08-31,5175.0
2010-11-30,4842.0
2011-02-28,5079.0
2011-05-31,5021.0
2011-08-31,6081.0
2011-11-30,5546.0
2012-02-29,5656.0
2012-05-31,6048.0
2012-08-31,6474.0
2012-11-30,5955.0
2013-02-28,6187.0
2013-05-31,6697.0
2013-08-31,6971.0
2013-11-30,6431.0
2014-02-28,6972.0
2014-05-31,7425.0
2014-08-31,7982.0
2014-11-30,7380.0
2015-02-28,7460.0
2015-05-31,7779.0
2015-08-31,8414.0
2015-11-30,7686.0
2016-02-29,8032.0
2016-05-31,8244.0
2016-08-31,9061.0
2016-11-30,8180.0
2017-02-28,8432.0
2017-05-31,8677.0
2017-08-31,9070.0
2017-11-30,8554.0
2018-02-28,8984.0
2018-05-31,9789.0
2018-08-31,9948.0
2018-11-30,9374.0
2019-02-28,9611.0
2019-05-31,10184.0
2019-08-31,10660.0
2019-11-30,10326.0
2020-02-29,10104.0
2020-05-31,6313.0
2020-08-31,10594.0
2020-11-30,11243.0
2021-02-28,10357.0
2021-05-31,12344.0
2021-08-31,12248.0
2021-11-30,11357.0
2022-02-28,10871.0
2022-05-31,12234.0
2022-08-31,12687.0
2022-11-30,13315.0
2023-02-28,12390.0
2023-05-31,12825.0
2023-08-31,12939.0
2023-11-30,13388.0
2024-02-29,12429.0
2024-05-31,12606.0
2024-08-31,11589.0
2024-11-30,12354.0
2025-02-28,11269.0
2025-05-31,11097.0
