date,total_assets_musd
2009-02-28,12256.0
2009-05-31,13250.0
2009-08-31,13191.0
2009-11-30,13358.0
2010-02-28,13576.0
2010-05-31,14419.0
2010-08-31,14051.0
2010-11-30,14464.0
2011-02-28,14478.0
2011-05-31,14998.0
2011-08-31,14803.0
2011-11-30,14565.0
2012-02-29,14794.0
2012-05-31,15465.0
2012-08-31,15114.0
2012-11-30,15171.0
2013-02-28,15615.0
2013-05-31,17545.0
2013-08-31,17674.0
2013-11-30,17820.0
2014-02-28,17803.0
2014-05-31,18594.0
2014-08-31,18521.0
2014-11-30,19167.0
2015-02-28,20541.0
2015-05-31,21597.0
2015-08-31,20766.0
2015-11-30,22583.0
2016-02-29,20987.0
2016-05-31,21379.0
2016-08-31,21156.0
2016-11-30,22652.0
2017-02-28,23152.0
2017-05-31,23259.0
2017-08-31,23647.0
2017-11-30,24055.0
2018-02-28,22552.0
2018-05-31,22536.0
2018-08-31,22483.0
2018-11-30,22677.0
2019-02-28,22921.0
2019-05-31,23717.0
2019-08-31,26249.0
2019-11-30,26602.0
2020-02-29,26220.0
2020-05-31,31342.0
2020-08-31,33258.0
2020-11-30,34836.0
2021-02-28,36185.0
2021-05-31,37740.0
2021-08-31,37917.0
2021-11-30,38917.0
2022-02-28,38577.0
2022-05-31,40321.0
2022-08-31,41088.0
2022-11-30,39647.0
2023-02-28,38294.0
2023-05-31,37531.0
2023-08-31,36786.0
2023-11-30,37203.0
2024-02-29,37356.0
2024-05-31,38110.0
2024-08-31,37867.0
2024-11-30,37959.0
2025-02-28,37793.0
2025-05-31,36579.0
