date,total_assets_musd
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,148.0
2010-09-30,362.0
2010-12-31,386.0
2011-03-31,407.0
2011-06-30,646.0
2011-09-30,700.0
2011-12-31,713.0
2012-03-31,761.0
2012-06-30,777.0
2012-09-30,809.0
2012-12-31,1114.0
2013-03-31,1144.0
2013-06-30,1888.0
2013-09-30,2166.0
2013-12-31,2417.0
2014-03-31,4500.0
2014-06-30,5054.0
2014-09-30,5438.0
2014-12-31,5831.0
2015-03-31,6120.0
2015-06-30,6468.0
2015-09-30,7547.0
2015-12-31,8068.0
2016-03-31,9192.0
2016-06-30,11869.0
2016-09-30,12592.0
2016-12-31,22664.0
2017-03-31,25054.0
2017-06-30,26044.0
2017-09-30,28107.0
2017-12-31,28655.0
2018-03-31,27271.0
2018-06-30,27910.0
2018-09-30,29263.0
2018-12-31,29740.0
2019-03-31,28913.0
2019-06-30,31873.0
2019-09-30,32795.0
2019-12-31,34309.0
2020-03-31,37250.0
2020-06-30,38135.0
2020-09-30,45691.0
2020-12-31,52148.0
2021-03-31,52972.0
2021-06-30,55146.0
2021-09-30,57834.0
2021-12-31,62131.0
2022-03-31,66038.0
2022-06-30,68513.0
2022-09-30,74426.0
2022-12-31,82338.0
2023-03-31,86833.0
2023-06-30,90591.0
2023-09-30,93941.0
2023-12-31,106618.0
2024-03-31,109226.0
2024-06-30,112832.0
2024-09-30,119852.0
2024-12-31,122070.0
2025-03-31,125111.0
2025-06-30,128567.0
