quarter,Price,revenue,net_income,ratio assets/libailities,shareholders_equity,gdp_growth
Q1 2010,6.407192301519015,15683000000,3378000000,2.9698204648088997,35768000000,2.78
Q2 2010,7.127072533392729,13499000000,3074000000,3.2219210570896153,39348000000,1.75
Q3 2010,7.634114538742751,15700000000,3253000000,2.9945868418617563,43111000000,2.91
Q4 2010,8.590257154655237,20343000000,4308000000,2.74470648364486,47791000000,3.34
Q1 2011,9.775751174536534,26741000000,6004000000,2.704264870931538,54666000000,1.54
Q2 2011,10.54036395372608,24667000000,5987000000,2.8391420109492325,61477000000,2.04
Q3 2011,10.085255980258951,28571000000,7308000000,2.853347587865829,69343000000,1.74
Q4 2011,11.418752982040427,28270000000,6623000000,2.927130496025757,76615000000,0.94
Q1 2012,12.290237794613976,46333000000,13064000000,2.8519341106792524,90054000000,1.55
Q2 2012,18.06700868129594,39186000000,11622000000,3.1161532744239824,102498000000,2.64
Q3 2012,17.553662279965923,35023000000,8824000000,3.184672531769306,111746000000,2.4
Q4 2012,20.234802623191623,35966000000,8223000000,3.0432467936529886,118210000000,2.57
Q1 2013,16.773384739391755,54512000000,13078000000,2.852521020627855,127346000000,3.01
Q2 2013,13.461695072024886,43603000000,9547000000,3.286635275851012,135490000000,1.7
Q3 2013,12.348432590573491,35323000000,6900000000,2.612428433243575,123354000000,1.52
Q4 2013,14.768476413403825,37472000000,7512000000,2.4804975374770826,123549000000,2.24
Q1 2014,17.252507563313664,57594000000,13072000000,2.3579476439790574,129684000000,2.69
Q2 2014,16.796069533453636,45646000000,10223000000,2.4005244144039155,120179000000,1.65
Q3 2014,20.56083072711747,37432000000,7748000000,2.190588698562709,120940000000,2.69
Q4 2014,22.225214323363616,88562000000,17308000000,1.5555845684538612,134047000000,3.06
Q1 2015,24.718173321241128,74599000000,18024000000,1.8849789991772874,123328000000,2.12
Q2 2015,27.807693648981864,58010000000,13569000000,1.975928223439344,129006000000,3.97
Q3 2015,28.38917530632846,49605000000,10677000000,1.852197675522465,125677000000,3.28
Q4 2015,24.51081977067328,51501000000,11124000000,1.697476683574484,119355000000,2.45
Q1 2016,23.15780012839032,75872000000,18361000000,1.7772956725670688,128267000000,2.18
Q2 2016,24.683501032839786,50557000000,10516000000,1.7462361285894064,130457000000,1.8
Q3 2016,21.799764113531783,42358000000,7796000000,1.7066921328485822,126541000000,1.49
Q4 2016,25.870366230434374,46852000000,9014000000,1.663001390633643,128249000000,1.81
Q1 2017,26.716089645016503,88293000000,20065000000,1.5258875822877398,140199000000,2.99
Q2 2017,33.298912991322226,52896000000,11029000000,1.6689049638313793,134082000000,2.09
Q3 2017,33.70858325052022,45408000000,8717000000,1.6224500347829356,132425000000,2.33
Q4 2017,36.03192595106144,52579000000,10714000000,1.5555845684538612,134047000000,2.41
Q1 2018,39.88871097809898,88293000000,20065000000,1.5258875822877398,140199000000,2.13
Q2 2018,39.22282839420856,61137000000,13822000000,1.527287386129397,126878000000,3.33
Q3 2018,43.433407637720805,53265000000,11519000000,1.4907149687510672,114949000000,3.3
Q4 2018,54.04943378055641,62900000000,14125000000,1.4143701320297937,107147000000,3.13
Q1 2019,36.85425257704317,84310000000,19965000000,1.4608270432753385,117892000000,3.35
Q2 2019,45.79404643075548,58015000000,11561000000,1.4482971821561967,105860000000,1.93
Q3 2019,48.73621623042302,53809000000,10044000000,1.427206654176798,96456000000,2.24
Q4 2019,54.19468906024202,64040000000,13686000000,1.3648297772832099,90488000000,2.8
Q1 2020,71.54587762755796,91819000000,22236000000,1.3565736179093302,89531000000,-1.02
Q2 2020,59.67430043279288,58313000000,11249000000,1.3241037297241451,78425000000,1.28
Q3 2020,88.62988121249819,59685000000,11253000000,1.294953930025871,72282000000,-7.5
Q4 2020,114.43051328659791,64698000000,12673000000,1.252714185705611,65339000000,-1.41
Q1 2021,130.10135416343297,111439000000,28755000000,1.2300802557064934,66224000000,5.72
Q2 2021,120.67381575779346,89584000000,23630000000,1.258146130308232,69178000000,1.76
Q3 2021,133.5278395519224,81434000000,21744000000,1.242054526284079,64280000000,12.24
Q4 2021,138.9164248983776,83360000000,20551000000,1.2191294562227348,63090000000,4.98
Q1 2022,174.34502884595395,123945000000,34630000000,1.2325946860075212,71932000000,1.32
Q2 2022,170.83692919102796,97278000000,25010000000,1.2379378881110488,67399000000,4.01
Q3 2022,133.7401421754159,82959000000,19442000000,1.208866219509565,58107000000,2.48
Q4 2022,136.06216773733206,90146000000,20721000000,1.167741978198045,50672000000,2.3
Q1 2023,128.46817031864887,117154000000,29998000000,1.1955968553892835,56727000000,3.2
Q2 2023,162.2328322007229,94836000000,24160000000,1.230213109532522,62158000000,2.28
Q3 2023,191.6415556087086,81797000000,19881000000,1.2193664381068845,60274000000,2.83
Q4 2023,169.55917264153635,89498000000,22956000000,1.2139741148682848,62146000000,3.24
Q1 2024,185.57882656840204,119575000000,33916000000,1.2651978784169726,74100000000,2.53
Q2 2024,169.96942364531677,90753000000,23636000000,1.2818738911240535,74194000000,2.9
Q3 2024,210.8634236542864,85777000000,21448000000,1.251819527073959,66708000000,3.04
Q4 2024,228.45677246402784,94930000000,14736000000,1.1848845891633932,56950000000,2.72
Q1 2025,248.04944675902723,124300000000,36330000000,1.240719439506431,66758000000,
Q2 2025,219.27327313828556,95359000000,24780000000,1.252597026891093,66796000000,1.99
Q3 2025,206.435712652381,94036000000,23434000000,1.2477932734835224,65830000000,1.99
