,date,Price,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd,gdp_growth,interest_rate
0,2009-03-31,3.049999952316284,1177.0,-416.0,9052.0,9215.0,-163.0,-3.23,0.15
1,2009-06-30,3.869999885559082,1184.0,-330.0,8683.0,9148.0,-465.0,-3.98,0.16
2,2009-09-30,5.659999847412109,1396.0,-128.0,8747.0,9316.0,-569.0,-3.13,0.12
3,2009-12-31,9.68000030517578,1646.0,1178.0,9078.0,8430.0,648.0,0.11,0.11
4,2010-03-31,9.270000457763672,1574.0,257.0,5232.0,4436.0,796.0,1.75,0.2
5,2010-06-30,7.320000171661377,1653.0,-43.0,4955.0,4203.0,752.0,2.91,0.18
6,2010-09-30,7.110000133514404,1618.0,-118.0,4595.0,3981.0,614.0,3.34,0.19
7,2010-12-31,8.180000305175781,1649.0,375.0,4964.0,3951.0,1013.0,2.78,0.17
8,2011-03-31,8.600000381469727,1613.0,510.0,5209.0,3651.0,1558.0,2.04,0.1
9,2011-06-30,6.989999771118164,1574.0,61.0,5224.0,3583.0,1641.0,1.74,0.07
10,2011-09-30,5.079999923706055,1690.0,97.0,5236.0,3492.0,1744.0,0.94,0.07
11,2011-12-31,5.400000095367432,1691.0,-177.0,4954.0,3364.0,1590.0,1.54,0.08
12,2012-03-31,8.020000457763672,1585.0,-590.0,4988.0,3936.0,1052.0,2.64,0.14
13,2012-06-30,5.730000019073486,1413.0,37.0,5041.0,3924.0,1117.0,2.4,0.16
14,2012-09-30,3.369999885559082,1269.0,-157.0,4612.0,3623.0,989.0,2.57,0.16
15,2012-12-31,2.4000000953674316,1155.0,-473.0,4000.0,3462.0,538.0,1.55,0.14
16,2013-03-31,2.549999952316284,1088.0,-146.0,3797.0,3382.0,415.0,1.7,0.15
17,2013-06-30,4.079999923706055,1161.0,-74.0,3897.0,3538.0,359.0,1.52,0.09
18,2013-09-30,3.809999942779541,1461.0,48.0,4317.0,3883.0,434.0,2.24,0.09
19,2013-12-31,3.869999885559082,1589.0,89.0,4337.0,3793.0,544.0,3.01,0.07
20,2014-03-31,4.010000228881836,1397.0,-20.0,4108.0,3597.0,511.0,1.65,0.09
21,2014-06-30,4.190000057220459,1441.0,-36.0,4246.0,3745.0,501.0,2.69,0.09
22,2014-09-30,3.4100000858306885,1429.0,17.0,4325.0,3790.0,535.0,3.06,0.09
23,2014-12-31,2.6700000762939453,1239.0,-364.0,3767.0,3580.0,187.0,2.69,0.11
24,2015-03-31,2.680000066757202,1030.0,-180.0,3428.0,3411.0,17.0,3.97,0.12
25,2015-06-30,2.4000000953674316,942.0,-181.0,3381.0,3522.0,-141.0,3.28,0.13
26,2015-09-30,1.7200000286102295,1061.0,-197.0,3229.0,3565.0,-336.0,2.45,0.12
27,2015-12-31,2.869999885559082,958.0,-102.0,3084.0,3496.0,-412.0,2.12,0.34
28,2016-03-31,2.8499999046325684,832.0,-109.0,2981.0,3484.0,-503.0,1.8,0.37
29,2016-06-30,5.139999866485596,1027.0,69.0,3316.0,3729.0,-413.0,1.49,0.39
30,2016-09-30,6.909999847412109,1307.0,-406.0,3616.0,3231.0,385.0,1.81,0.4
31,2016-12-31,11.34000015258789,1153.0,-52.0,3321.0,2905.0,416.0,2.18,0.65
32,2017-03-31,14.550000190734863,1178.0,-33.0,3299.0,2890.0,409.0,2.09,0.9
33,2017-06-30,12.479999542236328,1151.0,-42.0,3370.0,2953.0,417.0,2.33,1.15
34,2017-09-30,12.75,1584.0,61.0,3586.0,3066.0,520.0,2.41,1.15
35,2017-12-31,10.279999732971191,1340.0,-19.0,3552.0,2956.0,596.0,2.99,1.41
36,2018-03-31,10.050000190734863,1647.0,81.0,3763.0,3048.0,715.0,3.33,1.69
37,2018-06-30,14.989999771118164,1756.0,116.0,4103.0,3224.0,879.0,3.3,1.91
38,2018-09-30,30.88999938964844,1653.0,102.0,4347.0,3222.0,1125.0,3.13,2.19
39,2018-12-31,18.459999084472656,1419.0,38.0,4556.0,3290.0,1266.0,2.13,2.4
40,2019-03-31,25.520000457763672,1272.0,16.0,4931.0,3143.0,1788.0,1.93,2.42
41,2019-06-30,30.3700008392334,1531.0,35.0,5102.0,3201.0,1901.0,2.24,2.4
42,2019-09-30,28.989999771118164,1801.0,120.0,5253.0,3077.0,2176.0,2.8,1.83
43,2019-12-31,45.86000061035156,2127.0,170.0,6028.0,3201.0,2827.0,3.35,1.55
44,2020-03-31,45.47999954223633,1786.0,162.0,5864.0,2827.0,3037.0,1.28,0.05
45,2020-06-30,52.61000061035156,1932.0,157.0,6583.0,3278.0,3305.0,-7.5,0.09
46,2020-09-30,81.98999786376953,2801.0,390.0,7023.0,3156.0,3867.0,-1.41,0.09
47,2020-12-31,91.70999908447266,3244.0,1781.0,8962.0,3125.0,5837.0,-1.02,0.09
48,2021-03-31,78.5,3445.0,555.0,10047.0,3570.0,6477.0,1.76,0.07
49,2021-06-30,93.93000030517578,3850.0,710.0,10691.0,3626.0,7065.0,12.24,0.1
50,2021-09-30,102.9000015258789,4313.0,923.0,11153.0,4017.0,7136.0,4.98,0.08
51,2021-12-31,143.89999389648438,4826.0,974.0,12419.0,4922.0,7497.0,5.72,0.08
52,2022-03-31,109.33999633789062,5887.0,786.0,66915.0,11582.0,55333.0,4.01,0.33
53,2022-06-30,76.47000122070312,6550.0,447.0,67502.0,12333.0,55169.0,2.48,1.68
54,2022-09-30,63.36000061035156,5565.0,66.0,67811.0,13269.0,54542.0,2.3,3.08
55,2022-12-31,64.7699966430664,5599.0,21.0,67580.0,12830.0,54750.0,1.32,4.33
56,2023-03-31,98.01000213623048,5353.0,-139.0,67634.0,12940.0,54694.0,2.28,4.83
57,2023-06-30,113.91000366210938,5359.0,27.0,67967.0,12831.0,55136.0,2.83,5.12
58,2023-09-30,102.81999969482422,5800.0,299.0,67626.0,12656.0,54970.0,3.24,5.33
59,2023-12-31,147.41000366210938,6168.0,667.0,67885.0,11993.0,55892.0,3.2,5.33
60,2024-03-31,180.4900054931641,5473.0,123.0,67895.0,11697.0,56198.0,2.9,5.33
61,2024-06-30,162.2100067138672,5835.0,265.0,67886.0,11348.0,56538.0,3.04,5.33
62,2024-09-30,164.0800018310547,6819.0,771.0,69636.0,12651.0,56985.0,2.72,4.83
63,2024-12-31,120.79000091552734,7658.0,482.0,69226.0,11658.0,57568.0,2.53,4.33
64,2025-03-31,102.73999786376952,7438.0,709.0,71550.0,13669.0,57881.0,1.99,4.33
65,2025-06-30,141.89999389648438,7685.0,872.0,74820.0,15155.0,59665.0,1.99,4.33
