,Date,Price,calendar_quarter
0,2008-09-30,3.4120869636535645,Q3 2008
1,2008-10-31,3.2298643589019775,Q4 2008
2,2008-11-30,2.7819645404815674,Q4 2008
3,2008-12-31,2.5622169971466064,Q4 2008
4,2009-01-31,2.7057132720947266,Q1 2009
5,2009-02-28,2.6810967922210693,Q1 2009
6,2009-03-31,3.155714750289917,Q1 2009
7,2009-04-30,3.777432441711426,Q2 2009
8,2009-05-31,4.077032566070557,Q2 2009
9,2009-06-30,4.275763988494873,Q2 2009
10,2009-07-31,4.904988765716553,Q3 2009
11,2009-08-31,5.049685478210449,Q3 2009
12,2009-09-30,5.5642290115356445,Q3 2009
13,2009-10-31,5.658792495727539,Q4 2009
14,2009-11-30,6.001321792602539,Q4 2009
15,2009-12-31,6.326139450073242,Q4 2009
16,2010-01-31,5.765664577484131,Q1 2010
17,2010-02-28,6.142718315124512,Q1 2010
18,2010-03-31,7.054725170135498,Q1 2010
19,2010-04-30,7.837948322296143,Q2 2010
20,2010-05-31,7.711569786071777,Q2 2010
21,2010-06-30,7.550960540771484,Q2 2010
22,2010-07-31,7.722673416137695,Q3 2010
23,2010-08-31,7.297890663146973,Q3 2010
24,2010-09-30,8.518208503723145,Q3 2010
25,2010-10-31,9.035454750061035,Q4 2010
26,2010-11-30,9.34075927734375,Q4 2010
27,2010-12-31,9.683290481567383,Q4 2010
28,2011-01-31,10.186426162719727,Q1 2011
29,2011-02-28,10.603409767150879,Q1 2011
30,2011-03-31,10.462308883666992,Q1 2011
31,2011-04-30,10.510945320129395,Q2 2011
32,2011-05-31,10.441900253295898,Q2 2011
33,2011-06-30,10.07685375213623,Q2 2011
34,2011-07-31,11.722253799438477,Q3 2011
35,2011-08-31,11.552640914916992,Q3 2011
36,2011-09-30,11.447272300720215,Q3 2011
37,2011-10-31,12.151540756225586,Q4 2011
38,2011-11-30,11.473689079284668,Q4 2011
39,2011-12-31,12.1581449508667,Q4 2011
40,2012-01-31,13.703583717346191,Q1 2012
41,2012-02-29,16.284116744995117,Q1 2012
42,2012-03-31,17.99856185913086,Q1 2012
43,2012-04-30,17.531158447265625,Q2 2012
44,2012-05-31,17.34352684020996,Q2 2012
45,2012-06-30,17.531747817993164,Q2 2012
46,2012-07-31,18.3350830078125,Q3 2012
47,2012-08-31,20.056324005126953,Q3 2012
48,2012-09-30,20.112403869628906,Q3 2012
49,2012-10-31,17.948305130004883,Q4 2012
50,2012-11-30,17.726200103759766,Q4 2012
