,Date,Price,calendar_quarter
0,2008-09-30,13.345490455627441,Q3 2008
1,2008-10-31,11.496272087097168,Q4 2008
2,2008-11-30,10.622530937194824,Q4 2008
3,2008-12-31,10.222829818725586,Q4 2008
4,2009-01-31,9.070256233215332,Q1 2009
5,2009-02-28,8.324588775634766,Q1 2009
6,2009-03-31,9.454538345336914,Q1 2009
7,2009-04-30,10.5796480178833,Q2 2009
8,2009-05-31,11.50312328338623,Q2 2009
9,2009-06-30,10.48558521270752,Q2 2009
10,2009-07-31,11.469747543334961,Q3 2009
11,2009-08-31,11.216618537902832,Q3 2009
12,2009-09-30,13.16364860534668,Q3 2009
13,2009-10-31,12.650938987731934,Q4 2009
14,2009-11-30,13.202309608459473,Q4 2009
15,2009-12-31,13.498160362243652,Q4 2009
16,2010-01-31,13.024176597595215,Q1 2010
17,2010-02-28,13.810737609863281,Q1 2010
18,2010-03-31,15.076287269592285,Q1 2010
19,2010-04-30,15.570631980895996,Q2 2010
20,2010-05-31,14.846562385559082,Q2 2010
21,2010-06-30,13.907271385192871,Q2 2010
22,2010-07-31,15.161081314086914,Q3 2010
23,2010-08-31,14.411684036254883,Q3 2010
24,2010-09-30,16.561302185058594,Q3 2010
25,2010-10-31,16.829954147338867,Q4 2010
26,2010-11-30,17.799169540405273,Q4 2010
27,2010-12-31,17.715105056762695,Q4 2010
28,2011-01-31,17.10538101196289,Q1 2011
29,2011-02-28,18.46377182006836,Q1 2011
30,2011-03-31,15.754575729370117,Q1 2011
31,2011-04-30,17.13232421875,Q2 2011
32,2011-05-31,17.575620651245117,Q2 2011
33,2011-06-30,18.79745864868164,Q2 2011
34,2011-07-31,18.832969665527344,Q3 2011
35,2011-08-31,18.101791381835938,Q3 2011
36,2011-09-30,17.927776336669922,Q3 2011
37,2011-10-31,20.200458526611328,Q4 2011
38,2011-11-30,20.164812088012695,Q4 2011
39,2011-12-31,20.280563354492188,Q4 2011
40,2012-01-31,21.884143829345703,Q1 2012
41,2012-02-29,22.711196899414062,Q1 2012
42,2012-03-31,22.89701271057129,Q1 2012
43,2012-04-30,23.62125015258789,Q2 2012
44,2012-05-31,22.918075561523438,Q2 2012
45,2012-06-30,18.59630012512207,Q2 2012
46,2012-07-31,19.77631950378418,Q3 2012
47,2012-08-31,20.701358795166016,Q3 2012
48,2012-09-30,20.180416107177734,Q3 2012
49,2012-10-31,19.42984390258789,Q4 2012
50,2012-11-30,20.72687339782715,Q4 2012
51,2012-12-31,22.037857055664062,Q4 2012
52,2013-01-31,23.084232330322266,Q1 2013
53,2013-02-28,23.349571228027344,Q1 2013
54,2013-03-31,25.30036735534668,Q1 2013
