filing_date,period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity,xbrl_source
2010-08-13,,10-Q,,,,,,
2010-11-12,,10-Q,,,,,,
2011-03-03,,10-K,,,,,,
2011-05-13,,10-Q,,,,,,
2011-08-12,2011-06-30,10-Q,58171000.0,-58903000.0,646155000.0,297703000.0,348452000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312511221497/tsla-20110630.xml
2011-11-14,2011-09-30,10-Q,57666000.0,-65078000.0,700250000.0,406132000.0,294118000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312511308489/tsla-20110930.xml
2012-02-27,2011-12-31,10-K,204242000.0,-254411000.0,713448000.0,489403000.0,224045000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312512081990/tsla-20111231.xml
2012-03-28,2011-12-31,10-K,204242000.0,-254411000.0,713448000.0,489403000.0,224045000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312512137560/tsla-20111231.xml
2012-05-10,2012-03-31,10-Q,30167000.0,-89873000.0,761100000.0,607226000.0,153874000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312512225825/tsla-20120331.xml
2012-08-02,2012-06-30,10-Q,26653000.0,-105603000.0,776869000.0,714654000.0,62215000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312512332138/tsla-20120630.xml
2012-11-07,2012-09-30,10-Q,50104000.0,-110804000.0,809177000.0,837052000.0,-27875000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312512457610/tsla-20120930.xml
2013-03-07,2012-12-31,10-K,413256000.0,-396213000.0,1114190000.0,989490000.0,124700000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312513096241/tsla-20121231.xml
2013-05-10,2013-03-31,10-Q,561792000.0,11248000.0,1143778000.0,975195000.0,168583000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312513212354/tsla-20130331.xml
2013-08-09,2013-06-30,10-Q,405139000.0,-30502000.0,1887844000.0,1258418000.0,629426000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312513327916/tsla-20130630.xml
2013-11-08,2013-09-30,10-Q,431346000.0,-38496000.0,2166209000.0,1524546000.0,564165000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312513435480/tsla-20130930.xml
2014-02-26,2013-12-31,10-K,2013496000.0,-74014000.0,2416930000.0,1749810000.0,667120000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312514069681/tsla-20131231.xml
2014-05-09,2014-03-31,10-Q,620542000.0,-49800000.0,4500410000.0,3518412000.0,912056000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312514192606/tsla-20140331.xml
2014-08-08,2014-06-30,10-Q,769349000.0,-61900000.0,5054463000.0,4036047000.0,952333000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312514303175/tsla-20140630.xml
2014-11-07,2014-09-30,10-Q,851804000.0,-74708000.0,5437533000.0,4417278000.0,958094000.0,https://www.sec.gov/Archives/edgar/data/1318605/000119312514403635/tsla-20140930.xml
2015-02-26,2014-12-31,10-K,3198356000.0,-294040000.0,5849251000.0,4879345000.0,911710000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459015001031/tsla-20141231.xml
2015-05-11,2015-03-31,10-Q,939880000.0,-154181000.0,6120030000.0,5239756000.0,825997000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459015003789/tsla-20150331.xml
2015-08-07,2015-06-30,10-Q,954976000.0,-184227000.0,6468185000.0,5701978000.0,715934000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459015006666/tsla-20150630.xml
2015-11-05,2015-09-30,10-Q,936789000.0,-229858000.0,7547497000.0,6186660000.0,1314656000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459015009741/tsla-20150930.xml
2016-02-24,2015-12-31,10-K,4046025000.0,-888663000.0,8092460000.0,6961471000.0,1088944000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459016013195/tsla-20151231.xml
2016-05-10,2016-03-31,10-Q,1147048000.0,-282267000.0,9191702000.0,8178711000.0,970365000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459016018886/tsla-20160331.xml
2016-08-05,2016-06-30,10-Q,1270017000.0,-293188000.0,11868952000.0,9311512000.0,2520294000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459016023024/tsla-20160630.xml
2016-11-02,2016-09-30,10-Q,2298436000.0,21878000.0,12592397000.0,9900639000.0,2680488000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459016026820/tsla-20160930.xml
2017-03-01,2016-12-31,10-K,7000132000.0,-674914000.0,22664076000.0,16750167000.0,367039000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459017003118/tsla-20161231.xml
