filing_date,period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity
2017-05-10,2017-03-31,10-Q,2482326000.0,162129000.0,25053726000.0,18885353000.0,4987719000.0
2017-08-04,2017-06-30,10-Q,2502777000.0,165212000.0,26043705000.0,19459902000.0,5105752000.0
2017-11-03,2017-09-30,10-Q,2667170000.0,,28107074000.0,21929057000.0,4711480000.0
2018-02-23,2017-12-31,10-K,7536876000.0,22000.0,28655372000.0,23022980000.0,4237242000.0
2018-05-07,2018-03-31,10-Q,2998729000.0,36343000.0,27271429000.0,21551021000.0,4450695000.0
2018-08-06,2018-06-30,10-Q,3627823000.0,53915000.0,27910000000.0,22642887000.0,3906421000.0
2018-11-02,2018-09-30,10-Q,6425096000.0,254673000.0,29262713000.0,23409144000.0,4508838000.0
2019-02-19,2018-12-31,10-K,7536876000.0,170525000.0,29739614000.0,23426010000.0,4923243000.0
2019-04-29,2019-03-31,10-Q,4216803000.0,34490000.0,28912524000.0,22874618000.0,4605596000.0
2019-07-29,2019-06-30,10-Q,5981468000.0,19072000.0,31872597000.0,24722136000.0,5715393000.0
2019-10-29,2019-09-30,10-Q,5901000000.0,150000000.0,32795000000.0,25313000000.0,6040000000.0
2020-02-13,2019-12-31,10-K,23047000.0,177000.0,34309000.0,26199000.0,6618000.0
2020-04-30,2020-03-31,10-Q,5692000.0,68000.0,37250000.0,26518000.0,9173000.0
2020-07-28,2020-06-30,10-Q,5666000.0,129000.0,38135000.0,26754000.0,9855000.0
2020-10-26,2020-09-30,10-Q,8192000.0,369000.0,45691000.0,28143000.0,16031000.0
2021-02-08,2020-12-31,10-K,29542000.0,721000.0,52148000.0,28418000.0,22225000.0
2021-04-28,2021-03-31,10-Q,9895000.0,464000.0,52972000.0,28507000.0,23017000.0
2021-07-27,2021-06-30,10-Q,11157000.0,1178000.0,55146000.0,28896000.0,24804000.0
2021-10-25,2021-09-30,10-Q,12951000.0,1659000.0,57834000.0,29340000.0,27053000.0
2022-02-07,2021-12-31,10-K,51034000.0,125000.0,62131000.0,30548000.0,30189000.0
2022-04-25,2022-03-31,10-Q,18140000.0,3280000.0,66038000.0,30632000.0,34085000.0
2022-07-25,2022-06-30,10-Q,16068000.0,2269000.0,68513000.0,30855000.0,36376000.0
2022-10-24,2022-09-30,10-Q,20337000.0,3331000.0,74426000.0,33302000.0,39851000.0
2023-01-31,2022-12-31,10-K,77553000.0,31000.0,82338000.0,36440000.0,44704000.0
2023-04-24,2023-03-31,10-Q,21800000000.0,2539000000.0,86833000000.0,37598000000.0,48054000000.0
2023-07-24,2023-06-30,10-Q,23418000000.0,2614000000.0,90591000000.0,38409000000.0,51130000000.0
2023-10-23,2022-12-31,10-Q,21791000000.0,1878000000.0,93941000000.0,39446000000.0,53466000000.0
2024-01-29,2023-12-31,10-K,90738000.0,14974000.0,106618000.0,43009000.0,62634000.0
2024-04-24,2023-12-31,10-Q,19666000000.0,1144000000.0,109226000000.0,44046000000.0,64378000000.0
2024-07-24,2023-12-31,10-Q,22486000000.0,1494000000.0,112832000000.0,45569000000.0,66468000000.0
2024-10-24,2023-12-31,10-Q,22806000000.0,2183000000.0,119852000000.0,49142000000.0,69931000000.0
2025-01-30,2024-12-31,10-K,87604000.0,7153000.0,122070000.0,48390000.0,72913000.0
2025-04-23,2025-03-31,10-Q,16605000000.0,420000000.0,125111000000.0,49693000000.0,74653000000.0
