filing_date,period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity
2022-03-18,2022-01-31,10-K,567762000.0,13940000.0,248678000.0,244860000.0,56000.0
2022-06-03,2022-04-30,10-Q,140288000000.0,2103000000.0,246142000000.0,246142000000.0,6000000.0
2022-09-02,2022-07-31,10-Q,151381000000.0,5147000000.0,247199000000.0,247199000000.0,6000000.0
2022-12-01,2022-10-31,10-Q,151469000000.0,3132000000.0,247656000000.0,247656000000.0,6000000.0
2023-03-17,2023-01-31,10-K,605881000.0,11292000.0,244029000.0,243197000.0,57000.0
2023-06-02,2023-04-30,10-Q,151004000000.0,1896000000.0,245053000000.0,245053000000.0,6000000.0
2023-09-01,2023-07-31,10-Q,160280000000.0,8053000000.0,255121000000.0,255121000000.0,6000000.0
2023-11-30,2023-10-31,10-Q,159439000000.0,643000000.0,259174000000.0,259174000000.0,7000000.0
2024-03-15,2024-01-31,10-K,642637000.0,16270000.0,247798000.0,252399000.0,57000.0
2024-06-07,2024-04-30,10-Q,159938000000.0,5307000000.0,254054000000.0,254054000000.0,7000000.0
2024-08-30,2024-07-31,10-Q,167767000000.0,4711000000.0,254440000000.0,254440000000.0,7000000.0
2024-12-06,2024-10-31,10-Q,168003000000.0,4714000000.0,263399000000.0,263399000000.0,7000000.0
2025-03-14,2025-01-31,10-K,674538000.0,20157000.0,256611000.0,260823000.0,56000.0
2025-06-06,2025-04-30,10-Q,163981000000.0,4639000000.0,262372000000.0,262372000000.0,6000000.0
