calendar_quarter,period_end,Price,revenue,net_income,ratio assets/libailities,shareholders_equity,gdp_growth,interest_rate
Q3 2009,2009-09-30,19.172718048095703,12920000000.0,3574000000.0,2.02009900990099,41212000000.0,0.5,0.12
Q4 2009,2009-12-31,22.821439743041992,19022000000.0,6662000000.0,2.171105175468754,44283000000.0,0.11,0.12
Q1 2010,2010-03-31,22.033004760742188,14503000000.0,4006000000.0,2.1660714285714286,45710000000.0,1.75,0.1333333333333333
Q2 2010,2010-06-30,17.38705825805664,16039000000.0,4518000000.0,2.1561670589413593,46175000000.0,2.91,0.1933333333333333
Q3 2010,2010-09-30,18.60410499572754,16195000000.0,5410000000.0,2.0525584106910624,46942000000.0,3.34,0.1866666666666666
Q4 2010,2010-12-31,21.33242416381836,19953000000.0,6634000000.0,2.1062407301768395,48481000000.0,2.78,0.1866666666666666
Q1 2011,2011-03-31,19.521011352539062,16428000000.0,5232000000.0,2.1550945434900055,53452000000.0,2.04,0.1566666666666666
Q2 2011,2011-06-30,20.12104606628418,17367000000.0,5874000000.0,2.105809651110982,57083000000.0,1.74,0.0933333333333333
Q3 2011,2011-09-30,19.383609771728516,17372000000.0,5738000000.0,2.2366941529235382,59391000000.0,0.94,0.0833333333333333
Q4 2011,2011-12-31,20.369123458862305,20885000000.0,6624000000.0,2.3324674784921657,64121000000.0,1.54,0.0733333333333333
Q1 2012,2012-03-31,25.47896194458008,17407000000.0,5108000000.0,2.3912382727806936,68659000000.0,2.64,0.1033333333333333
Q2 2012,2012-06-30,24.318527221679688,18059000000.0,-492000000.0,2.208621694470751,66363000000.0,2.4,0.1533333333333333
Q3 2012,2012-09-30,23.815418243408203,16008000000.0,4466000000.0,2.297812971342383,68836000000.0,2.57,0.1433333333333333
Q4 2012,2012-12-31,21.550296783447266,21456000000.0,6377000000.0,2.293528436736949,72576000000.0,1.55,0.16
Q1 2013,2013-03-31,23.27438163757324,20489000000.0,6055000000.0,2.3356323040214573,76688000000.0,1.7,0.1433333333333333
Q2 2013,2013-06-30,28.295501708984375,19896000000.0,4965000000.0,2.243467166506529,78944000000.0,1.52,0.1166666666666666
Q3 2013,2013-09-30,27.45541000366211,18529000000.0,5244000000.0,2.3448366745185893,81641000000.0,2.24,0.0833333333333333
Q4 2013,2013-12-31,31.096656799316406,24519000000.0,6558000000.0,2.2433703958038076,85100000000.0,3.01,0.0866666666666666
Q1 2014,2014-03-31,34.327972412109375,20403000000.0,5660000000.0,2.272639930125919,87424000000.0,1.65,0.0733333333333333
Q2 2014,2014-06-30,35.168949127197266,23382000000.0,4612000000.0,2.0869733656174336,89784000000.0,2.69,0.0933333333333333
Q3 2014,2014-09-30,39.343299865722656,23201000000.0,4540000000.0,2.134413607427723,90170000000.0,3.06,0.09
Q4 2014,2014-12-31,39.668312072753906,26470000000.0,5863000000.0,2.1073895069242727,91879000000.0,2.69,0.0999999999999999
Q1 2015,2015-03-31,34.970767974853516,21729000000.0,4985000000.0,2.0413744497463924,90132000000.0,3.97,0.11
Q2 2015,2015-06-30,38.21922302246094,22180000000.0,-3195000000.0,1.8329831495735387,80083000000.0,3.28,0.1233333333333333
Q3 2015,2015-09-30,38.56709289550781,20379000000.0,4620000000.0,1.8113587076091398,77445000000.0,2.45,0.1366666666666667
Q4 2015,2015-12-31,48.66979217529297,23796000000.0,4998000000.0,1.743142530827155,76780000000.0,2.12,0.16
Q1 2016,2016-03-31,48.79835891723633,20531000000.0,3756000000.0,1.6987101052651243,74806000000.0,1.8,0.36
Q2 2016,2016-06-30,45.52735900878906,20614000000.0,3424000000.0,1.5916086674281207,71997000000.0,1.49,0.3733333333333333
Q3 2016,2016-09-30,51.56773376464844,20453000000.0,4690000000.0,1.495047554730148,70372000000.0,1.81,0.3966666666666666
Q4 2016,2016-12-31,56.00809860229492,24090000000.0,5200000000.0,1.4416467160031066,68809000000.0,2.18,0.45
Q1 2017,2017-03-31,59.72090148925781,22090000000.0,4801000000.0,1.4490301890680541,69729000000.0,2.09,0.7000000000000001
Q2 2017,2017-06-30,62.86299514770508,23317000000.0,6513000000.0,1.4291489815758898,72394000000.0,2.33,0.95
Q3 2017,2017-09-30,68.29557800292969,24538000000.0,6576000000.0,1.5622264032612103,89647000000.0,2.41,1.153333333333333
Q4 2017,2017-12-31,78.82054138183594,28918000000.0,-6302000000.0,1.4411094160760627,78360000000.0,2.99,1.2033333333333334
Q1 2018,2018-03-31,84.4954605102539,26819000000.0,7424000000.0,1.4766026296478967,79239000000.0,3.33,1.4466666666666663
Q2 2018,2018-06-30,91.68637084960938,30085000000.0,8873000000.0,1.469641741895191,82718000000.0,3.3,1.7366666666666666
Q3 2018,2018-09-30,106.7490463256836,29084000000.0,8824000000.0,1.5008214294036772,85967000000.0,3.13,1.9233333333333331
Q4 2018,2018-12-31,95.21149444580078,32471000000.0,8420000000.0,1.552554713880442,92128000000.0,2.13,2.22
Q1 2019,2019-03-31,111.02889251708984,30571000000.0,8809000000.0,1.5632685536495723,94864000000.0,1.93,2.4033333333333333
Q2 2019,2019-06-30,126.57693481445312,33717000000.0,13187000000.0,1.5554590557250334,102330000000.0,2.24,2.3966666666666665
Q3 2019,2019-09-30,131.804931640625,33055000000.0,10678000000.0,1.6134452323388897,106061000000.0,2.8,2.19
Q4 2019,2019-12-31,150.01345825195312,36906000000.0,11649000000.0,1.6376292092538438,110109000000.0,3.35,1.643333333333333
Q1 2020,2020-03-31,150.4327392578125,35021000000.0,10752000000.0,1.6698001731520697,114501000000.0,1.28,1.26
Q2 2020,2020-06-30,194.6599884033203,38033000000.0,11202000000.0,1.646445217942483,118304000000.0,-7.5,0.06
Q3 2020,2020-09-30,201.66976928710935,37154000000.0,13893000000.0,1.6947395683777287,123392000000.0,-1.41,0.0933333333333333
Q4 2020,2020-12-31,213.82032775878903,43076000000.0,15463000000.0,1.7489088619386892,130236000000.0,-1.02,0.09
Q1 2021,2021-03-31,227.1761779785156,41706000000.0,15457000000.0,1.7713592622753391,134505000000.0,1.76,0.08
Q2 2021,2021-06-30,261.6283264160156,46152000000.0,16458000000.0,1.740326709803901,141988000000.0,12.24,0.07
Q3 2021,2021-09-30,272.7924499511719,45317000000.0,20505000000.0,1.8284888791975578,151978000000.0,4.98,0.09
