year,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2009,2946.0,387.0,7282.0,2392.0,4891.0
2010,3800.0,775.0,8141.0,2949.0,5192.0
2011,4216.0,833.0,8991.0,3208.0,5783.0
2012,4404.0,833.0,10040.0,3375.0,6665.0
2013,4055.0,290.0,10380.0,3656.0,6725.0
2014,4147.0,268.0,10786.0,4010.0,6776.0
2015,4796.0,630.0,11726.0,4725.0,7002.0
2016,5854.0,1169.0,12697.0,5272.0,7425.0
2017,7302.0,1694.0,14536.0,6076.0,8460.0
2018,9030.0,2591.0,18769.0,9407.0,9362.0
2019,11171.0,2951.0,20762.0,10232.0,10530.0
2020,12868.0,5260.0,24284.0,11020.0,13264.0
2021,15785.0,4822.0,27241.0,12444.0,14797.0
2022,17606.0,4756.0,27165.0,13114.0,14051.0
2023,19409.0,5428.0,29779.0,13261.0,16518.0
2024,21505.0,5560.0,30230.0,16125.0,14105.0
