date,share_holder_equity_musd
2009-02-28,4611.0
2009-05-31,4801.0
2009-08-31,4695.0
2009-11-30,4891.0
2010-02-28,5171.0
2010-05-31,5179.0
2010-08-31,5085.0
2010-11-30,5192.0
2011-02-28,5425.0
2011-05-31,5389.0
2011-08-31,5564.0
2011-11-30,5783.0
2012-02-29,5986.0
2012-05-31,6100.0
2012-08-31,6439.0
2012-11-30,6665.0
2013-02-28,6805.0
2013-05-31,6927.0
2013-08-31,6835.0
2013-11-30,6725.0
2014-02-28,6611.0
2014-05-31,6637.0
2014-08-31,6731.0
2014-11-30,6776.0
2015-02-28,6589.0
2015-05-31,6610.0
2015-08-31,6841.0
2015-11-30,7002.0
2016-02-29,7081.0
2016-05-31,7249.0
2016-08-31,7278.0
2016-11-30,7425.0
2017-02-28,7589.0
2017-05-31,7804.0
2017-08-31,8170.0
2017-11-30,8460.0
2018-02-28,8634.0
2018-05-31,8706.0
2018-08-31,8862.0
2018-11-30,9362.0
2019-02-28,9871.0
2019-05-31,9932.0
2019-08-31,10243.0
2019-11-30,10530.0
2020-02-29,10465.0
2020-05-31,10881.0
2020-08-31,11713.0
2020-11-30,13264.0
2021-02-28,13546.0
2021-05-31,13852.0
2021-08-31,14414.0
2021-11-30,14797.0
2022-02-28,13775.0
2022-05-31,13985.0
2022-08-31,14373.0
2022-11-30,14051.0
2023-02-28,14206.0
2023-05-31,14838.0
2023-08-31,15776.0
2023-11-30,16518.0
2024-02-29,15460.0
2024-05-31,14843.0
2024-08-31,14545.0
2024-11-30,14105.0
2025-02-28,13095.0
2025-05-31,11448.0
