date,total_liabilities_musd
2009-02-28,1276.0
2009-05-31,1263.0
2009-08-31,1267.0
2009-11-30,2392.0
2010-02-28,2774.0
2010-05-31,2828.0
2010-08-31,2862.0
2010-11-30,2949.0
2011-02-28,2885.0
2011-05-31,2950.0
2011-08-31,2929.0
2011-11-30,3208.0
2012-02-29,3146.0
2012-05-31,3266.0
2012-08-31,3191.0
2012-11-30,3375.0
2013-02-28,3360.0
2013-05-31,3353.0
2013-08-31,3399.0
2013-11-30,3656.0
2014-02-28,3635.0
2014-05-31,3735.0
2014-08-31,3762.0
2014-11-30,4010.0
2015-02-28,4419.0
2015-05-31,4555.0
2015-08-31,4667.0
2015-11-30,4725.0
2016-02-29,4815.0
2016-05-31,4968.0
2016-08-31,5089.0
2016-11-30,5272.0
2017-02-28,5456.0
2017-05-31,5561.0
2017-08-31,5736.0
2017-11-30,6076.0
2018-02-28,6339.0
2018-05-31,6458.0
2018-08-31,6534.0
2018-11-30,9407.0
2019-02-28,9634.0
2019-05-31,9734.0
2019-08-31,9812.0
2019-11-30,10232.0
2020-02-29,10749.0
2020-05-31,10722.0
2020-08-31,10701.0
2020-11-30,11020.0
2021-02-28,11439.0
2021-05-31,11730.0
2021-08-31,11730.0
2021-11-30,12444.0
2022-02-28,12201.0
2022-05-31,12341.0
2022-08-31,12371.0
2022-11-30,13114.0
2023-02-28,12461.0
2023-05-31,13000.0
2023-08-31,13314.0
2023-11-30,13261.0
2024-02-29,13291.0
2024-05-31,15164.0
2024-08-31,15285.0
2024-11-30,16125.0
2025-02-28,16860.0
2025-05-31,16659.0
