year,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2009,5403.0,304.0,9078.0,8430.0,648.0
2010,6494.0,471.0,4964.0,3951.0,1013.0
2011,6568.0,491.0,4954.0,3364.0,1590.0
2012,5422.0,-1183.0,4000.0,3462.0,538.0
2013,5299.0,-83.0,4337.0,3793.0,544.0
2014,5506.0,-403.0,3767.0,3580.0,187.0
2015,3991.0,-660.0,3084.0,3496.0,-412.0
2016,4319.0,-498.0,3321.0,2905.0,416.0
2017,5253.0,-33.0,3552.0,2956.0,596.0
2018,6475.0,337.0,4556.0,3290.0,1266.0
2019,6731.0,341.0,6028.0,3201.0,2827.0
2020,9763.0,2490.0,8962.0,3125.0,5837.0
2021,16434.0,3162.0,12419.0,4922.0,7497.0
2022,23601.0,1320.0,67580.0,12830.0,54750.0
2023,22680.0,854.0,67885.0,11993.0,55892.0
2024,25785.0,1641.0,69226.0,11658.0,57568.0
