date,total_assets_musd
2009-03-31,9052.0
2009-06-30,8683.0
2009-09-30,8747.0
2009-12-31,9078.0
2010-03-31,5232.0
2010-06-30,4955.0
2010-09-30,4595.0
2010-12-31,4964.0
2011-03-31,5209.0
2011-06-30,5224.0
2011-09-30,5236.0
2011-12-31,4954.0
2012-03-31,4988.0
2012-06-30,5041.0
2012-09-30,4612.0
2012-12-31,4000.0
2013-03-31,3797.0
2013-06-30,3897.0
2013-09-30,4317.0
2013-12-31,4337.0
2014-03-31,4108.0
2014-06-30,4246.0
2014-09-30,4325.0
2014-12-31,3767.0
2015-03-31,3428.0
2015-06-30,3381.0
2015-09-30,3229.0
2015-12-31,3084.0
2016-03-31,2981.0
2016-06-30,3316.0
2016-09-30,3616.0
2016-12-31,3321.0
2017-03-31,3299.0
2017-06-30,3370.0
2017-09-30,3586.0
2017-12-31,3552.0
2018-03-31,3763.0
2018-06-30,4103.0
2018-09-30,4347.0
2018-12-31,4556.0
2019-03-31,4931.0
2019-06-30,5102.0
2019-09-30,5253.0
2019-12-31,6028.0
2020-03-31,5864.0
2020-06-30,6583.0
2020-09-30,7023.0
2020-12-31,8962.0
2021-03-31,10047.0
2021-06-30,10691.0
2021-09-30,11153.0
2021-12-31,12419.0
2022-03-31,66915.0
2022-06-30,67502.0
2022-09-30,67811.0
2022-12-31,67580.0
2023-03-31,67634.0
2023-06-30,67967.0
2023-09-30,67626.0
2023-12-31,67885.0
2024-03-31,67895.0
2024-06-30,67886.0
2024-09-30,69636.0
2024-12-31,69226.0
2025-03-31,71550.0
2025-06-30,74820.0
