date,total_liabilities_musd
2009-03-31,9215.0
2009-06-30,9148.0
2009-09-30,9316.0
2009-12-31,8430.0
2010-03-31,4436.0
2010-06-30,4203.0
2010-09-30,3981.0
2010-12-31,3951.0
2011-03-31,3651.0
2011-06-30,3583.0
2011-09-30,3492.0
2011-12-31,3364.0
2012-03-31,3936.0
2012-06-30,3924.0
2012-09-30,3623.0
2012-12-31,3462.0
2013-03-31,3382.0
2013-06-30,3538.0
2013-09-30,3883.0
2013-12-31,3793.0
2014-03-31,3597.0
2014-06-30,3745.0
2014-09-30,3790.0
2014-12-31,3580.0
2015-03-31,3411.0
2015-06-30,3522.0
2015-09-30,3565.0
2015-12-31,3496.0
2016-03-31,3484.0
2016-06-30,3729.0
2016-09-30,3231.0
2016-12-31,2905.0
2017-03-31,2890.0
2017-06-30,2953.0
2017-09-30,3066.0
2017-12-31,2956.0
2018-03-31,3048.0
2018-06-30,3224.0
2018-09-30,3222.0
2018-12-31,3290.0
2019-03-31,3143.0
2019-06-30,3201.0
2019-09-30,3077.0
2019-12-31,3201.0
2020-03-31,2827.0
2020-06-30,3278.0
2020-09-30,3156.0
2020-12-31,3125.0
2021-03-31,3570.0
2021-06-30,3626.0
2021-09-30,4017.0
2021-12-31,4922.0
2022-03-31,11582.0
2022-06-30,12333.0
2022-09-30,13269.0
2022-12-31,12830.0
2023-03-31,12940.0
2023-06-30,12831.0
2023-09-30,12656.0
2023-12-31,11993.0
2024-03-31,11697.0
2024-06-30,11348.0
2024-09-30,12651.0
2024-12-31,11658.0
2025-03-31,13669.0
2025-06-30,15155.0
