date,total_assets_musd
2009-03-31,43237.0
2009-06-30,48140.0
2009-09-30,47501.0
2009-12-31,53926.0
2010-03-31,57057.0
2010-06-30,64725.0
2010-09-30,75183.0
2010-12-31,86742.0
2011-03-31,94904.0
2011-06-30,106758.0
2011-09-30,116371.0
2011-12-31,138681.0
2012-03-31,150934.0
2012-06-30,162896.0
2012-09-30,176064.0
2012-12-31,196088.0
2013-03-31,194743.0
2013-06-30,199856.0
2013-09-30,207000.0
2013-12-31,225184.0
2014-03-31,205989.0
2014-06-30,222520.0
2014-09-30,231839.0
2014-12-31,261894.0
2015-03-31,261194.0
2015-06-30,273151.0
2015-09-30,290345.0
2015-12-31,293284.0
2016-03-31,305277.0
2016-06-30,305602.0
2016-09-30,321686.0
2016-12-31,331141.0
2017-03-31,334532.0
2017-06-30,345173.0
2017-09-30,375319.0
2017-12-31,406794.0
2018-03-31,367502.0
2018-06-30,349197.0
2018-09-30,365725.0
2018-12-31,373719.0
2019-03-31,341998.0
2019-06-30,322239.0
2019-09-30,338516.0
2019-12-31,340618.0
2020-03-31,320400.0
2020-06-30,317344.0
2020-09-30,323888.0
2020-12-31,354054.0
2021-03-31,337158.0
2021-06-30,329840.0
2021-09-30,351002.0
2021-12-31,381191.0
2022-03-31,350662.0
2022-06-30,336309.0
2022-09-30,352755.0
2022-12-31,346747.0
2023-03-31,332160.0
2023-06-30,335038.0
2023-09-30,352583.0
2023-12-31,353514.0
2024-03-31,337411.0
2024-06-30,331612.0
2024-09-30,364980.0
2024-12-31,344085.0
2025-03-31,331233.0
2025-06-30,331495.0
