date,total_liabilities_musd
2009-03-31,18926.0
2009-06-30,22252.0
2009-09-30,15861.0
2009-12-31,18158.0
2010-03-31,17709.0
2010-06-30,21614.0
2010-09-30,27392.0
2010-12-31,32076.0
2011-03-31,33427.0
2011-06-30,37415.0
2011-09-30,39756.0
2011-12-31,48627.0
2012-03-31,48436.0
2012-06-30,51150.0
2012-09-30,57854.0
2012-12-31,68742.0
2013-03-31,59253.0
2013-06-30,76502.0
2013-09-30,83451.0
2013-12-31,95500.0
2014-03-31,85810.0
2014-06-30,101580.0
2014-09-30,120292.0
2014-12-31,138566.0
2015-03-31,132188.0
2015-06-30,147474.0
2015-09-30,170990.0
2015-12-31,165017.0
2016-03-31,174820.0
2016-06-30,179061.0
2016-09-30,193437.0
2016-12-31,198751.0
2017-03-31,200450.0
2017-06-30,212748.0
2017-09-30,241272.0
2017-12-31,266595.0
2018-03-31,240624.0
2018-06-30,234248.0
2018-09-30,258578.0
2018-12-31,255827.0
2019-03-31,236138.0
2019-06-30,225783.0
2019-09-30,248028.0
2019-12-31,251087.0
2020-03-31,241975.0
2020-06-30,245062.0
2020-09-30,258549.0
2020-12-31,287830.0
2021-03-31,267980.0
2021-06-30,265560.0
2021-09-30,287912.0
2021-12-31,309259.0
2022-03-31,283263.0
2022-06-30,278202.0
2022-09-30,302083.0
2022-12-31,290020.0
2023-03-31,270002.0
2023-06-30,274764.0
2023-09-30,290437.0
2023-12-31,279414.0
2024-03-31,263217.0
2024-06-30,264904.0
2024-09-30,308030.0
2024-12-31,277327.0
2025-03-31,264437.0
2025-06-30,265665.0
