year,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2009,1077.0,43.0,1480.0,797.0,682.0
2010,1306.0,81.0,2460.0,1404.0,1057.0
2011,1657.0,64.0,3091.0,1815.0,1276.0
2012,2267.0,-12.0,4164.0,2577.0,1587.0
2013,3050.0,-270.0,5529.0,3211.0,2318.0
2014,4071.0,-232.0,9153.0,6114.0,3039.0
2015,5374.0,-263.0,10665.0,6690.0,3975.0
2016,6667.0,-47.0,12763.0,7760.0,5003.0
2017,8437.0,323.0,17585.0,10085.0,7500.0
2018,10540.0,360.0,21984.0,11608.0,10376.0
2019,13282.0,1110.0,30737.0,15132.0,15605.0
2020,17098.0,126.0,55126.0,21241.0,33885.0
2021,21252.0,4072.0,66301.0,24808.0,41493.0
2022,26492.0,1444.0,95209.0,37078.0,58131.0
2023,31352.0,208.0,98849.0,40490.0,58359.0
2024,34857.0,4136.0,99823.0,40177.0,59646.0
2025,37895.0,6197.0,102928.0,41755.0,61173.0
