date,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2020-03-31,72.0,1.0,0.0,0.0,0.0
2020-06-30,72.0,0.0,0.0,0.0,0.0
2020-09-30,78.0,-2.0,0.0,0.0,0.0
2020-12-31,78.0,-13.0,241.0,478.0,-237.0
2021-03-31,81.0,-12.0,235.0,474.0,-240.0
2021-06-30,75.0,-12.0,277.0,97.0,180.0
2021-09-30,83.0,-5.0,274.0,95.0,179.0
2021-12-31,80.0,-10.0,273.0,93.0,179.0
2022-03-31,69.0,-15.0,257.0,88.0,169.0
2022-06-30,78.0,-10.0,260.0,97.0,163.0
2022-09-30,85.0,-12.0,248.0,93.0,155.0
2022-12-31,82.0,-13.0,241.0,94.0,146.0
2023-03-31,83.0,-19.0,213.0,82.0,131.0
2023-06-30,85.0,-13.0,193.0,68.0,124.0
2023-09-30,86.0,-8.0,196.0,76.0,120.0
2023-12-31,90.0,1.0,202.0,78.0,123.0
2024-03-31,86.0,-1.0,198.0,73.0,125.0
2024-06-30,93.0,-4.0,200.0,70.0,130.0
2024-09-30,99.0,0.0,209.0,75.0,134.0
2024-12-31,100.0,-1.0,247.0,73.0,174.0
2025-03-31,97.0,3.0,265.0,85.0,180.0
2025-06-30,93.0,4.0,249.0,62.0,187.0
