year,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2009,58437.0,14569.0,77888.0,38330.0,39558.0
2010,62484.0,18760.0,86113.0,39938.0,46175.0
2011,69943.0,23150.0,108704.0,51621.0,57083.0
2012,73723.0,16978.0,121271.0,54908.0,66363.0
2013,77849.0,21863.0,142431.0,63487.0,78944.0
2014,86833.0,22074.0,172384.0,82600.0,89784.0
2015,93580.0,12193.0,174472.0,94389.0,80083.0
2016,91154.0,20539.0,193468.0,121471.0,71997.0
2017,96571.0,25489.0,250312.0,162601.0,87711.0
2018,110360.0,16571.0,258848.0,176130.0,82718.0
2019,125843.0,39240.0,286556.0,184226.0,102330.0
2020,143015.0,44281.0,301311.0,183007.0,118304.0
2021,168088.0,61271.0,333779.0,191791.0,141988.0
2022,198270.0,72738.0,364840.0,198298.0,166542.0
2023,211915.0,72361.0,411976.0,205753.0,206223.0
2024,245122.0,88136.0,512163.0,243686.0,268477.0
2025,281724.0,101832.0,619003.0,275524.0,343479.0
