date,revenue_musd
2009-03-31,13648.0
2009-06-30,13099.0
2009-09-30,12920.0
2009-12-31,19022.0
2010-03-31,14503.0
2010-06-30,16039.0
2010-09-30,16195.0
2010-12-31,19953.0
2011-03-31,16428.0
2011-06-30,17367.0
2011-09-30,17372.0
2011-12-31,20885.0
2012-03-31,17407.0
2012-06-30,18059.0
2012-09-30,16008.0
2012-12-31,21456.0
2013-03-31,20489.0
2013-06-30,19896.0
2013-09-30,18529.0
2013-12-31,24519.0
2014-03-31,20403.0
2014-06-30,23382.0
2014-09-30,23201.0
2014-12-31,26470.0
2015-03-31,21729.0
2015-06-30,22180.0
2015-09-30,20379.0
2015-12-31,23796.0
2016-03-31,20531.0
2016-06-30,26448.0
2016-09-30,21928.0
2016-12-31,25826.0
2017-03-31,23212.0
2017-06-30,25605.0
2017-09-30,24538.0
2017-12-31,28918.0
2018-03-31,26819.0
2018-06-30,30085.0
2018-09-30,29084.0
2018-12-31,32471.0
2019-03-31,30571.0
2019-06-30,33717.0
2019-09-30,33055.0
2019-12-31,36906.0
2020-03-31,35021.0
2020-06-30,38033.0
2020-09-30,37154.0
2020-12-31,43076.0
2021-03-31,41706.0
2021-06-30,46152.0
2021-09-30,45317.0
2021-12-31,51728.0
2022-03-31,49360.0
2022-06-30,51865.0
2022-09-30,50122.0
2022-12-31,52747.0
2023-03-31,52857.0
2023-06-30,56189.0
2023-09-30,56517.0
2023-12-31,62020.0
2024-03-31,61858.0
2024-06-30,64727.0
2024-09-30,65585.0
2024-12-31,69632.0
2025-03-31,70066.0
2025-06-30,76441.0
