year,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2009,19176.0,1487.0,13250.0,4557.0,8693.0
2010,19014.0,1907.0,14419.0,4665.0,9754.0
2011,20117.0,2133.0,14998.0,5155.0,9843.0
2012,23331.0,2211.0,15465.0,5084.0,10381.0
2013,25313.0,2472.0,17545.0,6464.0,11081.0
2014,27799.0,2693.0,18594.0,7770.0,10824.0
2015,30601.0,3273.0,21597.0,8890.0,12707.0
2016,32376.0,3760.0,21379.0,9121.0,12258.0
2017,34350.0,4240.0,23259.0,10852.0,12407.0
2018,36397.0,1933.0,22536.0,12724.0,9812.0
2019,39117.0,4029.0,23717.0,14677.0,9040.0
2020,37403.0,2539.0,31342.0,23287.0,8055.0
2021,44538.0,5727.0,37740.0,24973.0,12767.0
2022,46710.0,6046.0,40321.0,25040.0,15281.0
2023,51217.0,5070.0,37531.0,23527.0,14004.0
2024,51362.0,5700.0,38110.0,23680.0,14430.0
2025,46309.0,3219.0,36579.0,23366.0,13213.0
