date,share_holder_equity_musd
2009-02-28,8211.0
2009-05-31,8693.0
2009-08-31,9091.0
2009-11-30,9224.0
2010-02-28,9429.0
2010-05-31,9754.0
2010-08-31,9660.0
2010-11-30,9949.0
2011-02-28,9902.0
2011-05-31,9843.0
2011-08-31,9899.0
2011-11-30,9843.0
2012-02-29,10176.0
2012-05-31,10381.0
2012-08-31,10047.0
2012-11-30,10014.0
2013-02-28,10667.0
2013-05-31,11081.0
2013-08-31,11282.0
2013-11-30,11344.0
2014-02-28,11133.0
2014-05-31,10824.0
2014-08-31,11105.0
2014-11-30,11700.0
2015-02-28,12368.0
2015-05-31,12707.0
2015-08-31,12894.0
2015-11-30,13405.0
2016-02-29,12300.0
2016-05-31,12258.0
2016-08-31,12165.0
2016-11-30,12323.0
2017-02-28,12722.0
2017-05-31,12407.0
2017-08-31,11993.0
2017-11-30,11758.0
2018-02-28,9782.0
2018-05-31,9812.0
2018-08-31,8992.0
2018-11-30,8729.0
2019-02-28,8961.0
2019-05-31,9040.0
2019-08-31,9200.0
2019-11-30,9351.0
2020-02-29,9045.0
2020-05-31,8055.0
2020-08-31,9224.0
2020-11-30,10640.0
2021-02-28,11931.0
2021-05-31,12767.0
2021-08-31,14343.0
2021-11-30,14924.0
2022-02-28,14809.0
2022-05-31,15281.0
2022-08-31,15822.0
2022-11-30,15272.0
2023-02-28,14531.0
2023-05-31,14004.0
2023-08-31,13971.0
2023-11-30,14146.0
2024-02-29,14226.0
2024-05-31,14430.0
2024-08-31,13944.0
2024-11-30,14037.0
2025-02-28,14007.0
2025-05-31,13213.0
