date,total_liabilities_musd
2009-02-28,4045.0
2009-05-31,4557.0
2009-08-31,4100.0
2009-11-30,4134.0
2010-02-28,4147.0
2010-05-31,4665.0
2010-08-31,4391.0
2010-11-30,4515.0
2011-02-28,4576.0
2011-05-31,5155.0
2011-08-31,4904.0
2011-11-30,4722.0
2012-02-29,4618.0
2012-05-31,5084.0
2012-08-31,5067.0
2012-11-30,5157.0
2013-02-28,4948.0
2013-05-31,6464.0
2013-08-31,6392.0
2013-11-30,6476.0
2014-02-28,6670.0
2014-05-31,7770.0
2014-08-31,7416.0
2014-11-30,7467.0
2015-02-28,8173.0
2015-05-31,8890.0
2015-08-31,7872.0
2015-11-30,9178.0
2016-02-29,8687.0
2016-05-31,9121.0
2016-08-31,8991.0
2016-11-30,10329.0
2017-02-28,10430.0
2017-05-31,10852.0
2017-08-31,11654.0
2017-11-30,12297.0
2018-02-28,12770.0
2018-05-31,12724.0
2018-08-31,13491.0
2018-11-30,13948.0
2019-02-28,13960.0
2019-05-31,14677.0
2019-08-31,17049.0
2019-11-30,17251.0
2020-02-29,17175.0
2020-05-31,23287.0
2020-08-31,24034.0
2020-11-30,24196.0
2021-02-28,24254.0
2021-05-31,24973.0
2021-08-31,23574.0
2021-11-30,23993.0
2022-02-28,23768.0
2022-05-31,25040.0
2022-08-31,25266.0
2022-11-30,24375.0
2023-02-28,23763.0
2023-05-31,23527.0
2023-08-31,22815.0
2023-11-30,23057.0
2024-02-29,23130.0
2024-05-31,23680.0
2024-08-31,23923.0
2024-11-30,23922.0
2025-02-28,23786.0
2025-05-31,23366.0
