year,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2009,112.0,-56.0,130.0,384.0,-254.0
2010,117.0,-154.0,386.0,179.0,207.0
2011,204.0,-254.0,713.0,489.0,224.0
2012,413.0,-396.0,1114.0,989.0,125.0
2013,2013.0,-74.0,2417.0,1750.0,667.0
2014,3198.0,-294.0,5831.0,4919.0,912.0
2015,4046.0,-889.0,8068.0,6984.0,1084.0
2016,7000.0,-675.0,22664.0,17126.0,5538.0
2017,11759.0,-1962.0,28655.0,23421.0,5235.0
2018,21461.0,-976.0,29740.0,23983.0,5757.0
2019,24578.0,-862.0,34309.0,26842.0,7467.0
2020,31536.0,690.0,52148.0,29073.0,23075.0
2021,53823.0,5524.0,62131.0,31116.0,31015.0
2022,81462.0,12583.0,82338.0,36849.0,45489.0
2023,96773.0,14999.0,106618.0,43251.0,63367.0
2024,97690.0,7130.0,122070.0,48453.0,73617.0
