date,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2010-06-30,28.0,-39.0,148.0,458.0,-310.0
2010-09-30,31.0,-35.0,362.0,142.0,220.0
2010-12-31,36.0,-51.0,386.0,179.0,207.0
2011-03-31,49.0,-49.0,407.0,240.0,168.0
2011-06-30,58.0,-59.0,646.0,298.0,348.0
2011-09-30,58.0,-65.0,700.0,406.0,294.0
2011-12-31,39.0,-81.0,713.0,489.0,224.0
2012-03-31,30.0,-90.0,761.0,607.0,154.0
2012-06-30,27.0,-106.0,777.0,715.0,62.0
2012-09-30,50.0,-111.0,809.0,837.0,-28.0
2012-12-31,306.0,-90.0,1114.0,989.0,125.0
2013-03-31,562.0,11.0,1144.0,975.0,169.0
2013-06-30,405.0,-31.0,1888.0,1258.0,629.0
2013-09-30,431.0,-38.0,2166.0,1602.0,564.0
2013-12-31,615.0,-16.0,2417.0,1750.0,667.0
2014-03-31,621.0,-50.0,4500.0,3588.0,912.0
2014-06-30,769.0,-62.0,5054.0,4102.0,952.0
2014-09-30,852.0,-75.0,5438.0,4479.0,958.0
2014-12-31,957.0,-108.0,5831.0,4919.0,912.0
2015-03-31,940.0,-154.0,6120.0,5294.0,826.0
2015-06-30,955.0,-184.0,6468.0,5752.0,716.0
2015-09-30,937.0,-230.0,7547.0,6233.0,1315.0
2015-12-31,1214.0,-320.0,8068.0,6984.0,1084.0
2016-03-31,1147.0,-282.0,9192.0,8221.0,970.0
2016-06-30,1270.0,-293.0,11869.0,9349.0,2520.0
2016-09-30,2298.0,22.0,12592.0,9912.0,2680.0
2016-12-31,2285.0,-121.0,22664.0,17126.0,5538.0
2017-03-31,2696.0,-330.0,25054.0,19257.0,5797.0
2017-06-30,2790.0,-336.0,26044.0,19829.0,6215.0
2017-09-30,2985.0,-619.0,28107.0,22332.0,5775.0
2017-12-31,3288.0,-676.0,28655.0,23421.0,5235.0
2018-03-31,3409.0,-710.0,27271.0,21957.0,5315.0
2018-06-30,4002.0,-718.0,27910.0,23182.0,4728.0
2018-09-30,6824.0,311.0,29263.0,23960.0,5302.0
2018-12-31,7226.0,140.0,29740.0,23983.0,5757.0
2019-03-31,4541.0,-710.0,28913.0,23445.0,5468.0
2019-06-30,6350.0,-408.0,31873.0,25302.0,6570.0
2019-09-30,6303.0,143.0,32795.0,25913.0,6882.0
2019-12-31,7384.0,113.0,34309.0,26842.0,7467.0
2020-03-31,5985.0,16.0,37250.0,27210.0,10040.0
2020-06-30,6036.0,104.0,38135.0,27411.0,10724.0
2020-09-30,8771.0,300.0,45691.0,28799.0,16892.0
2020-12-31,10744.0,270.0,52148.0,29073.0,23075.0
2021-03-31,10389.0,438.0,52972.0,29108.0,23864.0
2021-06-30,11958.0,1142.0,55146.0,29501.0,25645.0
2021-09-30,13757.0,1618.0,57834.0,29945.0,27889.0
2021-12-31,17719.0,2326.0,62131.0,31116.0,31015.0
2022-03-31,18756.0,3313.0,66038.0,31091.0,34947.0
2022-06-30,16934.0,2259.0,68513.0,31276.0,37237.0
2022-09-30,21454.0,3292.0,74426.0,33723.0,40703.0
2022-12-31,24318.0,3719.0,82338.0,36849.0,45489.0
2023-03-31,23329.0,2518.0,86833.0,38005.0,48828.0
2023-06-30,24927.0,2703.0,90591.0,38697.0,51894.0
2023-09-30,23350.0,1853.0,93941.0,39723.0,54218.0
2023-12-31,25167.0,7925.0,106618.0,43251.0,63367.0
2024-03-31,21301.0,1432.0,109226.0,44119.0,65107.0
2024-06-30,25500.0,1400.0,112832.0,45641.0,67191.0
2024-09-30,25182.0,2167.0,119852.0,49212.0,70640.0
2024-12-31,25707.0,2131.0,122070.0,48453.0,73617.0
2025-03-31,19335.0,409.0,125111.0,49755.0,75356.0
2025-06-30,22496.0,1172.0,128567.0,50556.0,78011.0
