date,share_holder_equity_musd
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,
2010-03-31,0.0
2010-06-30,-310.0
2010-09-30,220.0
2010-12-31,207.0
2011-03-31,168.0
2011-06-30,348.0
2011-09-30,294.0
2011-12-31,224.0
2012-03-31,154.0
2012-06-30,62.0
2012-09-30,-28.0
2012-12-31,125.0
2013-03-31,169.0
2013-06-30,629.0
2013-09-30,564.0
2013-12-31,667.0
2014-03-31,912.0
2014-06-30,952.0
2014-09-30,958.0
2014-12-31,912.0
2015-03-31,826.0
2015-06-30,716.0
2015-09-30,1315.0
2015-12-31,1084.0
2016-03-31,970.0
2016-06-30,2520.0
2016-09-30,2680.0
2016-12-31,5538.0
2017-03-31,5797.0
2017-06-30,6215.0
2017-09-30,5775.0
2017-12-31,5235.0
2018-03-31,5315.0
2018-06-30,4728.0
2018-09-30,5302.0
2018-12-31,5757.0
2019-03-31,5468.0
2019-06-30,6570.0
2019-09-30,6882.0
2019-12-31,7467.0
2020-03-31,10040.0
2020-06-30,10724.0
2020-09-30,16892.0
2020-12-31,23075.0
2021-03-31,23864.0
2021-06-30,25645.0
2021-09-30,27889.0
2021-12-31,31015.0
2022-03-31,34947.0
2022-06-30,37237.0
2022-09-30,40703.0
2022-12-31,45489.0
2023-03-31,48828.0
2023-06-30,51894.0
2023-09-30,54218.0
2023-12-31,63367.0
2024-03-31,65107.0
2024-06-30,67191.0
2024-09-30,70640.0
2024-12-31,73617.0
2025-03-31,75356.0
2025-06-30,78011.0
