date,total_liabilities_musd
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,
2010-03-31,0.0
2010-06-30,458.0
2010-09-30,142.0
2010-12-31,179.0
2011-03-31,240.0
2011-06-30,298.0
2011-09-30,406.0
2011-12-31,489.0
2012-03-31,607.0
2012-06-30,715.0
2012-09-30,837.0
2012-12-31,989.0
2013-03-31,975.0
2013-06-30,1258.0
2013-09-30,1602.0
2013-12-31,1750.0
2014-03-31,3588.0
2014-06-30,4102.0
2014-09-30,4479.0
2014-12-31,4919.0
2015-03-31,5294.0
2015-06-30,5752.0
2015-09-30,6233.0
2015-12-31,6984.0
2016-03-31,8221.0
2016-06-30,9349.0
2016-09-30,9912.0
2016-12-31,17126.0
2017-03-31,19257.0
2017-06-30,19829.0
2017-09-30,22332.0
2017-12-31,23421.0
2018-03-31,21957.0
2018-06-30,23182.0
2018-09-30,23960.0
2018-12-31,23983.0
2019-03-31,23445.0
2019-06-30,25302.0
2019-09-30,25913.0
2019-12-31,26842.0
2020-03-31,27210.0
2020-06-30,27411.0
2020-09-30,28799.0
2020-12-31,29073.0
2021-03-31,29108.0
2021-06-30,29501.0
2021-09-30,29945.0
2021-12-31,31116.0
2022-03-31,31091.0
2022-06-30,31276.0
2022-09-30,33723.0
2022-12-31,36849.0
2023-03-31,38005.0
2023-06-30,38697.0
2023-09-30,39723.0
2023-12-31,43251.0
2024-03-31,44119.0
2024-06-30,45641.0
2024-09-30,49212.0
2024-12-31,48453.0
2025-03-31,49755.0
2025-06-30,50556.0
