date,gdp_growth,interest_rate
2025-06-30,1.99,4.33
2025-03-31,1.99,4.33
2024-12-31,2.53,4.33
2024-09-30,2.72,4.83
2024-06-30,3.04,5.33
2024-03-31,2.9,5.33
2023-12-31,3.2,5.33
2023-09-30,3.24,5.33
2023-06-30,2.83,5.12
2023-03-31,2.28,4.83
2022-12-31,1.32,4.33
2022-09-30,2.3,3.08
2022-06-30,2.48,1.68
2022-03-31,4.01,0.33
2021-12-31,5.72,0.08
2021-09-30,4.98,0.08
2021-06-30,12.24,0.1
2021-03-31,1.76,0.07
2020-12-31,-1.02,0.09
2020-09-30,-1.41,0.09
2020-06-30,-7.5,0.09
2020-03-31,1.28,0.05
2019-12-31,3.35,1.55
2019-09-30,2.8,1.83
2019-06-30,2.24,2.4
2019-03-31,1.93,2.42
2018-12-31,2.13,2.4
2018-09-30,3.13,2.19
2018-06-30,3.3,1.91
2018-03-31,3.33,1.69
2017-12-31,2.99,1.41
2017-09-30,2.41,1.15
2017-06-30,2.33,1.15
2017-03-31,2.09,0.9
2016-12-31,2.18,0.65
2016-09-30,1.81,0.4
2016-06-30,1.49,0.39
2016-03-31,1.8,0.37
2015-12-31,2.12,0.34
2015-09-30,2.45,0.12
2015-06-30,3.28,0.13
2015-03-31,3.97,0.12
2014-12-31,2.69,0.11
2014-09-30,3.06,0.09
2014-06-30,2.69,0.09
2014-03-31,1.65,0.09
2013-12-31,3.01,0.07
2013-09-30,2.24,0.09
2013-06-30,1.52,0.09
2013-03-31,1.7,0.15
2012-12-31,1.55,0.14
2012-09-30,2.57,0.16
2012-06-30,2.4,0.16
2012-03-31,2.64,0.14
2011-12-31,1.54,0.08
2011-09-30,0.94,0.07
2011-06-30,1.74,0.07
2011-03-31,2.04,0.1
2010-12-31,2.78,0.17
2010-09-30,3.34,0.19
2010-06-30,2.91,0.18
2010-03-31,1.75,0.2
2009-12-31,0.11,0.11
2009-09-30,-3.13,0.12
2009-06-30,-3.98,0.16
2009-03-31,-3.23,0.15
