,date,Price,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd,date_y,gdp_growth,interest_rate
0,2021-06-30,16.190000534057617,75.0,-12.0,277.0,97.0,180.0,2010-06-30,2.91,0.18
1,2021-09-30,10.380000114440918,83.0,-5.0,274.0,95.0,179.0,2010-09-30,3.34,0.19
2,2021-12-31,8.09000015258789,80.0,-10.0,273.0,93.0,179.0,2010-12-31,2.78,0.17
3,2022-03-31,5.210000038146973,69.0,-15.0,257.0,88.0,169.0,2011-03-31,2.04,0.1
4,2022-06-30,2.9200000762939453,78.0,-10.0,260.0,97.0,163.0,2011-06-30,1.74,0.07
5,2022-09-30,3.5,85.0,-12.0,248.0,93.0,155.0,2011-09-30,0.94,0.07
6,2022-12-31,3.009999990463257,82.0,-13.0,241.0,94.0,146.0,2011-12-31,1.54,0.08
7,2023-03-31,1.7999999523162842,83.0,-19.0,213.0,82.0,131.0,2012-03-31,2.64,0.14
8,2023-06-30,1.6799999475479126,85.0,-13.0,193.0,68.0,124.0,2012-06-30,2.4,0.16
9,2023-09-30,1.2599999904632568,86.0,-8.0,196.0,76.0,120.0,2012-09-30,2.57,0.16
10,2023-12-31,3.299999952316284,90.0,1.0,202.0,78.0,123.0,2012-12-31,1.55,0.14
11,2024-03-31,4.050000190734863,86.0,-1.0,198.0,73.0,125.0,2013-03-31,1.7,0.15
12,2024-06-30,2.9200000762939453,93.0,-4.0,200.0,70.0,130.0,2013-06-30,1.52,0.09
13,2024-09-30,3.569999933242798,99.0,0.0,209.0,75.0,134.0,2013-09-30,2.24,0.09
14,2024-12-31,6.929999828338623,100.0,-1.0,247.0,73.0,174.0,2013-12-31,3.01,0.07
15,2025-03-31,4.699999809265137,97.0,3.0,265.0,85.0,180.0,2014-03-31,1.65,0.09
16,2025-06-30,5.090000152587891,93.0,4.0,249.0,62.0,187.0,2014-06-30,2.69,0.09
