,date,Price,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd,gdp_growth,interest_rate
0,2010-06-30,1.5886670351028442,28.0,-39.0,148.0,458.0,-310.0,2.91,0.18
1,2010-09-30,1.3606669902801514,31.0,-35.0,362.0,142.0,220.0,3.34,0.19
2,2010-12-31,1.775333046913147,36.0,-51.0,386.0,179.0,207.0,2.78,0.17
3,2011-03-31,1.850000023841858,49.0,-49.0,407.0,240.0,168.0,2.04,0.1
4,2011-06-30,1.9420000314712524,58.0,-59.0,646.0,298.0,348.0,1.74,0.07
5,2011-09-30,1.6260000467300415,58.0,-65.0,700.0,406.0,294.0,0.94,0.07
6,2011-12-31,1.9040000438690183,39.0,-81.0,713.0,489.0,224.0,1.54,0.08
7,2012-03-31,2.4826669692993164,30.0,-90.0,761.0,607.0,154.0,2.64,0.14
8,2012-06-30,2.0859999656677246,27.0,-106.0,777.0,715.0,62.0,2.4,0.16
9,2012-09-30,1.9520000219345093,50.0,-111.0,809.0,837.0,-28.0,2.57,0.16
10,2012-12-31,2.257999897003174,306.0,-90.0,1114.0,989.0,125.0,1.55,0.14
11,2013-03-31,2.5260000228881836,562.0,11.0,1144.0,975.0,169.0,1.7,0.15
12,2013-06-30,7.157332897186279,405.0,-31.0,1888.0,1258.0,629.0,1.52,0.09
13,2013-09-30,12.891332626342772,431.0,-38.0,2166.0,1602.0,564.0,2.24,0.09
14,2013-12-31,10.028667449951172,615.0,-16.0,2417.0,1750.0,667.0,3.01,0.07
15,2014-03-31,13.896666526794434,621.0,-50.0,4500.0,3588.0,912.0,1.65,0.09
16,2014-06-30,16.003999710083008,769.0,-62.0,5054.0,4102.0,952.0,2.69,0.09
17,2014-09-30,16.178667068481445,852.0,-75.0,5438.0,4479.0,958.0,3.06,0.09
18,2014-12-31,14.827333450317385,957.0,-108.0,5831.0,4919.0,912.0,2.69,0.11
19,2015-03-31,12.584667205810549,940.0,-154.0,6120.0,5294.0,826.0,3.97,0.12
20,2015-06-30,17.884000778198242,955.0,-184.0,6468.0,5752.0,716.0,3.28,0.13
21,2015-09-30,16.559999465942383,937.0,-230.0,7547.0,6233.0,1315.0,2.45,0.12
22,2015-12-31,16.000667572021484,1214.0,-320.0,8068.0,6984.0,1084.0,2.12,0.34
23,2016-03-31,15.317999839782717,1147.0,-282.0,9192.0,8221.0,970.0,1.8,0.37
24,2016-06-30,14.152000427246094,1270.0,-293.0,11869.0,9349.0,2520.0,1.49,0.39
25,2016-09-30,13.60200023651123,2298.0,22.0,12592.0,9912.0,2680.0,1.81,0.4
26,2016-12-31,14.246000289916992,2285.0,-121.0,22664.0,17126.0,5538.0,2.18,0.65
27,2017-03-31,18.553333282470703,2696.0,-330.0,25054.0,19257.0,5797.0,2.09,0.9
28,2017-06-30,24.107332229614254,2790.0,-336.0,26044.0,19829.0,6215.0,2.33,1.15
29,2017-09-30,22.739999771118164,2985.0,-619.0,28107.0,22332.0,5775.0,2.41,1.15
