,Date,Price,calendar_quarter
0,2008-09-30,39.470001220703125,Q3 2008
1,2008-10-31,26.639999389648438,Q4 2008
2,2008-11-30,23.15999984741211,Q4 2008
3,2008-12-31,21.290000915527344,Q4 2008
4,2009-01-31,19.309999465942383,Q1 2009
5,2009-02-28,16.700000762939453,Q1 2009
6,2009-03-31,21.389999389648438,Q1 2009
7,2009-04-30,27.350000381469727,Q2 2009
8,2009-05-31,28.18000030517578,Q2 2009
9,2009-06-30,28.299999237060547,Q2 2009
10,2009-07-31,32.41999816894531,Q3 2009
11,2009-08-31,31.420000076293945,Q3 2009
12,2009-09-30,33.040000915527344,Q3 2009
13,2009-10-31,32.939998626708984,Q4 2009
14,2009-11-30,35.08000183105469,Q4 2009
15,2009-12-31,36.779998779296875,Q4 2009
16,2010-01-31,32.29999923706055,Q1 2010
17,2010-02-28,34.650001525878906,Q1 2010
18,2010-03-31,35.369998931884766,Q1 2010
19,2010-04-30,33.599998474121094,Q2 2010
20,2010-05-31,32.08000183105469,Q2 2010
21,2010-06-30,26.43000030517578,Q2 2010
22,2010-07-31,28.719999313354492,Q3 2010
23,2010-08-31,27.700000762939453,Q3 2010
24,2010-09-30,26.149999618530273,Q3 2010
25,2010-10-31,28.149999618530273,Q4 2010
26,2010-11-30,27.799999237060547,Q4 2010
27,2010-12-31,30.780000686645508,Q4 2010
28,2011-01-31,33.04999923706055,Q1 2011
29,2011-02-28,34.5,Q1 2011
30,2011-03-31,33.15999984741211,Q1 2011
31,2011-04-30,33.54999923706055,Q2 2011
32,2011-05-31,34.630001068115234,Q2 2011
33,2011-06-30,31.450000762939453,Q2 2011
34,2011-07-31,27.709999084472656,Q3 2011
35,2011-08-31,25.239999771118164,Q3 2011
36,2011-09-30,24.170000076293945,Q3 2011
37,2011-10-31,29.40999984741211,Q4 2011
38,2011-11-30,27.420000076293945,Q4 2011
39,2011-12-31,28.270000457763672,Q4 2011
40,2012-01-31,30.950000762939453,Q1 2012
41,2012-02-29,32.88999938964844,Q1 2012
42,2012-03-31,34.310001373291016,Q1 2012
43,2012-04-30,33.54999923706055,Q2 2012
44,2012-05-31,31.049999237060547,Q2 2012
45,2012-06-30,32.369998931884766,Q2 2012
46,2012-07-31,30.8799991607666,Q3 2012
47,2012-08-31,31.270000457763672,Q3 2012
48,2012-09-30,32.439998626708984,Q3 2012
49,2012-10-31,34.029998779296875,Q4 2012
50,2012-11-30,34.61000061035156,Q4 2012
51,2012-12-31,37.68000030517578,Q4 2012
52,2013-01-31,37.83000183105469,Q1 2013
53,2013-02-28,39.310001373291016,Q1 2013
54,2013-03-31,43.52000045776367,Q1 2013
55,2013-04-30,45.08000183105469,Q2 2013
56,2013-05-31,42.90999984741211,Q2 2013
57,2013-06-30,45.560001373291016,Q2 2013
58,2013-07-31,47.279998779296875,Q3 2013
59,2013-08-31,45.75,Q3 2013
60,2013-09-30,51.939998626708984,Q3 2013
61,2013-10-31,54.220001220703125,Q4 2013
62,2013-11-30,56.779998779296875,Q4 2013
63,2013-12-31,59.880001068115234,Q4 2013
64,2014-01-31,59.189998626708984,Q1 2014
65,2014-02-28,68.62999725341797,Q1 2014
66,2014-03-31,65.73999786376953,Q1 2014
67,2014-04-30,61.689998626708984,Q2 2014
68,2014-05-31,64.54000091552734,Q2 2014
69,2014-06-30,72.36000061035156,Q2 2014
70,2014-07-31,69.25,Q3 2014
71,2014-08-31,71.9000015258789,Q3 2014
72,2014-09-30,69.19000244140625,Q3 2014
73,2014-10-31,70.12000274658203,Q4 2014
74,2014-11-30,73.68000030517578,Q4 2014
75,2014-12-31,72.69999694824219,Q4 2014
76,2015-01-31,70.12999725341797,Q1 2015
77,2015-02-28,79.0999984741211,Q1 2015
78,2015-03-31,73.94000244140625,Q1 2015
79,2015-04-30,76.05999755859375,Q2 2015
80,2015-05-31,79.08999633789062,Q2 2015
81,2015-06-30,81.01000213623047,Q2 2015
82,2015-07-31,81.98999786376953,Q3 2015
83,2015-08-31,78.56999969482422,Q3 2015
84,2015-09-30,82.22000122070312,Q3 2015
85,2015-10-31,88.66000366210938,Q4 2015
86,2015-11-30,91.45999908447266,Q4 2015
87,2015-12-31,93.94000244140625,Q4 2015
88,2016-01-31,89.12999725341797,Q1 2016
89,2016-02-29,85.1500015258789,Q1 2016
90,2016-03-31,93.80000305175781,Q1 2016
91,2016-04-30,94.22000122070312,Q2 2016
92,2016-05-31,99.47000122070312,Q2 2016
93,2016-06-30,95.79000091552734,Q2 2016
94,2016-07-31,97.86000061035156,Q3 2016
95,2016-08-31,102.30999755859375,Q3 2016
96,2016-09-30,108.54000091552734,Q3 2016
97,2016-10-31,107.51000213623047,Q4 2016
98,2016-11-30,102.80999755859375,Q4 2016
99,2016-12-31,102.94999694824219,Q4 2016
100,2017-01-31,113.37999725341797,Q1 2017
101,2017-02-28,118.33999633789062,Q1 2017
102,2017-03-31,130.1300048828125,Q1 2017
103,2017-04-30,133.74000549316406,Q2 2017
104,2017-05-31,141.86000061035156,Q2 2017
105,2017-06-30,141.44000244140625,Q2 2017
106,2017-07-31,146.49000549316406,Q3 2017
107,2017-08-31,155.16000366210938,Q3 2017
108,2017-09-30,149.17999267578125,Q3 2017
109,2017-10-31,175.16000366210938,Q4 2017
110,2017-11-30,181.47000122070312,Q4 2017
111,2017-12-31,175.24000549316406,Q4 2017
112,2018-01-31,199.75999450683594,Q1 2018
113,2018-02-28,209.1300048828125,Q1 2018
114,2018-03-31,216.0800018310547,Q1 2018
115,2018-04-30,221.60000610351562,Q2 2018
116,2018-05-31,249.27999877929688,Q2 2018
117,2018-06-30,243.80999755859375,Q2 2018
118,2018-07-31,244.67999267578125,Q3 2018
119,2018-08-31,263.510009765625,Q3 2018
120,2018-09-30,269.95001220703125,Q3 2018
121,2018-10-31,245.75999450683594,Q4 2018
122,2018-11-30,250.88999938964844,Q4 2018
123,2018-12-31,226.24000549316406,Q4 2018
124,2019-01-31,247.82000732421875,Q1 2019
125,2019-02-28,262.5,Q1 2019
126,2019-03-31,266.489990234375,Q1 2019
127,2019-04-30,289.25,Q2 2019
128,2019-05-31,270.8999938964844,Q2 2019
129,2019-06-30,294.6499938964844,Q2 2019
130,2019-07-31,298.8599853515625,Q3 2019
131,2019-08-31,284.510009765625,Q3 2019
132,2019-09-30,276.25,Q3 2019
133,2019-10-31,277.92999267578125,Q4 2019
134,2019-11-30,309.5299987792969,Q4 2019
135,2019-12-31,329.80999755859375,Q4 2019
136,2020-01-31,351.1400146484375,Q1 2020
137,2020-02-29,345.1199951171875,Q1 2020
138,2020-03-31,318.239990234375,Q1 2020
139,2020-04-30,353.6400146484375,Q2 2020
140,2020-05-31,386.6000061035156,Q2 2020
141,2020-06-30,435.30999755859375,Q2 2020
142,2020-07-31,444.32000732421875,Q3 2020
143,2020-08-31,513.3900146484375,Q3 2020
144,2020-09-30,490.42999267578125,Q3 2020
