,Date,Price,calendar_quarter
0,2008-09-30,11.994894981384277,Q3 2008
1,2008-10-31,7.67276668548584,Q4 2008
2,2008-11-30,7.092848777770996,Q4 2008
3,2008-12-31,7.932986736297607,Q4 2008
4,2009-01-31,6.5947136878967285,Q1 2009
5,2009-02-28,6.939195156097412,Q1 2009
6,2009-03-31,8.111424446105957,Q1 2009
7,2009-04-30,10.609535217285156,Q2 2009
8,2009-05-31,9.405088424682617,Q2 2009
9,2009-06-30,9.459609031677246,Q2 2009
10,2009-07-31,10.74088191986084,Q3 2009
11,2009-08-31,12.8548583984375,Q3 2009
12,2009-09-30,14.108869552612305,Q3 2009
13,2009-10-31,14.064261436462402,Q4 2009
14,2009-11-30,15.533883094787598,Q4 2009
15,2009-12-31,18.282299041748047,Q4 2009
16,2010-01-31,15.749493598937988,Q1 2010
17,2010-02-28,16.839941024780273,Q1 2010
18,2010-03-31,18.450822830200195,Q1 2010
19,2010-04-30,21.214111328125,Q2 2010
20,2010-05-31,21.444589614868164,Q2 2010
21,2010-06-30,21.268632888793945,Q2 2010
22,2010-07-31,24.52261734008789,Q3 2010
23,2010-08-31,27.231380462646484,Q3 2010
24,2010-09-30,27.707216262817383,Q3 2010
25,2010-10-31,28.76544189453125,Q4 2010
26,2010-11-30,34.50267028808594,Q4 2010
27,2010-12-31,32.713348388671875,Q4 2010
28,2011-01-31,32.00456237792969,Q1 2011
29,2011-02-28,32.78025817871094,Q1 2011
30,2011-03-31,33.104915618896484,Q1 2011
31,2011-04-30,34.3490104675293,Q2 2011
32,2011-05-31,37.734344482421875,Q2 2011
33,2011-06-30,36.92147445678711,Q2 2011
34,2011-07-31,35.86324691772461,Q3 2011
35,2011-08-31,31.90790367126465,Q3 2011
36,2011-09-30,28.321828842163086,Q3 2011
37,2011-10-31,33.00330352783203,Q4 2011
38,2011-11-30,29.347835540771484,Q4 2011
39,2011-12-31,25.144668579101562,Q4 2011
40,2012-01-31,28.94635772705078,Q1 2012
41,2012-02-29,35.47911071777344,Q1 2012
42,2012-03-31,38.291961669921875,Q1 2012
43,2012-04-30,38.59431457519531,Q2 2012
44,2012-05-31,34.35396957397461,Q2 2012
45,2012-06-30,34.26475524902344,Q2 2012
46,2012-07-31,30.81993865966797,Q3 2012
47,2012-08-31,35.9797248840332,Q3 2012
48,2012-09-30,37.840919494628906,Q3 2012
49,2012-10-31,36.177982330322266,Q4 2012
