,Date,Price,calendar_quarter
0,2021-05-31,15.779999732971191,Q2 2021
1,2021-06-30,16.190000534057617,Q2 2021
2,2021-07-31,14.369999885559082,Q3 2021
3,2021-08-31,10.180000305175781,Q3 2021
4,2021-09-30,10.380000114440918,Q3 2021
5,2021-10-31,9.149999618530273,Q4 2021
6,2021-11-30,8.539999961853027,Q4 2021
7,2021-12-31,8.09000015258789,Q4 2021
8,2022-01-31,6.489999771118164,Q1 2022
9,2022-02-28,5.78000020980835,Q1 2022
10,2022-03-31,5.210000038146973,Q1 2022
11,2022-04-30,3.9600000381469727,Q2 2022
12,2022-05-31,3.440000057220459,Q2 2022
13,2022-06-30,2.9200000762939453,Q2 2022
14,2022-07-31,3.3399999141693115,Q3 2022
15,2022-08-31,3.609999895095825,Q3 2022
16,2022-09-30,3.5,Q3 2022
17,2022-10-31,3.309999942779541,Q4 2022
18,2022-11-30,2.880000114440918,Q4 2022
19,2022-12-31,3.009999990463257,Q4 2022
20,2023-01-31,3.299999952316284,Q1 2023
21,2023-02-28,2.7899999618530273,Q1 2023
22,2023-03-31,1.7999999523162842,Q1 2023
23,2023-04-30,1.659999966621399,Q2 2023
24,2023-05-31,1.4700000286102295,Q2 2023
25,2023-06-30,1.6799999475479126,Q2 2023
26,2023-07-31,1.5099999904632568,Q3 2023
27,2023-08-31,1.4800000190734863,Q3 2023
28,2023-09-30,1.2599999904632568,Q3 2023
29,2023-10-31,1.159999966621399,Q4 2023
30,2023-11-30,2.390000104904175,Q4 2023
31,2023-12-31,3.299999952316284,Q4 2023
32,2024-01-31,2.8499999046325684,Q1 2024
33,2024-02-29,3.0999999046325684,Q1 2024
34,2024-03-31,4.050000190734863,Q1 2024
35,2024-04-30,3.009999990463257,Q2 2024
36,2024-05-31,2.690000057220459,Q2 2024
37,2024-06-30,2.9200000762939453,Q2 2024
38,2024-07-31,3.7300000190734863,Q3 2024
39,2024-08-31,4.670000076293945,Q3 2024
40,2024-09-30,3.569999933242798,Q3 2024
41,2024-10-31,3.7200000286102295,Q4 2024
42,2024-11-30,8.289999961853027,Q4 2024
43,2024-12-31,6.929999828338623,Q4 2024
44,2025-01-31,6.409999847412109,Q1 2025
45,2025-02-28,5.400000095367432,Q1 2025
46,2025-03-31,4.699999809265137,Q1 2025
47,2025-04-30,4.789999961853027,Q2 2025
48,2025-05-31,5.03000020980835,Q2 2025
49,2025-06-30,5.090000152587891,Q2 2025
50,2025-07-31,4.610000133514404,Q3 2025
51,2025-08-31,3.9600000381469727,Q3 2025
52,2025-09-30,3.934999942779541,Q3 2025
