,Date,Price,calendar_quarter
0,2008-09-30,3.4120872020721436,Q3 2008
1,2008-10-31,3.2298638820648193,Q4 2008
2,2008-11-30,2.781964063644409,Q4 2008
3,2008-12-31,2.5622169971466064,Q4 2008
4,2009-01-31,2.7057127952575684,Q1 2009
5,2009-02-28,2.6810965538024902,Q1 2009
6,2009-03-31,3.155714988708496,Q1 2009
7,2009-04-30,3.7774312496185303,Q2 2009
8,2009-05-31,4.077032089233398,Q2 2009
9,2009-06-30,4.275764465332031,Q2 2009
10,2009-07-31,4.9049859046936035,Q3 2009
11,2009-08-31,5.049685001373291,Q3 2009
12,2009-09-30,5.5642290115356445,Q3 2009
13,2009-10-31,5.658792495727539,Q4 2009
14,2009-11-30,6.001321792602539,Q4 2009
15,2009-12-31,6.326137065887451,Q4 2009
16,2010-01-31,5.765664100646973,Q1 2010
17,2010-02-28,6.1427154541015625,Q1 2010
18,2010-03-31,7.054727077484131,Q1 2010
19,2010-04-30,7.837953567504883,Q2 2010
20,2010-05-31,7.71156644821167,Q2 2010
21,2010-06-30,7.550962924957275,Q2 2010
22,2010-07-31,7.722677230834961,Q3 2010
23,2010-08-31,7.297889709472656,Q3 2010
24,2010-09-30,8.518208503723145,Q3 2010
25,2010-10-31,9.035455703735352,Q4 2010
26,2010-11-30,9.340760231018066,Q4 2010
27,2010-12-31,9.683289527893066,Q4 2010
28,2011-01-31,10.186424255371094,Q1 2011
29,2011-02-28,10.603403091430664,Q1 2011
30,2011-03-31,10.462312698364258,Q1 2011
31,2011-04-30,10.510944366455078,Q2 2011
32,2011-05-31,10.44189739227295,Q2 2011
33,2011-06-30,10.07685661315918,Q2 2011
34,2011-07-31,11.722254753112793,Q3 2011
35,2011-08-31,11.552639961242676,Q3 2011
36,2011-09-30,11.447271347045898,Q3 2011
37,2011-10-31,12.151542663574219,Q4 2011
38,2011-11-30,11.473689079284668,Q4 2011
39,2011-12-31,12.158146858215332,Q4 2011
40,2012-01-31,13.703579902648926,Q1 2012
41,2012-02-29,16.284114837646484,Q1 2012
42,2012-03-31,17.99855613708496,Q1 2012
43,2012-04-30,17.531145095825195,Q2 2012
44,2012-05-31,17.34352684020996,Q2 2012
45,2012-06-30,17.531749725341797,Q2 2012
46,2012-07-31,18.335084915161133,Q3 2012
47,2012-08-31,20.05632781982422,Q3 2012
48,2012-09-30,20.112398147583008,Q3 2012
49,2012-10-31,17.948312759399414,Q4 2012
50,2012-11-30,17.72620964050293,Q4 2012
51,2012-12-31,16.1176815032959,Q4 2012
52,2013-01-31,13.795292854309082,Q1 2013
53,2013-02-28,13.446467399597168,Q1 2013
54,2013-03-31,13.48484992980957,Q1 2013
55,2013-04-30,13.488504409790039,Q2 2013
56,2013-05-31,13.790905952453613,Q2 2013
57,2013-06-30,12.159539222717285,Q2 2013
58,2013-07-31,13.876768112182617,Q3 2013
59,2013-08-31,15.039186477661133,Q3 2013
60,2013-09-30,14.7160062789917,Q3 2013
61,2013-10-31,16.134353637695312,Q4 2013
