,Date,Price,calendar_quarter
0,2008-09-30,5.25,Q3 2008
1,2008-10-31,3.5,Q4 2008
2,2008-11-30,2.359999895095825,Q4 2008
3,2008-12-31,2.1600000858306885,Q4 2008
4,2009-01-31,2.190000057220459,Q1 2009
5,2009-02-28,2.180000066757202,Q1 2009
6,2009-03-31,3.049999952316284,Q1 2009
7,2009-04-30,3.609999895095825,Q2 2009
8,2009-05-31,4.539999961853027,Q2 2009
9,2009-06-30,3.869999885559082,Q2 2009
10,2009-07-31,3.6600000858306885,Q3 2009
11,2009-08-31,4.360000133514404,Q3 2009
12,2009-09-30,5.659999847412109,Q3 2009
13,2009-10-31,4.599999904632568,Q4 2009
14,2009-11-30,7.010000228881836,Q4 2009
15,2009-12-31,9.680000305175781,Q4 2009
16,2010-01-31,7.460000038146973,Q1 2010
17,2010-02-28,7.909999847412109,Q1 2010
18,2010-03-31,9.270000457763672,Q1 2010
19,2010-04-30,9.069999694824219,Q2 2010
20,2010-05-31,8.569999694824219,Q2 2010
21,2010-06-30,7.320000171661377,Q2 2010
22,2010-07-31,7.489999771118164,Q3 2010
23,2010-08-31,5.610000133514404,Q3 2010
24,2010-09-30,7.110000133514404,Q3 2010
25,2010-10-31,7.340000152587891,Q4 2010
26,2010-11-30,7.289999961853027,Q4 2010
27,2010-12-31,8.180000305175781,Q4 2010
28,2011-01-31,7.829999923706055,Q1 2011
29,2011-02-28,9.210000038146973,Q1 2011
30,2011-03-31,8.600000381469727,Q1 2011
31,2011-04-30,9.100000381469727,Q2 2011
32,2011-05-31,8.680000305175781,Q2 2011
33,2011-06-30,6.989999771118164,Q2 2011
34,2011-07-31,7.340000152587891,Q3 2011
35,2011-08-31,6.829999923706055,Q3 2011
36,2011-09-30,5.079999923706055,Q3 2011
37,2011-10-31,5.829999923706055,Q4 2011
38,2011-11-30,5.690000057220459,Q4 2011
39,2011-12-31,5.400000095367432,Q4 2011
40,2012-01-31,6.710000038146973,Q1 2012
41,2012-02-29,7.349999904632568,Q1 2012
42,2012-03-31,8.020000457763672,Q1 2012
43,2012-04-30,7.360000133514404,Q2 2012
44,2012-05-31,6.079999923706055,Q2 2012
45,2012-06-30,5.730000019073486,Q2 2012
46,2012-07-31,4.059999942779541,Q3 2012
47,2012-08-31,3.7200000286102295,Q3 2012
48,2012-09-30,3.369999885559082,Q3 2012
49,2012-10-31,2.049999952316284,Q4 2012
50,2012-11-30,2.200000047683716,Q4 2012
51,2012-12-31,2.4000000953674316,Q4 2012
52,2013-01-31,2.5999999046325684,Q1 2013
53,2013-02-28,2.490000009536743,Q1 2013
54,2013-03-31,2.549999952316284,Q1 2013
55,2013-04-30,2.819999933242798,Q2 2013
56,2013-05-31,4.0,Q2 2013
57,2013-06-30,4.079999923706055,Q2 2013
58,2013-07-31,3.7699999809265137,Q3 2013
59,2013-08-31,3.2699999809265137,Q3 2013
60,2013-09-30,3.809999942779541,Q3 2013
