,Date,Price,calendar_quarter
0,2008-09-30,19.394426345825195,Q3 2008
1,2008-10-31,16.226215362548828,Q4 2008
2,2008-11-30,14.792506217956543,Q4 2008
3,2008-12-31,14.22187328338623,Q4 2008
4,2009-01-31,12.50998306274414,Q1 2009
5,2009-02-28,11.895989418029785,Q1 2009
6,2009-03-31,13.531229972839355,Q1 2009
7,2009-04-30,14.923392295837402,Q2 2009
8,2009-05-31,15.485172271728516,Q2 2009
9,2009-06-30,17.620027542114258,Q2 2009
10,2009-07-31,17.434717178344727,Q3 2009
11,2009-08-31,18.375097274780273,Q3 2009
12,2009-09-30,19.17271614074707,Q3 2009
13,2009-10-31,20.671043395996094,Q4 2009
14,2009-11-30,22.02029800415039,Q4 2009
15,2009-12-31,22.821441650390625,Q4 2009
16,2010-01-31,21.099349975585938,Q1 2010
17,2010-02-28,21.566608428955078,Q1 2010
18,2010-03-31,22.03299903869629,Q1 2010
19,2010-04-30,22.973291397094727,Q2 2010
20,2010-05-31,19.495269775390625,Q2 2010
21,2010-06-30,17.387062072753906,Q2 2010
22,2010-07-31,19.5028133392334,Q3 2010
23,2010-08-31,17.829252243041992,Q3 2010
24,2010-09-30,18.604108810424805,Q3 2010
25,2010-10-31,20.260168075561523,Q4 2010
26,2010-11-30,19.306949615478516,Q4 2010
27,2010-12-31,21.332426071166992,Q4 2010
28,2011-01-31,21.194841384887695,Q1 2011
29,2011-02-28,20.435943603515625,Q1 2011
30,2011-03-31,19.521011352539062,Q1 2011
31,2011-04-30,19.928508758544922,Q2 2011
32,2011-05-31,19.35489273071289,Q2 2011
33,2011-06-30,20.12103843688965,Q2 2011
34,2011-07-31,21.204483032226562,Q3 2011
35,2011-08-31,20.71529769897461,Q3 2011
36,2011-09-30,19.383602142333984,Q3 2011
37,2011-10-31,20.738666534423828,Q4 2011
38,2011-11-30,20.07096290588379,Q4 2011
39,2011-12-31,20.369125366210938,Q4 2011
40,2012-01-31,23.170265197753906,Q1 2012
41,2012-02-29,25.068269729614258,Q1 2012
42,2012-03-31,25.478965759277344,Q1 2012
43,2012-04-30,25.28940773010254,Q2 2012
44,2012-05-31,23.205556869506836,Q2 2012
45,2012-06-30,24.318525314331055,Q2 2012
46,2012-07-31,23.428138732910156,Q3 2012
47,2012-08-31,24.663681030273438,Q3 2012
48,2012-09-30,23.81542205810547,Q3 2012
49,2012-10-31,22.8391170501709,Q4 2012
50,2012-11-30,21.47768783569336,Q4 2012
51,2012-12-31,21.55029296875,Q4 2012
52,2013-01-31,22.147357940673828,Q1 2013
53,2013-02-28,22.615442276000977,Q1 2013
54,2013-03-31,23.27438735961914,Q1 2013
55,2013-04-30,26.927024841308594,Q2 2013
56,2013-05-31,28.590410232543945,Q2 2013
57,2013-06-30,28.29549217224121,Q2 2013
58,2013-07-31,26.083637237548828,Q3 2013
59,2013-08-31,27.554414749145508,Q3 2013
60,2013-09-30,27.455413818359375,Q3 2013
61,2013-10-31,29.21261978149414,Q4 2013
62,2013-11-30,31.69515037536621,Q4 2013
63,2013-12-31,31.09664535522461,Q4 2013
64,2014-01-31,31.454084396362305,Q1 2014
65,2014-02-28,32.08356475830078,Q1 2014
66,2014-03-31,34.327980041503906,Q1 2014
67,2014-04-30,33.833866119384766,Q2 2014
68,2014-05-31,34.527984619140625,Q2 2014
69,2014-06-30,35.168968200683594,Q2 2014
70,2014-07-31,36.40029525756836,Q3 2014
71,2014-08-31,38.55405807495117,Q3 2014
72,2014-09-30,39.34331512451172,Q3 2014
73,2014-10-31,39.84401321411133,Q4 2014
74,2014-11-30,40.829769134521484,Q4 2014
75,2014-12-31,39.668312072753906,Q4 2014
76,2015-01-31,34.501609802246094,Q1 2015
77,2015-02-28,37.71441650390625,Q1 2015
